Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Sloppy Seconds,Salty Nuts,"gabe finocchi, travis core","dylan bricker, trevor barbosa",21,13,Pool Play,2021california,Premier
Sloppy Seconds,Salty Nuts,"gabe finocchi, travis core","dylan bricker, trevor barbosa",21,16,Pool Play,2021california,Premier
Wonky Sauce,Ortlip/Berry,"blake bosak, justin plett","matt ortlip, solomon berry",21,19,Pool Play,2021california,Premier
Wonky Sauce,Ortlip/Berry,"blake bosak, justin plett","matt ortlip, solomon berry",18,21,Pool Play,2021california,Premier
Wonky Sauce,Ortlip/Berry,"blake bosak, justin plett","matt ortlip, solomon berry",21,13,Pool Play,2021california,Premier
Double Clutch,Lefty Pull,"rahul murthy, fredric hinkle","malachi espinola, ryan slaughter",21,16,Pool Play,2021california,Premier
Double Clutch,Lefty Pull,"rahul murthy, fredric hinkle","malachi espinola, ryan slaughter",21,14,Pool Play,2021california,Premier
Blue Sky Bagel Club,Box Models,"dennis joseph, josh wheadon","jordan caradonna, michael hsu",-5,-5,Pool Play,2021california,Premier
Blue Sky Bagel Club,Box Models,"dennis joseph, josh wheadon","jordan caradonna, michael hsu",-5,-5,Pool Play,2021california,Premier
Blue Sky Bagel Club,Box Models,"dennis joseph, josh wheadon","jordan caradonna, michael hsu",-5,-5,Pool Play,2021california,Premier
Gold Diggers,Zia,"garrett hornok, kyle ackermann","daniel wilson, slade warner",21,13,Pool Play,2021california,Premier
Gold Diggers,Zia,"garrett hornok, kyle ackermann","daniel wilson, slade warner",21,14,Pool Play,2021california,Premier
HOOPLA,Chico Atlantic,"john shurance, schon siguenza","skyler boles, tom rogers",8,21,Pool Play,2021california,Premier
HOOPLA,Chico Atlantic,"john shurance, schon siguenza","skyler boles, tom rogers",14,21,Pool Play,2021california,Premier
Boysterous,Smith/Young,"caleb heck, preston bies","ashton smith, bryce young",21,19,Pool Play,2021california,Premier
Boysterous,Smith/Young,"caleb heck, preston bies","ashton smith, bryce young",21,14,Pool Play,2021california,Premier
LMUCLA,Chowey,"carlos yvellez, jason rhoads","david gonzales, nicolas dewey",21,10,Pool Play,2021california,Premier
LMUCLA,Chowey,"carlos yvellez, jason rhoads","david gonzales, nicolas dewey",21,13,Pool Play,2021california,Premier
Assistive Touch,Warn-A-Brotha,"buddy hammon, clark marshall","marc baldwin, warner curtis",21,14,Pool Play,2021california,Premier
Assistive Touch,Warn-A-Brotha,"buddy hammon, clark marshall","marc baldwin, warner curtis",21,17,Pool Play,2021california,Premier
Western Grebes,Daly/Singer,"jake howhannesian, lucas pruett","alex daly, artie singer",19,21,Pool Play,2021california,Premier
Western Grebes,Daly/Singer,"jake howhannesian, lucas pruett","alex daly, artie singer",20,22,Pool Play,2021california,Premier
Ritto Boys,Hot Monkey Come,"coleman epperson's, ryder rivadeneyra","andrew stevens, ryan mccargar",21,13,Pool Play,2021california,Premier
Ritto Boys,Hot Monkey Come,"coleman epperson's, ryder rivadeneyra","andrew stevens, ryan mccargar",21,15,Pool Play,2021california,Premier
Tengan Toppa,CornRows,"bryce wagoner, nick noguez","logan cornelius, matthew burrows",16,21,Pool Play,2021california,Premier
Tengan Toppa,CornRows,"bryce wagoner, nick noguez","logan cornelius, matthew burrows",21,19,Pool Play,2021california,Premier
Tengan Toppa,CornRows,"bryce wagoner, nick noguez","logan cornelius, matthew burrows",19,21,Pool Play,2021california,Premier
Cisek/Abrams,Orange Dream,"dan abrams, tyler cisek","archie powell, jack granger",21,17,Pool Play,2021california,Premier
Cisek/Abrams,Orange Dream,"dan abrams, tyler cisek","archie powell, jack granger",17,21,Pool Play,2021california,Premier
Cisek/Abrams,Orange Dream,"dan abrams, tyler cisek","archie powell, jack granger",21,16,Pool Play,2021california,Premier
Cummings/ Bergman,manGOOOOONS ( Team Edward ),"caleb cummings, neal bergman","jacob martinez, jacob payer",21,15,Pool Play,2021california,Premier
Cummings/ Bergman,manGOOOOONS ( Team Edward ),"caleb cummings, neal bergman","jacob martinez, jacob payer",21,13,Pool Play,2021california,Premier
Graham/Showalter,Team Alliteration,"joel graham, pj showalter","grant marriott, matt murray",21,16,Pool Play,2021california,Premier
Graham/Showalter,Team Alliteration,"joel graham, pj showalter","grant marriott, matt murray",21,13,Pool Play,2021california,Premier
Trash Pandas,Yip Yip,"christian bennett, ian murphy","austin rawlings, zack duffy",13,21,Pool Play,2021california,Premier
Trash Pandas,Yip Yip,"christian bennett, ian murphy","austin rawlings, zack duffy",16,21,Pool Play,2021california,Premier
Lowkey,BZ Money,"dawson morgan, taylor church","benjamin banuelos, cade zorio",21,14,Pool Play,2021california,Premier
Lowkey,BZ Money,"dawson morgan, taylor church","benjamin banuelos, cade zorio",21,15,Pool Play,2021california,Premier
GLO GLO JUICE,The Klondike Bars,"connor prelich, dan bonowski","caleb jarrett, chandler hertzler",13,21,Pool Play,2021california,Premier
GLO GLO JUICE,The Klondike Bars,"connor prelich, dan bonowski","caleb jarrett, chandler hertzler",15,21,Pool Play,2021california,Premier
Knotty,Nyoom?,"jarratt rouse, ryan fitzgerald","daniel lindeen, thomas nishimoto",21,14,Pool Play,2021california,Premier
Knotty,Nyoom?,"jarratt rouse, ryan fitzgerald","daniel lindeen, thomas nishimoto",21,15,Pool Play,2021california,Premier
Glizzy Gobblers,Foote / Oswalt,"kane rickman, trey bowman","ryan oswalt, warren foote",12,21,Pool Play,2021california,Premier
Glizzy Gobblers,Foote / Oswalt,"kane rickman, trey bowman","ryan oswalt, warren foote",13,21,Pool Play,2021california,Premier
Poptropica,Wong/(Will) Foote,"grant laughlin, luke mowry","caleb wong, william foote",21,16,Pool Play,2021california,Premier
Poptropica,Wong/(Will) Foote,"grant laughlin, luke mowry","caleb wong, william foote",21,7,Pool Play,2021california,Premier
Texas Sucks,Dewey Disciples,"andrew kosche, dean wasil","kevin bailey, thomas hamilton",14,21,Pool Play,2021california,Premier
Texas Sucks,Dewey Disciples,"andrew kosche, dean wasil","kevin bailey, thomas hamilton",21,19,Pool Play,2021california,Premier
Texas Sucks,Dewey Disciples,"andrew kosche, dean wasil","kevin bailey, thomas hamilton",13,21,Pool Play,2021california,Premier
Sloppy Seconds,Ortlip/Berry,"gabe finocchi, travis core","matt ortlip, solomon berry",21,14,Pool Play,2021california,Premier
Sloppy Seconds,Ortlip/Berry,"gabe finocchi, travis core","matt ortlip, solomon berry",21,17,Pool Play,2021california,Premier
Wonky Sauce,Salty Nuts,"blake bosak, justin plett","dylan bricker, trevor barbosa",21,13,Pool Play,2021california,Premier
Wonky Sauce,Salty Nuts,"blake bosak, justin plett","dylan bricker, trevor barbosa",15,21,Pool Play,2021california,Premier
Wonky Sauce,Salty Nuts,"blake bosak, justin plett","dylan bricker, trevor barbosa",24,22,Pool Play,2021california,Premier
Double Clutch,Box Models,"rahul murthy, fredric hinkle","jordan caradonna, michael hsu",17,21,Pool Play,2021california,Premier
Double Clutch,Box Models,"rahul murthy, fredric hinkle","jordan caradonna, michael hsu",21,18,Pool Play,2021california,Premier
Double Clutch,Box Models,"rahul murthy, fredric hinkle","jordan caradonna, michael hsu",21,16,Pool Play,2021california,Premier
Blue Sky Bagel Club,Lefty Pull,"dennis joseph, josh wheadon","malachi espinola, ryan slaughter",10,21,Pool Play,2021california,Premier
Blue Sky Bagel Club,Lefty Pull,"dennis joseph, josh wheadon","malachi espinola, ryan slaughter",10,21,Pool Play,2021california,Premier
Gold Diggers,Chico Atlantic,"garrett hornok, kyle ackermann","skyler boles, tom rogers",21,13,Pool Play,2021california,Premier
Gold Diggers,Chico Atlantic,"garrett hornok, kyle ackermann","skyler boles, tom rogers",21,16,Pool Play,2021california,Premier
HOOPLA,Zia,"john shurance, schon siguenza","daniel wilson, slade warner",14,21,Pool Play,2021california,Premier
HOOPLA,Zia,"john shurance, schon siguenza","daniel wilson, slade warner",21,23,Pool Play,2021california,Premier
Boysterous,Chowey,"caleb heck, preston bies","david gonzales, nicolas dewey",21,10,Pool Play,2021california,Premier
Boysterous,Chowey,"caleb heck, preston bies","david gonzales, nicolas dewey",21,11,Pool Play,2021california,Premier
LMUCLA,Smith/Young,"carlos yvellez, jason rhoads","ashton smith, bryce young",21,19,Pool Play,2021california,Premier
LMUCLA,Smith/Young,"carlos yvellez, jason rhoads","ashton smith, bryce young",21,14,Pool Play,2021california,Premier
Assistive Touch,Daly/Singer,"buddy hammon, clark marshall","alex daly, artie singer",21,8,Pool Play,2021california,Premier
Assistive Touch,Daly/Singer,"buddy hammon, clark marshall","alex daly, artie singer",21,13,Pool Play,2021california,Premier
Western Grebes,Warn-A-Brotha,"jake howhannesian, lucas pruett","marc baldwin, warner curtis",21,16,Pool Play,2021california,Premier
Western Grebes,Warn-A-Brotha,"jake howhannesian, lucas pruett","marc baldwin, warner curtis",18,21,Pool Play,2021california,Premier
Western Grebes,Warn-A-Brotha,"jake howhannesian, lucas pruett","marc baldwin, warner curtis",21,19,Pool Play,2021california,Premier
Ritto Boys,CornRows,"coleman epperson's, ryder rivadeneyra","logan cornelius, matthew burrows",21,16,Pool Play,2021california,Premier
Ritto Boys,CornRows,"coleman epperson's, ryder rivadeneyra","logan cornelius, matthew burrows",21,15,Pool Play,2021california,Premier
Tengan Toppa,Hot Monkey Come,"bryce wagoner, nick noguez","andrew stevens, ryan mccargar",16,21,Pool Play,2021california,Premier
Tengan Toppa,Hot Monkey Come,"bryce wagoner, nick noguez","andrew stevens, ryan mccargar",20,22,Pool Play,2021california,Premier
Cisek/Abrams,manGOOOOONS ( Team Edward ),"dan abrams, tyler cisek","jacob martinez, jacob payer",21,18,Pool Play,2021california,Premier
Cisek/Abrams,manGOOOOONS ( Team Edward ),"dan abrams, tyler cisek","jacob martinez, jacob payer",21,17,Pool Play,2021california,Premier
Cummings/ Bergman,Orange Dream,"caleb cummings, neal bergman","archie powell, jack granger",21,7,Pool Play,2021california,Premier
Cummings/ Bergman,Orange Dream,"caleb cummings, neal bergman","archie powell, jack granger",21,19,Pool Play,2021california,Premier
Graham/Showalter,Yip Yip,"joel graham, pj showalter","austin rawlings, zack duffy",21,19,Pool Play,2021california,Premier
Graham/Showalter,Yip Yip,"joel graham, pj showalter","austin rawlings, zack duffy",21,18,Pool Play,2021california,Premier
Trash Pandas,Team Alliteration,"christian bennett, ian murphy","grant marriott, matt murray",23,21,Pool Play,2021california,Premier
Trash Pandas,Team Alliteration,"christian bennett, ian murphy","grant marriott, matt murray",22,20,Pool Play,2021california,Premier
Lowkey,The Klondike Bars,"dawson morgan, taylor church","caleb jarrett, chandler hertzler",18,21,Pool Play,2021california,Premier
Lowkey,The Klondike Bars,"dawson morgan, taylor church","caleb jarrett, chandler hertzler",21,12,Pool Play,2021california,Premier
Lowkey,The Klondike Bars,"dawson morgan, taylor church","caleb jarrett, chandler hertzler",20,22,Pool Play,2021california,Premier
GLO GLO JUICE,BZ Money,"connor prelich, dan bonowski","benjamin banuelos, cade zorio",13,21,Pool Play,2021california,Premier
GLO GLO JUICE,BZ Money,"connor prelich, dan bonowski","benjamin banuelos, cade zorio",15,21,Pool Play,2021california,Premier
Knotty,Foote / Oswalt,"jarratt rouse, ryan fitzgerald","ryan oswalt, warren foote",21,16,Pool Play,2021california,Premier
Knotty,Foote / Oswalt,"jarratt rouse, ryan fitzgerald","ryan oswalt, warren foote",18,21,Pool Play,2021california,Premier
Knotty,Foote / Oswalt,"jarratt rouse, ryan fitzgerald","ryan oswalt, warren foote",21,19,Pool Play,2021california,Premier
Glizzy Gobblers,Nyoom?,"kane rickman, trey bowman","daniel lindeen, thomas nishimoto",21,17,Pool Play,2021california,Premier
Glizzy Gobblers,Nyoom?,"kane rickman, trey bowman","daniel lindeen, thomas nishimoto",21,18,Pool Play,2021california,Premier
Poptropica,Dewey Disciples,"grant laughlin, luke mowry","kevin bailey, thomas hamilton",1,0,Pool Play,2021california,Premier
Poptropica,Dewey Disciples,"grant laughlin, luke mowry","kevin bailey, thomas hamilton",1,0,Pool Play,2021california,Premier
Texas Sucks,Wong/(Will) Foote,"andrew kosche, dean wasil","caleb wong, william foote",21,16,Pool Play,2021california,Premier
Texas Sucks,Wong/(Will) Foote,"andrew kosche, dean wasil","caleb wong, william foote",18,21,Pool Play,2021california,Premier
Texas Sucks,Wong/(Will) Foote,"andrew kosche, dean wasil","caleb wong, william foote",21,18,Pool Play,2021california,Premier
Sloppy Seconds,Wonky Sauce,"gabe finocchi, travis core","blake bosak, justin plett",14,21,Pool Play,2021california,Premier
Sloppy Seconds,Wonky Sauce,"gabe finocchi, travis core","blake bosak, justin plett",19,21,Pool Play,2021california,Premier
Ortlip/Berry,Salty Nuts,"matt ortlip, solomon berry","dylan bricker, trevor barbosa",21,19,Pool Play,2021california,Premier
Ortlip/Berry,Salty Nuts,"matt ortlip, solomon berry","dylan bricker, trevor barbosa",21,18,Pool Play,2021california,Premier
Double Clutch,Blue Sky Bagel Club,"rahul murthy, fredric hinkle","dennis joseph, josh wheadon",-5,-5,Pool Play,2021california,Premier
Double Clutch,Blue Sky Bagel Club,"rahul murthy, fredric hinkle","dennis joseph, josh wheadon",-5,-5,Pool Play,2021california,Premier
Double Clutch,Blue Sky Bagel Club,"rahul murthy, fredric hinkle","dennis joseph, josh wheadon",-5,-5,Pool Play,2021california,Premier
Box Models,Lefty Pull,"jordan caradonna, michael hsu","malachi espinola, ryan slaughter",21,15,Pool Play,2021california,Premier
Box Models,Lefty Pull,"jordan caradonna, michael hsu","malachi espinola, ryan slaughter",21,17,Pool Play,2021california,Premier
Gold Diggers,HOOPLA,"garrett hornok, kyle ackermann","john shurance, schon siguenza",21,11,Pool Play,2021california,Premier
Gold Diggers,HOOPLA,"garrett hornok, kyle ackermann","john shurance, schon siguenza",21,14,Pool Play,2021california,Premier
Chico Atlantic,Zia,"skyler boles, tom rogers","daniel wilson, slade warner",21,19,Pool Play,2021california,Premier
Chico Atlantic,Zia,"skyler boles, tom rogers","daniel wilson, slade warner",21,16,Pool Play,2021california,Premier
Boysterous,LMUCLA,"caleb heck, preston bies","carlos yvellez, jason rhoads",21,15,Pool Play,2021california,Premier
Boysterous,LMUCLA,"caleb heck, preston bies","carlos yvellez, jason rhoads",25,27,Pool Play,2021california,Premier
Boysterous,LMUCLA,"caleb heck, preston bies","carlos yvellez, jason rhoads",22,20,Pool Play,2021california,Premier
Chowey,Smith/Young,"david gonzales, nicolas dewey","ashton smith, bryce young",21,23,Pool Play,2021california,Premier
Chowey,Smith/Young,"david gonzales, nicolas dewey","ashton smith, bryce young",17,21,Pool Play,2021california,Premier
Assistive Touch,Western Grebes,"buddy hammon, clark marshall","jake howhannesian, lucas pruett",21,13,Pool Play,2021california,Premier
Assistive Touch,Western Grebes,"buddy hammon, clark marshall","jake howhannesian, lucas pruett",21,8,Pool Play,2021california,Premier
Daly/Singer,Warn-A-Brotha,"alex daly, artie singer","marc baldwin, warner curtis",18,21,Pool Play,2021california,Premier
Daly/Singer,Warn-A-Brotha,"alex daly, artie singer","marc baldwin, warner curtis",21,16,Pool Play,2021california,Premier
Daly/Singer,Warn-A-Brotha,"alex daly, artie singer","marc baldwin, warner curtis",25,24,Pool Play,2021california,Premier
Ritto Boys,Tengan Toppa,"coleman epperson's, ryder rivadeneyra","bryce wagoner, nick noguez",21,15,Pool Play,2021california,Premier
Ritto Boys,Tengan Toppa,"coleman epperson's, ryder rivadeneyra","bryce wagoner, nick noguez",21,17,Pool Play,2021california,Premier
CornRows,Hot Monkey Come,"logan cornelius, matthew burrows","andrew stevens, ryan mccargar",16,21,Pool Play,2021california,Premier
CornRows,Hot Monkey Come,"logan cornelius, matthew burrows","andrew stevens, ryan mccargar",21,14,Pool Play,2021california,Premier
CornRows,Hot Monkey Come,"logan cornelius, matthew burrows","andrew stevens, ryan mccargar",21,16,Pool Play,2021california,Premier
Cisek/Abrams,Cummings/ Bergman,"dan abrams, tyler cisek","caleb cummings, neal bergman",19,21,Pool Play,2021california,Premier
Cisek/Abrams,Cummings/ Bergman,"dan abrams, tyler cisek","caleb cummings, neal bergman",21,15,Pool Play,2021california,Premier
Cisek/Abrams,Cummings/ Bergman,"dan abrams, tyler cisek","caleb cummings, neal bergman",21,16,Pool Play,2021california,Premier
manGOOOOONS ( Team Edward ),Orange Dream,"jacob martinez, jacob payer","archie powell, jack granger",25,23,Pool Play,2021california,Premier
manGOOOOONS ( Team Edward ),Orange Dream,"jacob martinez, jacob payer","archie powell, jack granger",21,19,Pool Play,2021california,Premier
Graham/Showalter,Trash Pandas,"joel graham, pj showalter","christian bennett, ian murphy",21,15,Pool Play,2021california,Premier
Graham/Showalter,Trash Pandas,"joel graham, pj showalter","christian bennett, ian murphy",21,15,Pool Play,2021california,Premier
Yip Yip,Team Alliteration,"austin rawlings, zack duffy","grant marriott, matt murray",21,19,Pool Play,2021california,Premier
Yip Yip,Team Alliteration,"austin rawlings, zack duffy","grant marriott, matt murray",21,15,Pool Play,2021california,Premier
Lowkey,GLO GLO JUICE,"dawson morgan, taylor church","connor prelich, dan bonowski",1,0,Pool Play,2021california,Premier
Lowkey,GLO GLO JUICE,"dawson morgan, taylor church","connor prelich, dan bonowski",100,0,Pool Play,2021california,Premier
The Klondike Bars,BZ Money,"caleb jarrett, chandler hertzler","benjamin banuelos, cade zorio",21,16,Pool Play,2021california,Premier
The Klondike Bars,BZ Money,"caleb jarrett, chandler hertzler","benjamin banuelos, cade zorio",21,13,Pool Play,2021california,Premier
Knotty,Glizzy Gobblers,"jarratt rouse, ryan fitzgerald","kane rickman, trey bowman",21,15,Pool Play,2021california,Premier
Knotty,Glizzy Gobblers,"jarratt rouse, ryan fitzgerald","kane rickman, trey bowman",18,21,Pool Play,2021california,Premier
Knotty,Glizzy Gobblers,"jarratt rouse, ryan fitzgerald","kane rickman, trey bowman",21,16,Pool Play,2021california,Premier
Foote / Oswalt,Nyoom?,"ryan oswalt, warren foote","daniel lindeen, thomas nishimoto",21,13,Pool Play,2021california,Premier
Foote / Oswalt,Nyoom?,"ryan oswalt, warren foote","daniel lindeen, thomas nishimoto",21,16,Pool Play,2021california,Premier
Poptropica,Texas Sucks,"grant laughlin, luke mowry","andrew kosche, dean wasil",21,13,Pool Play,2021california,Premier
Poptropica,Texas Sucks,"grant laughlin, luke mowry","andrew kosche, dean wasil",21,15,Pool Play,2021california,Premier
Dewey Disciples,Wong/(Will) Foote,"kevin bailey, thomas hamilton","caleb wong, william foote",21,7,Pool Play,2021california,Premier
Dewey Disciples,Wong/(Will) Foote,"kevin bailey, thomas hamilton","caleb wong, william foote",22,20,Pool Play,2021california,Premier
The Set Cadets,Alex Daly’s Disciples,"jack selby, kyle lew","jared bingham, sunny gu",21,19,Pool Play,2021california,Contender
Pair of Alacaballics,Goo Lagoon Goons,"allen ombougno, dylan medveal","jack guerrero, thomas pruzek",21,12,Pool Play,2021california,Contender
coastal boys,Jason/Justin,"ricky santiago, tucker judkins","jason kim, justin rasmussen",21,14,Pool Play,2021california,Contender
Brojans,What's Quakin?!,"anthony winney, cory chilton","sean bjork, wayde hall",21,19,Pool Play,2021california,Contender
Fundamental Franks,The Two Ta-Ta’s,"brandon brown, corey schneider","derek tang, isaac taylor",21,8,Pool Play,2021california,Contender
CVS,Backhand fire,"benjamin bliss, derek bonney","elijah kim, sean fireball",21,18,Pool Play,2021california,Contender
Ka-Chow,Hot Boy Summer,"alex buckman, sam buckman","jason bird, trey scheid",25,23,Pool Play,2021california,Contender
Crocs n Socs,Loma State University,"ethan zehr, raymond vargas","garrett meredith, matthew thornton",19,21,Pool Play,2021california,Contender
Kaleb & Creech,Blinngo Ball Indulgence,"isaiah balter, kaleb wagner","luis orozco, nate ellis",21,18,Pool Play,2021california,Contender
Our partners are premier,Bucket Hat Bros,"daniel blodgett, harry hohimer","holden cave, zachary zweber",21,11,Pool Play,2021california,Contender
We Suck,25 & 27,"anthony clifford, garrett carver","kurt lannetti, samuel corey",21,15,Pool Play,2021california,Contender
Margarine,Hunter Gatherers,"abe yeager, aidan gutierrez","aidan mackey, reid watkins",25,24,Pool Play,2021california,Contender
Jason’s Girlfriend’s Fan Club and Jason,Lanky and Clanky,"jason small, john breum","grant gouger, jesse lehn",21,17,Pool Play,2021california,Contender
Stubb’s House,We’re OK,"collin adelseck, john choi","alekz law, levi twyman",21,13,Pool Play,2021california,Contender
The Set Cadets,Goo Lagoon Goons,"jack selby, kyle lew","jack guerrero, thomas pruzek",21,9,Pool Play,2021california,Contender
Pair of Alacaballics,Feast or Famine,"allen ombougno, dylan medveal","clifton miller, noah johnson",21,19,Pool Play,2021california,Contender
Jason/Justin,Alex Daly’s Disciples,"jason kim, justin rasmussen","jared bingham, sunny gu",16,21,Pool Play,2021california,Contender
Brojans,The Two Ta-Ta’s,"anthony winney, cory chilton","derek tang, isaac taylor",21,7,Pool Play,2021california,Contender
Fundamental Franks,Contender Glory Days,"brandon brown, corey schneider","lindros beard, trey thompson",24,22,Pool Play,2021california,Contender
Backhand fire,What's Quakin?!,"elijah kim, sean fireball","sean bjork, wayde hall",11,21,Pool Play,2021california,Contender
Ka-Chow,Loma State University,"alex buckman, sam buckman","garrett meredith, matthew thornton",21,17,Pool Play,2021california,Contender
Crocs n Socs,Chico Dogs,"ethan zehr, raymond vargas","dylan west, nicolas ramos",18,21,Pool Play,2021california,Contender
Blinngo Ball Indulgence,Hot Boy Summer,"luis orozco, nate ellis","jason bird, trey scheid",15,21,Pool Play,2021california,Contender
Our partners are premier,25 & 27,"daniel blodgett, harry hohimer","kurt lannetti, samuel corey",19,21,Pool Play,2021california,Contender
We Suck,Underage Monkeys,"anthony clifford, garrett carver","josh cain, ryan curtis",21,15,Pool Play,2021california,Contender
Hunter Gatherers,Bucket Hat Bros,"aidan mackey, reid watkins","holden cave, zachary zweber",21,14,Pool Play,2021california,Contender
Jason’s Girlfriend’s Fan Club and Jason,We’re OK,"jason small, john breum","alekz law, levi twyman",21,18,Pool Play,2021california,Contender
Rennie's on a Monday,Lanky and Clanky,"ken pflaum, noah saddik","grant gouger, jesse lehn",21,17,Pool Play,2021california,Contender
The Set Cadets,Jason/Justin,"jack selby, kyle lew","jason kim, justin rasmussen",21,11,Pool Play,2021california,Contender
Pair of Alacaballics,coastal boys,"allen ombougno, dylan medveal","ricky santiago, tucker judkins",21,16,Pool Play,2021california,Contender
Feast or Famine,Goo Lagoon Goons,"clifton miller, noah johnson","jack guerrero, thomas pruzek",21,18,Pool Play,2021california,Contender
Brojans,Backhand fire,"anthony winney, cory chilton","elijah kim, sean fireball",21,10,Pool Play,2021california,Contender
Fundamental Franks,CVS,"brandon brown, corey schneider","benjamin bliss, derek bonney",21,18,Pool Play,2021california,Contender
Contender Glory Days,The Two Ta-Ta’s,"lindros beard, trey thompson","derek tang, isaac taylor",21,7,Pool Play,2021california,Contender
Ka-Chow,Blinngo Ball Indulgence,"alex buckman, sam buckman","luis orozco, nate ellis",21,10,Pool Play,2021california,Contender
Crocs n Socs,Kaleb & Creech,"ethan zehr, raymond vargas","isaiah balter, kaleb wagner",17,21,Pool Play,2021california,Contender
Chico Dogs,Loma State University,"dylan west, nicolas ramos","garrett meredith, matthew thornton",21,16,Pool Play,2021california,Contender
Our partners are premier,Hunter Gatherers,"daniel blodgett, harry hohimer","aidan mackey, reid watkins",21,17,Pool Play,2021california,Contender
We Suck,Margarine,"anthony clifford, garrett carver","abe yeager, aidan gutierrez",21,13,Pool Play,2021california,Contender
Underage Monkeys,25 & 27,"josh cain, ryan curtis","kurt lannetti, samuel corey",17,21,Pool Play,2021california,Contender
Jason’s Girlfriend’s Fan Club and Jason,Rennie's on a Monday,"jason small, john breum","ken pflaum, noah saddik",14,21,Pool Play,2021california,Contender
Stubb’s House,Lanky and Clanky,"collin adelseck, john choi","grant gouger, jesse lehn",17,21,Pool Play,2021california,Contender
The Set Cadets,Feast or Famine,"jack selby, kyle lew","clifton miller, noah johnson",21,15,Pool Play,2021california,Contender
