Player 1,Player 2,Team Name,Division,Tournament
connor prelich,jakub popluhar,Bavarian Jersey,Premier,2021chicago
ethan mcwhirter,josh weinbach,Big Booty Bumpers,Premier,2021chicago
david gonzales,nicolas dewey,Chowey,Premier,2021chicago
ethan datwyler,neal bergman,Clubspike Insurgence,Premier,2021chicago
chris wilkins,nick daub,ClubSpike Spidey Senses,Premier,2021chicago
garrett hornok,ryan gross,Curtain call center,Premier,2021chicago
kevin bailey,thomas hamilton,Dewey Disciples,Premier,2021chicago
rahul murthy,fredric hinkle,Double Clutch,Premier,2021chicago
grant klapwijk,kyle ackermann,Ghoul-Aid (Revenge Tour),Premier,2021chicago
cody dryer,luke nickel,GLITCH,Premier,2021chicago
joel graham,pj showalter,Graham/Showalter,Premier,2021chicago
brendan ferreira,ryan marino,Grassy,Premier,2021chicago
chandler hertzler,max billinghurst,Highkey,Premier,2021chicago
addison powers,michael hsu,Hsuper Powers,Premier,2021chicago
dawson morgan,taylor church,Lowkey,Premier,2021chicago
coleman epperson's,ryder rivadeneyra,Ritto Boys,Premier,2021chicago
mitchell grosteffon,skyler sebring,Runner’s Up,Premier,2021chicago
grant longland,justin barr,Short Cakes,Premier,2021chicago
gabe finocchi,travis core,Sloppy Seconds,Premier,2021chicago
austin denny,derek johnson,Smash Bros,Premier,2021chicago
andrew christmas,seth searcy,Snaxx in my bag,Premier,2021chicago
gavin broekema,jason hironimus,Synthetic,Premier,2021chicago
luke marshall,matthew cole,Tiki Taka,Premier,2021chicago
christian bennett,ian murphy,Trash Pandas,Premier,2021chicago
andrew card,clark marshall,Trippy Lizard,Premier,2021chicago
grant laughlin,noah luskus,TRP Outside Smoke,Premier,2021chicago
brian jennerich,jerm porter,WySlammo Zeroes,Premier,2021chicago
ben chenoweth,grey corbus corbus,Boat Crew,Contender,2021chicago
reid watkins,trevor king,Canyon Casuals,Contender,2021chicago
ethan domster,isaac freeman,Chipotle Sauce,Contender,2021chicago
cole chudy,jacob chudy,Chudder Butter,Contender,2021chicago
jake heidman,kenneth cook,Cook/Heidman,Contender,2021chicago
cole maddox,houston sproles,Cryptid,Contender,2021chicago
danny gologorsky,maxwell gunneson,Endurance,Contender,2021chicago
jacob yoo,mitch kelley,fun sized fledglings,Contender,2021chicago
david jorgensen,ken byrd,Go Wheaties!,Contender,2021chicago
kent helmuth,leighton borkholder,Half-Way,Contender,2021chicago
nick rankin,zech huston,Huston/Rankin,Contender,2021chicago
max fiebelkorn,micah bouman,Lanky Smoove,Contender,2021chicago
grant morgan,michael kettwich,Over Easy,Contender,2021chicago
dakota survance,jonathan price,Pocket Aces,Contender,2021chicago
chase bremner,jason inumerable,Say Less,Contender,2021chicago
trevor hoogendoorn,wyatt semke,Semke/Hoogendoorn,Contender,2021chicago
cal papineau,joey pierron,shorewood tennis,Contender,2021chicago
drew martin,lance martin,Sons of Kenneth,Contender,2021chicago
nathan foor,noah delong,Spike Kings of Bourbonnais,Contender,2021chicago
chris kaptur,vir sikand,Spikearoni,Contender,2021chicago
aaron stone,john breum,Stone/Breum,Contender,2021chicago
nick kirkpatrick,ryan schweizer,Super Strikers,Contender,2021chicago
josiah friend,judah friend,The Friend Bros,Contender,2021chicago
chris place,mike priller,The Priller Place,Contender,2021chicago
holden cave,kevin um,Um Holdon,Contender,2021chicago
joey shallat,zach mizrachi,zooweemama,Contender,2021chicago
jonathan lenz,matt glowacz,$7 PBR,Advanced,2021chicago
ben rogina,kalvin fellows,21 Point Pansies,Advanced,2021chicago
ruben zapata,yubeira zapata,24 seven,Advanced,2021chicago
joseph lederman,josiah lund,3rd's Always Money,Advanced,2021chicago
andrew bowman,brian harrington,Ace of Spikes,Advanced,2021chicago
alexi ness,zachary zweber,Attack of the Insomniac,Advanced,2021chicago
caleb patterson,joe miller,Autopilot,Advanced,2021chicago
andy gibson,wesley green,bekfst club,Advanced,2021chicago
kenny velu,matthew greathouse,BeyBlades,Advanced,2021chicago
david aschenbrenner,matt aschenbrenner,Blondeberry Fwango,Advanced,2021chicago
josiah bontrager,tyler schrock,Chicken Nuggets,Advanced,2021chicago
ben feng,madison peddy,Colorado Spikeball,Advanced,2021chicago
david zapata,luis ruiz,Dad buds,Advanced,2021chicago
caden fry,mason mcmillen,Double Over Danger,Advanced,2021chicago
talon clausen,travis bernhard,Drop outs,Advanced,2021chicago
aidan akkawi,luke barham,Dub Club,Advanced,2021chicago
corban yoder,tim borodkin,Bussin Backhands,Advanced,2021chicago
joshua crozier,matthew crozier,Cool Beanz,Advanced,2021chicago
jack bush,matthew scholz,Corn Smugglers,Advanced,2021chicago
cisco flores,gabriel preston,Cows,Advanced,2021chicago
adam jessee,kevin amalaraj,Dixon Balls,Advanced,2021chicago
andrew lemler,dylan martin,DnA,Advanced,2021chicago
joseph cruz,kyle shires,Halo.Two Betrayals.Legendary,Advanced,2021chicago
caleb murray,john christensen,Hog Riders,Advanced,2021chicago
aliza siddiqui,mo shir,I get PP smashed,Advanced,2021chicago
