Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Sloppy Seconds,Gold Diggers,"gabe finocchi, travis core","garrett hornok, kyle ackermann",21,18,Pool Play,2021nationals,Pro
Sloppy Seconds,Gold Diggers,"gabe finocchi, travis core","garrett hornok, kyle ackermann",21,19,Pool Play,2021nationals,Pro
TRP Outside Smoke,Gross eggs and Ham,"grant laughlin, noah luskus","ryan gross, thomas hamilton",21,16,Pool Play,2021nationals,Pro
TRP Outside Smoke,Gross eggs and Ham,"grant laughlin, noah luskus","ryan gross, thomas hamilton",24,22,Pool Play,2021nationals,Pro
Double Clutch,Tiki Taka,"rahul murthy, fredric hinkle","luke marshall, matthew cole",21,15,Pool Play,2021nationals,Pro
Double Clutch,Tiki Taka,"rahul murthy, fredric hinkle","luke marshall, matthew cole",21,17,Pool Play,2021nationals,Pro
WySpike Toxicity,Hilltop,"david louis, luke mowry","cole model, max model",21,17,Pool Play,2021nationals,Pro
WySpike Toxicity,Hilltop,"david louis, luke mowry","cole model, max model",19,21,Pool Play,2021nationals,Pro
WySpike Toxicity,Hilltop,"david louis, luke mowry","cole model, max model",17,21,Pool Play,2021nationals,Pro
Assistive Touch,Foote / Oswalt,"buddy hammon, clark marshall","ryan oswalt, warren foote",21,17,Pool Play,2021nationals,Pro
Assistive Touch,Foote / Oswalt,"buddy hammon, clark marshall","ryan oswalt, warren foote",21,18,Pool Play,2021nationals,Pro
Knotty,Volley Llamas,"jarratt rouse, ryan fitzgerald","joe bondi, will picone",16,21,Pool Play,2021nationals,Pro
Knotty,Volley Llamas,"jarratt rouse, ryan fitzgerald","joe bondi, will picone",16,21,Pool Play,2021nationals,Pro
Ritto Boys,Graham/Showalter,"coleman epperson, ryder rivadeneryra","joel graham, pj showalter",21,16,Pool Play,2021nationals,Pro
Ritto Boys,Graham/Showalter,"coleman epperson, ryder rivadeneryra","joel graham, pj showalter",21,11,Pool Play,2021nationals,Pro
Lowkey,Boysterous,"dawson morgan, taylor church","caleb heck, preston bies",19,21,Pool Play,2021nationals,Pro
Lowkey,Boysterous,"dawson morgan, taylor church","caleb heck, preston bies",21,17,Pool Play,2021nationals,Pro
Lowkey,Boysterous,"dawson morgan, taylor church","caleb heck, preston bies",22,20,Pool Play,2021nationals,Pro
Sloppy Seconds,Gross eggs and Ham,"gabe finocchi, travis core","ryan gross, thomas hamilton",21,13,Pool Play,2021nationals,Pro
Sloppy Seconds,Gross eggs and Ham,"gabe finocchi, travis core","ryan gross, thomas hamilton",16,21,Pool Play,2021nationals,Pro
