Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Finocchurch,Hot Jam,"gabe finocchi, taylor church","andrew stevens, dylan bricker",21,12,Pool Play,2021saltlakecity,Premier
Finocchurch,Hot Jam,"gabe finocchi, taylor church","andrew stevens, dylan bricker",21,15,Pool Play,2021saltlakecity,Premier
Nalgas Grandes,Los & Len,"solomon berry, zack duffy","allen iwamoto, carlos yvellez",28,30,Pool Play,2021saltlakecity,Premier
Nalgas Grandes,Los & Len,"solomon berry, zack duffy","allen iwamoto, carlos yvellez",19,21,Pool Play,2021saltlakecity,Premier
Nalgas Grandes,Los & Len,"solomon berry, zack duffy","allen iwamoto, carlos yvellez",23,21,Pool Play,2021saltlakecity,Premier
Seg Fault,“Carry”,"garrett hornok, rahul murthy","jalen butkus, luke freimanis",21,16,Pool Play,2021saltlakecity,Premier
Seg Fault,“Carry”,"garrett hornok, rahul murthy","jalen butkus, luke freimanis",21,11,Pool Play,2021saltlakecity,Premier
Gucci Synonymous,Da Boy's Bois,"gage maddox, tyler stokes","aj hutchinson, warner curtis",25,23,Pool Play,2021saltlakecity,Premier
Gucci Synonymous,Da Boy's Bois,"gage maddox, tyler stokes","aj hutchinson, warner curtis",21,16,Pool Play,2021saltlakecity,Premier
Trippy Lizard,Sports and Trevor,"andrew card, clark marshall","jackson brasfield, trevor barbosa",21,18,Pool Play,2021saltlakecity,Premier
Trippy Lizard,Sports and Trevor,"andrew card, clark marshall","jackson brasfield, trevor barbosa",21,16,Pool Play,2021saltlakecity,Premier
DO is Trash,WySpike Toxicity,"luke marshall, michael hsu","david louis, luke mowry",16,21,Pool Play,2021saltlakecity,Premier
DO is Trash,WySpike Toxicity,"luke marshall, michael hsu","david louis, luke mowry",18,21,Pool Play,2021saltlakecity,Premier
Bud N' Boles,Saint and Slade,"buddy hammon, skyler boles","ryan st. denis, slade warner",21,18,Pool Play,2021saltlakecity,Premier
Bud N' Boles,Saint and Slade,"buddy hammon, skyler boles","ryan st. denis, slade warner",15,21,Pool Play,2021saltlakecity,Premier
