Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Assistive Touch,Karasuno,"buddy hammon, clark marshall","aj hutchinson, bryce wagoner",21,10,Pool Play,2021texas,Premier
Assistive Touch,Karasuno,"buddy hammon, clark marshall","aj hutchinson, bryce wagoner",21,11,Pool Play,2021texas,Premier
Highly Calculated,WySpike Heroes,"dan abrams, ravi kandula","colton mowry, luke mowry",21,18,Pool Play,2021texas,Premier
Highly Calculated,WySpike Heroes,"dan abrams, ravi kandula","colton mowry, luke mowry",21,16,Pool Play,2021texas,Premier
Sloppy Seconds,Sushi for 2,"gabe finocchi, travis core","jay buxton, ty parrillo",21,14,Pool Play,2021texas,Premier
Sloppy Seconds,Sushi for 2,"gabe finocchi, travis core","jay buxton, ty parrillo",21,16,Pool Play,2021texas,Premier
PROUD FATHERS,DO is Trash,"brian childs, david louis","luke marshall, michael hsu",21,18,Pool Play,2021texas,Premier
PROUD FATHERS,DO is Trash,"brian childs, david louis","luke marshall, michael hsu",22,20,Pool Play,2021texas,Premier
Tintin Twins,Yip Yip,"fredric hinkle, warren foote","chase meyer, konor prelich",21,12,Pool Play,2021texas,Premier
Tintin Twins,Yip Yip,"fredric hinkle, warren foote","chase meyer, konor prelich",21,12,Pool Play,2021texas,Premier
El Gonzales/Singer,Nolan Ryan,"artie singer, david gonzales","caleb cummings, matthew cole",15,21,Pool Play,2021texas,Premier
El Gonzales/Singer,Nolan Ryan,"artie singer, david gonzales","caleb cummings, matthew cole",15,21,Pool Play,2021texas,Premier
Ritto Boys,Gold Diggers,"coleman epperson's, ryder rivadeneyra","garrett hornok, kyle ackermann",21,19,Pool Play,2021texas,Premier
Ritto Boys,Gold Diggers,"coleman epperson's, ryder rivadeneyra","garrett hornok, kyle ackermann",21,17,Pool Play,2021texas,Premier
Assistive Touch,WySpike Heroes,"buddy hammon, clark marshall","colton mowry, luke mowry",21,16,Pool Play,2021texas,Premier
Assistive Touch,WySpike Heroes,"buddy hammon, clark marshall","colton mowry, luke mowry",21,18,Pool Play,2021texas,Premier
2 Years Later,Karasuno,"1 more, kane rickman, solomon berry","aj hutchinson, bryce wagoner",22,20,Pool Play,2021texas,Premier
2 Years Later,Karasuno,"1 more, kane rickman, solomon berry","aj hutchinson, bryce wagoner",21,17,Pool Play,2021texas,Premier
Sloppy Seconds,DO is Trash,"gabe finocchi, travis core","luke marshall, michael hsu",21,16,Pool Play,2021texas,Premier
Sloppy Seconds,DO is Trash,"gabe finocchi, travis core","luke marshall, michael hsu",21,16,Pool Play,2021texas,Premier
PROUD FATHERS,Sushi for 2,"brian childs, david louis","jay buxton, ty parrillo",21,13,Pool Play,2021texas,Premier
PROUD FATHERS,Sushi for 2,"brian childs, david louis","jay buxton, ty parrillo",21,17,Pool Play,2021texas,Premier
Ultra Sexy Baddies,Yip Yip,"addison powers, grant laughlin","chase meyer, konor prelich",21,16,Pool Play,2021texas,Premier
Ultra Sexy Baddies,Yip Yip,"addison powers, grant laughlin","chase meyer, konor prelich",21,14,Pool Play,2021texas,Premier
El Gonzales/Singer,Gold Diggers,"artie singer, david gonzales","garrett hornok, kyle ackermann",14,21,Pool Play,2021texas,Premier
El Gonzales/Singer,Gold Diggers,"artie singer, david gonzales","garrett hornok, kyle ackermann",11,21,Pool Play,2021texas,Premier
Ritto Boys,Nolan Ryan,"coleman epperson's, ryder rivadeneyra","caleb cummings, matthew cole",21,17,Pool Play,2021texas,Premier
Ritto Boys,Nolan Ryan,"coleman epperson's, ryder rivadeneyra","caleb cummings, matthew cole",21,12,Pool Play,2021texas,Premier
Assistive Touch,2 Years Later,"buddy hammon, clark marshall","1 more, kane rickman, solomon berry",21,10,Pool Play,2021texas,Premier
Assistive Touch,2 Years Later,"buddy hammon, clark marshall","1 more, kane rickman, solomon berry",21,9,Pool Play,2021texas,Premier
Highly Calculated,Karasuno,"dan abrams, ravi kandula","aj hutchinson, bryce wagoner",21,16,Pool Play,2021texas,Premier
Highly Calculated,Karasuno,"dan abrams, ravi kandula","aj hutchinson, bryce wagoner",21,13,Pool Play,2021texas,Premier
Sloppy Seconds,PROUD FATHERS,"gabe finocchi, travis core","brian childs, david louis",21,17,Pool Play,2021texas,Premier
Sloppy Seconds,PROUD FATHERS,"gabe finocchi, travis core","brian childs, david louis",21,17,Pool Play,2021texas,Premier
DO is Trash,Sushi for 2,"luke marshall, michael hsu","jay buxton, ty parrillo",21,17,Pool Play,2021texas,Premier
DO is Trash,Sushi for 2,"luke marshall, michael hsu","jay buxton, ty parrillo",16,21,Pool Play,2021texas,Premier
DO is Trash,Sushi for 2,"luke marshall, michael hsu","jay buxton, ty parrillo",21,16,Pool Play,2021texas,Premier
Tintin Twins,Ultra Sexy Baddies,"fredric hinkle, warren foote","addison powers, grant laughlin",26,28,Pool Play,2021texas,Premier
Tintin Twins,Ultra Sexy Baddies,"fredric hinkle, warren foote","addison powers, grant laughlin",21,13,Pool Play,2021texas,Premier
Tintin Twins,Ultra Sexy Baddies,"fredric hinkle, warren foote","addison powers, grant laughlin",21,18,Pool Play,2021texas,Premier
El Gonzales/Singer,Ritto Boys,"artie singer, david gonzales","coleman epperson's, ryder rivadeneyra",14,21,Pool Play,2021texas,Premier
El Gonzales/Singer,Ritto Boys,"artie singer, david gonzales","coleman epperson's, ryder rivadeneyra",15,21,Pool Play,2021texas,Premier
Gold Diggers,Nolan Ryan,"garrett hornok, kyle ackermann","caleb cummings, matthew cole",16,21,Pool Play,2021texas,Premier
Gold Diggers,Nolan Ryan,"garrett hornok, kyle ackermann","caleb cummings, matthew cole",21,17,Pool Play,2021texas,Premier
Gold Diggers,Nolan Ryan,"garrett hornok, kyle ackermann","caleb cummings, matthew cole",21,14,Pool Play,2021texas,Premier
Highly Calculated,2 Years Later,"dan abrams, ravi kandula","1 more, kane rickman, solomon berry",21,16,Pool Play,2021texas,Premier
Highly Calculated,2 Years Later,"dan abrams, ravi kandula","1 more, kane rickman, solomon berry",21,19,Pool Play,2021texas,Premier
WySpike Heroes,Karasuno,"colton mowry, luke mowry","aj hutchinson, bryce wagoner",30,32,Pool Play,2021texas,Premier
WySpike Heroes,Karasuno,"colton mowry, luke mowry","aj hutchinson, bryce wagoner",21,14,Pool Play,2021texas,Premier
WySpike Heroes,Karasuno,"colton mowry, luke mowry","aj hutchinson, bryce wagoner",21,11,Pool Play,2021texas,Premier
Assistive Touch,Highly Calculated,"buddy hammon, clark marshall","dan abrams, ravi kandula",19,21,Pool Play,2021texas,Premier
Assistive Touch,Highly Calculated,"buddy hammon, clark marshall","dan abrams, ravi kandula",21,14,Pool Play,2021texas,Premier
Assistive Touch,Highly Calculated,"buddy hammon, clark marshall","dan abrams, ravi kandula",22,20,Pool Play,2021texas,Premier
2 Years Later,WySpike Heroes,"1 more, kane rickman, solomon berry","colton mowry, luke mowry",17,21,Pool Play,2021texas,Premier
2 Years Later,WySpike Heroes,"1 more, kane rickman, solomon berry","colton mowry, luke mowry",19,21,Pool Play,2021texas,Premier
Dyljo,Rottweilers,"dylan keen, josh weinbach","jason russell, joey mira",21,11,Pool Play,2021texas,Contender
Second Chance,SA Chiggidy Chiggidy,"grant miller, jack granger","jason checchin, kyle walsh",21,9,Pool Play,2021texas,Contender
Emm 2,Bots,"matt hultberg, mike priller","ben arney, carter hodgson",21,19,Pool Play,2021texas,Contender
Joe,Spikeyu!!,"brian jennerich, reese herndon","luis orozco, noah zbinden",23,21,Pool Play,2021texas,Contender
Hinkle’s Elders,Trash Pandas,"alex goates, caleb jarrett","christian bennett, ian murphy",21,13,Pool Play,2021texas,Contender
Contender Team 16,Go Big Red,"rhett howe, trevor hoogendoorn","ryan kerr, trevor cumpston",21,9,Pool Play,2021texas,Contender
Texas Sucks,"No shoes, No shirt","andrew kosche, dean wasil","jake skelton, michael kerr",21,7,Pool Play,2021texas,Contender
Jam and Butter Drops,This is our Second Tournament,"francesco mauro, marcus tita","bryce niedziejko, jared almon",21,11,Pool Play,2021texas,Contender
Chris's Prospects,Los & Len,"blake henke, grayson m wills","allen iwamoto, carlos yvellez",17,21,Pool Play,2021texas,Contender
Dabble,The Hustlers,"ian golembeski, jalen butkus","corbin sorokolit, riley riethman",21,6,Pool Play,2021texas,Contender
Double Geezburger,Cibolo Reps,"gavin r lotts, grady wright","david castanon, will castanon",21,9,Pool Play,2021texas,Contender
Aerodynamic,Plastic utensils,"adison larue, jaxon zwerneman","alex harper, owen bass",13,21,Pool Play,2021texas,Contender
Dyljo,SA Chiggidy Chiggidy,"dylan keen, josh weinbach","jason checchin, kyle walsh",21,9,Pool Play,2021texas,Contender
Second Chance,Spikeyu!!,"grant miller, jack granger","luis orozco, noah zbinden",21,13,Pool Play,2021texas,Contender
Emm 2,Joe,"matt hultberg, mike priller","brian jennerich, reese herndon",17,21,Pool Play,2021texas,Contender
Bots,Rottweilers,"ben arney, carter hodgson","jason russell, joey mira",21,9,Pool Play,2021texas,Contender
Hinkle’s Elders,Go Big Red,"alex goates, caleb jarrett","ryan kerr, trevor cumpston",21,3,Pool Play,2021texas,Contender
Contender Team 16,This is our Second Tournament,"rhett howe, trevor hoogendoorn","bryce niedziejko, jared almon",21,12,Pool Play,2021texas,Contender
Texas Sucks,Jam and Butter Drops,"andrew kosche, dean wasil","francesco mauro, marcus tita",21,12,Pool Play,2021texas,Contender
"No shoes, No shirt",Trash Pandas,"jake skelton, michael kerr","christian bennett, ian murphy",14,21,Pool Play,2021texas,Contender
Chris's Prospects,The Hustlers,"blake henke, grayson m wills","corbin sorokolit, riley riethman",21,7,Pool Play,2021texas,Contender
Dabble,Plastic utensils,"ian golembeski, jalen butkus","alex harper, owen bass",25,23,Pool Play,2021texas,Contender
Double Geezburger,Aerodynamic,"gavin r lotts, grady wright","adison larue, jaxon zwerneman",21,15,Pool Play,2021texas,Contender
Cibolo Reps,Los & Len,"david castanon, will castanon","allen iwamoto, carlos yvellez",4,21,Pool Play,2021texas,Contender
Dyljo,Bots,"dylan keen, josh weinbach","ben arney, carter hodgson",21,16,Pool Play,2021texas,Contender
Second Chance,Emm 2,"grant miller, jack granger","matt hultberg, mike priller",21,14,Pool Play,2021texas,Contender
Joe,Rottweilers,"brian jennerich, reese herndon","jason russell, joey mira",21,12,Pool Play,2021texas,Contender
Spikeyu!!,SA Chiggidy Chiggidy,"luis orozco, noah zbinden","jason checchin, kyle walsh",21,18,Pool Play,2021texas,Contender
Hinkle’s Elders,"No shoes, No shirt","alex goates, caleb jarrett","jake skelton, michael kerr",21,8,Pool Play,2021texas,Contender
Contender Team 16,Texas Sucks,"rhett howe, trevor hoogendoorn","andrew kosche, dean wasil",13,21,Pool Play,2021texas,Contender
Jam and Butter Drops,Trash Pandas,"francesco mauro, marcus tita","christian bennett, ian murphy",17,21,Pool Play,2021texas,Contender
This is our Second Tournament,Go Big Red,"bryce niedziejko, jared almon","ryan kerr, trevor cumpston",21,14,Pool Play,2021texas,Contender
Chris's Prospects,Cibolo Reps,"blake henke, grayson m wills","david castanon, will castanon",21,8,Pool Play,2021texas,Contender
Dabble,Double Geezburger,"ian golembeski, jalen butkus","gavin r lotts, grady wright",21,13,Pool Play,2021texas,Contender
Aerodynamic,Los & Len,"adison larue, jaxon zwerneman","allen iwamoto, carlos yvellez",9,21,Pool Play,2021texas,Contender
Plastic utensils,The Hustlers,"alex harper, owen bass","corbin sorokolit, riley riethman",21,10,Pool Play,2021texas,Contender
Dyljo,Spikeyu!!,"dylan keen, josh weinbach","luis orozco, noah zbinden",21,14,Pool Play,2021texas,Contender
Second Chance,Rottweilers,"grant miller, jack granger","jason russell, joey mira",21,4,Pool Play,2021texas,Contender
Emm 2,SA Chiggidy Chiggidy,"matt hultberg, mike priller","jason checchin, kyle walsh",21,17,Pool Play,2021texas,Contender
Joe,Bots,"brian jennerich, reese herndon","ben arney, carter hodgson",14,21,Pool Play,2021texas,Contender
Hinkle’s Elders,This is our Second Tournament,"alex goates, caleb jarrett","bryce niedziejko, jared almon",21,10,Pool Play,2021texas,Contender
Contender Team 16,Trash Pandas,"rhett howe, trevor hoogendoorn","christian bennett, ian murphy",17,21,Pool Play,2021texas,Contender
Texas Sucks,Go Big Red,"andrew kosche, dean wasil","ryan kerr, trevor cumpston",21,11,Pool Play,2021texas,Contender
Jam and Butter Drops,"No shoes, No shirt","francesco mauro, marcus tita","jake skelton, michael kerr",21,19,Pool Play,2021texas,Contender
Chris's Prospects,Plastic utensils,"blake henke, grayson m wills","alex harper, owen bass",17,21,Pool Play,2021texas,Contender
Dabble,Los & Len,"ian golembeski, jalen butkus","allen iwamoto, carlos yvellez",21,19,Pool Play,2021texas,Contender
Double Geezburger,The Hustlers,"gavin r lotts, grady wright","corbin sorokolit, riley riethman",21,5,Pool Play,2021texas,Contender
Aerodynamic,Cibolo Reps,"adison larue, jaxon zwerneman","david castanon, will castanon",21,13,Pool Play,2021texas,Contender
Dyljo,Joe,"dylan keen, josh weinbach","brian jennerich, reese herndon",21,10,Pool Play,2021texas,Contender
Second Chance,Bots,"grant miller, jack granger","ben arney, carter hodgson",21,16,Pool Play,2021texas,Contender
Emm 2,Spikeyu!!,"matt hultberg, mike priller","luis orozco, noah zbinden",21,19,Pool Play,2021texas,Contender
SA Chiggidy Chiggidy,Rottweilers,"jason checchin, kyle walsh","jason russell, joey mira",21,11,Pool Play,2021texas,Contender
Hinkle’s Elders,Jam and Butter Drops,"alex goates, caleb jarrett","francesco mauro, marcus tita",21,10,Pool Play,2021texas,Contender
Contender Team 16,"No shoes, No shirt","rhett howe, trevor hoogendoorn","jake skelton, michael kerr",21,11,Pool Play,2021texas,Contender
Texas Sucks,This is our Second Tournament,"andrew kosche, dean wasil","bryce niedziejko, jared almon",21,6,Pool Play,2021texas,Contender
Go Big Red,Trash Pandas,"ryan kerr, trevor cumpston","christian bennett, ian murphy",7,21,Pool Play,2021texas,Contender
Chris's Prospects,Aerodynamic,"blake henke, grayson m wills","adison larue, jaxon zwerneman",21,6,Pool Play,2021texas,Contender
Dabble,Cibolo Reps,"ian golembeski, jalen butkus","david castanon, will castanon",21,9,Pool Play,2021texas,Contender
Double Geezburger,Plastic utensils,"gavin r lotts, grady wright","alex harper, owen bass",16,21,Pool Play,2021texas,Contender
The Hustlers,Los & Len,"corbin sorokolit, riley riethman","allen iwamoto, carlos yvellez",2,21,Pool Play,2021texas,Contender
Dyljo,Emm 2,"dylan keen, josh weinbach","matt hultberg, mike priller",21,15,Pool Play,2021texas,Contender
Second Chance,Joe,"grant miller, jack granger","brian jennerich, reese herndon",21,13,Pool Play,2021texas,Contender
Spikeyu!!,Rottweilers,"luis orozco, noah zbinden","jason russell, joey mira",21,16,Pool Play,2021texas,Contender
Bots,SA Chiggidy Chiggidy,"ben arney, carter hodgson","jason checchin, kyle walsh",21,19,Pool Play,2021texas,Contender
Hinkle’s Elders,Texas Sucks,"alex goates, caleb jarrett","andrew kosche, dean wasil",21,15,Pool Play,2021texas,Contender
Contender Team 16,Jam and Butter Drops,"rhett howe, trevor hoogendoorn","francesco mauro, marcus tita",21,16,Pool Play,2021texas,Contender
This is our Second Tournament,Trash Pandas,"bryce niedziejko, jared almon","christian bennett, ian murphy",12,21,Pool Play,2021texas,Contender
"No shoes, No shirt",Go Big Red,"jake skelton, michael kerr","ryan kerr, trevor cumpston",21,16,Pool Play,2021texas,Contender
Chris's Prospects,Double Geezburger,"blake henke, grayson m wills","gavin r lotts, grady wright",21,11,Pool Play,2021texas,Contender
Dabble,Aerodynamic,"ian golembeski, jalen butkus","adison larue, jaxon zwerneman",21,10,Pool Play,2021texas,Contender
Plastic utensils,Los & Len,"alex harper, owen bass","allen iwamoto, carlos yvellez",17,21,Pool Play,2021texas,Contender
Cibolo Reps,The Hustlers,"david castanon, will castanon","corbin sorokolit, riley riethman",21,9,Pool Play,2021texas,Contender
Dyljo,Second Chance,"dylan keen, josh weinbach","grant miller, jack granger",21,17,Pool Play,2021texas,Contender
Emm 2,Rottweilers,"matt hultberg, mike priller","jason russell, joey mira",21,19,Pool Play,2021texas,Contender
Joe,SA Chiggidy Chiggidy,"brian jennerich, reese herndon","jason checchin, kyle walsh",21,19,Pool Play,2021texas,Contender
Spikeyu!!,Bots,"luis orozco, noah zbinden","ben arney, carter hodgson",18,21,Pool Play,2021texas,Contender
Hinkle’s Elders,Contender Team 16,"alex goates, caleb jarrett","rhett howe, trevor hoogendoorn",21,19,Pool Play,2021texas,Contender
Texas Sucks,Trash Pandas,"andrew kosche, dean wasil","christian bennett, ian murphy",21,18,Pool Play,2021texas,Contender
Jam and Butter Drops,Go Big Red,"francesco mauro, marcus tita","ryan kerr, trevor cumpston",21,16,Pool Play,2021texas,Contender
This is our Second Tournament,"No shoes, No shirt","bryce niedziejko, jared almon","jake skelton, michael kerr",21,19,Pool Play,2021texas,Contender
Chris's Prospects,Dabble,"blake henke, grayson m wills","ian golembeski, jalen butkus",21,19,Pool Play,2021texas,Contender
Double Geezburger,Los & Len,"gavin r lotts, grady wright","allen iwamoto, carlos yvellez",15,21,Pool Play,2021texas,Contender
Aerodynamic,The Hustlers,"adison larue, jaxon zwerneman","corbin sorokolit, riley riethman",21,8,Pool Play,2021texas,Contender
Plastic utensils,Cibolo Reps,"alex harper, owen bass","david castanon, will castanon",21,9,Pool Play,2021texas,Contender
Graham/Rogers,Celebration,"alli kauffman rogers, becca graham","allison jennerich, julia brochu",15,8,Pool Play,2021texas,Women's
Graham/Rogers,Celebration,"alli kauffman rogers, becca graham","allison jennerich, julia brochu",15,9,Pool Play,2021texas,Women's
Mighty Icy,Deuces,"katie parker, mey helm","katie pierson, maranda dove",11,15,Pool Play,2021texas,Women's
Mighty Icy,Deuces,"katie parker, mey helm","katie pierson, maranda dove",8,15,Pool Play,2021texas,Women's
TWINZ,718 Miles,"ali jenki, olivia jenki","kenya medina, sarah allen",15,9,Pool Play,2021texas,Women's
TWINZ,718 Miles,"ali jenki, olivia jenki","kenya medina, sarah allen",15,6,Pool Play,2021texas,Women's
THUS Parabatai,Zoomies,"kalin morgan, kayla wu","allie foster, karah hui",15,13,Pool Play,2021texas,Women's
THUS Parabatai,Zoomies,"kalin morgan, kayla wu","allie foster, karah hui",12,15,Pool Play,2021texas,Women's
THUS Parabatai,Zoomies,"kalin morgan, kayla wu","allie foster, karah hui",15,11,Pool Play,2021texas,Women's
A Playa Named Gus,The Mandascorians,"shachi patel, shannon tubbesing","aunalisa harrison, julie orozco",15,4,Pool Play,2021texas,Women's
A Playa Named Gus,The Mandascorians,"shachi patel, shannon tubbesing","aunalisa harrison, julie orozco",15,2,Pool Play,2021texas,Women's
New Kids on the Block,Okie Dokie,"courtney middelkoop, katie bartley","bekah smith, emily ashworth",15,14,Pool Play,2021texas,Women's
New Kids on the Block,Okie Dokie,"courtney middelkoop, katie bartley","bekah smith, emily ashworth",15,10,Pool Play,2021texas,Women's
Graham/Rogers,Deuces,"alli kauffman rogers, becca graham","katie pierson, maranda dove",15,11,Pool Play,2021texas,Women's
Graham/Rogers,Deuces,"alli kauffman rogers, becca graham","katie pierson, maranda dove",15,12,Pool Play,2021texas,Women's
SLO & CO,Celebration,"heidi haze, joelle nguyen","allison jennerich, julia brochu",15,9,Pool Play,2021texas,Women's
SLO & CO,Celebration,"heidi haze, joelle nguyen","allison jennerich, julia brochu",15,8,Pool Play,2021texas,Women's
TWINZ,Zoomies,"ali jenki, olivia jenki","allie foster, karah hui",15,8,Pool Play,2021texas,Women's
TWINZ,Zoomies,"ali jenki, olivia jenki","allie foster, karah hui",15,7,Pool Play,2021texas,Women's
THUS Parabatai,718 Miles,"kalin morgan, kayla wu","kenya medina, sarah allen",17,15,Pool Play,2021texas,Women's
THUS Parabatai,718 Miles,"kalin morgan, kayla wu","kenya medina, sarah allen",15,13,Pool Play,2021texas,Women's
A Playa Named Gus,Okie Dokie,"shachi patel, shannon tubbesing","bekah smith, emily ashworth",15,8,Pool Play,2021texas,Women's
A Playa Named Gus,Okie Dokie,"shachi patel, shannon tubbesing","bekah smith, emily ashworth",15,12,Pool Play,2021texas,Women's
Ballers,The Mandascorians,"jessica herlitz, kati gibson","aunalisa harrison, julie orozco",16,14,Pool Play,2021texas,Women's
Ballers,The Mandascorians,"jessica herlitz, kati gibson","aunalisa harrison, julie orozco",15,10,Pool Play,2021texas,Women's
Graham/Rogers,SLO & CO,"alli kauffman rogers, becca graham","heidi haze, joelle nguyen",15,12,Pool Play,2021texas,Women's
Graham/Rogers,SLO & CO,"alli kauffman rogers, becca graham","heidi haze, joelle nguyen",12,15,Pool Play,2021texas,Women's
Graham/Rogers,SLO & CO,"alli kauffman rogers, becca graham","heidi haze, joelle nguyen",15,11,Pool Play,2021texas,Women's
Mighty Icy,Celebration,"katie parker, mey helm","allison jennerich, julia brochu",12,15,Pool Play,2021texas,Women's
Mighty Icy,Celebration,"katie parker, mey helm","allison jennerich, julia brochu",15,13,Pool Play,2021texas,Women's
Mighty Icy,Celebration,"katie parker, mey helm","allison jennerich, julia brochu",15,17,Pool Play,2021texas,Women's
TWINZ,THUS Parabatai,"ali jenki, olivia jenki","kalin morgan, kayla wu",15,11,Pool Play,2021texas,Women's
TWINZ,THUS Parabatai,"ali jenki, olivia jenki","kalin morgan, kayla wu",15,6,Pool Play,2021texas,Women's
Zoomies,718 Miles,"allie foster, karah hui","kenya medina, sarah allen",15,11,Pool Play,2021texas,Women's
Zoomies,718 Miles,"allie foster, karah hui","kenya medina, sarah allen",15,9,Pool Play,2021texas,Women's
A Playa Named Gus,Ballers,"shachi patel, shannon tubbesing","jessica herlitz, kati gibson",15,7,Pool Play,2021texas,Women's
A Playa Named Gus,Ballers,"shachi patel, shannon tubbesing","jessica herlitz, kati gibson",15,4,Pool Play,2021texas,Women's
New Kids on the Block,The Mandascorians,"courtney middelkoop, katie bartley","aunalisa harrison, julie orozco",15,7,Pool Play,2021texas,Women's
New Kids on the Block,The Mandascorians,"courtney middelkoop, katie bartley","aunalisa harrison, julie orozco",15,11,Pool Play,2021texas,Women's
Mighty Icy,SLO & CO,"katie parker, mey helm","heidi haze, joelle nguyen",8,15,Pool Play,2021texas,Women's
Mighty Icy,SLO & CO,"katie parker, mey helm","heidi haze, joelle nguyen",11,15,Pool Play,2021texas,Women's
Deuces,Celebration,"katie pierson, maranda dove","allison jennerich, julia brochu",15,13,Pool Play,2021texas,Women's
Deuces,Celebration,"katie pierson, maranda dove","allison jennerich, julia brochu",13,15,Pool Play,2021texas,Women's
Deuces,Celebration,"katie pierson, maranda dove","allison jennerich, julia brochu",15,13,Pool Play,2021texas,Women's
New Kids on the Block,Ballers,"courtney middelkoop, katie bartley","jessica herlitz, kati gibson",15,13,Pool Play,2021texas,Women's
New Kids on the Block,Ballers,"courtney middelkoop, katie bartley","jessica herlitz, kati gibson",15,9,Pool Play,2021texas,Women's
Okie Dokie,The Mandascorians,"bekah smith, emily ashworth","aunalisa harrison, julie orozco",15,11,Pool Play,2021texas,Women's
Okie Dokie,The Mandascorians,"bekah smith, emily ashworth","aunalisa harrison, julie orozco",15,5,Pool Play,2021texas,Women's
Graham/Rogers,Mighty Icy,"alli kauffman rogers, becca graham","katie parker, mey helm",15,9,Pool Play,2021texas,Women's
Graham/Rogers,Mighty Icy,"alli kauffman rogers, becca graham","katie parker, mey helm",15,11,Pool Play,2021texas,Women's
SLO & CO,Deuces,"heidi haze, joelle nguyen","katie pierson, maranda dove",13,15,Pool Play,2021texas,Women's
SLO & CO,Deuces,"heidi haze, joelle nguyen","katie pierson, maranda dove",15,17,Pool Play,2021texas,Women's
A Playa Named Gus,New Kids on the Block,"shachi patel, shannon tubbesing","courtney middelkoop, katie bartley",14,15,Pool Play,2021texas,Women's
A Playa Named Gus,New Kids on the Block,"shachi patel, shannon tubbesing","courtney middelkoop, katie bartley",15,12,Pool Play,2021texas,Women's
A Playa Named Gus,New Kids on the Block,"shachi patel, shannon tubbesing","courtney middelkoop, katie bartley",15,14,Pool Play,2021texas,Women's
Ballers,Okie Dokie,"jessica herlitz, kati gibson","bekah smith, emily ashworth",7,15,Pool Play,2021texas,Women's
Ballers,Okie Dokie,"jessica herlitz, kati gibson","bekah smith, emily ashworth",12,15,Pool Play,2021texas,Women's
Walmart boys,Full Send,"otis moses, trevor durant","logan renteria, shawn mcconnell",21,9,Pool Play,2021texas,Advanced
Super Yam,Nectars,"hunter hammontree, tyce kissling","brianna andregg, nate goodlin",21,17,Pool Play,2021texas,Advanced
Serves Up,The Lobsters,"joshua vett, matthew winter","jackson phillips, randall welkener",21,18,Pool Play,2021texas,Advanced
Dark Horse,Hanuman Spike,"adrian ulloa, victor zamudio","aniket matharasi, smaran velidi",7,21,Pool Play,2021texas,Advanced
Laredo Squad,Beach Boys,"austin ortega, raul moreno jr","mihir junaghare, stephen labuda",12,21,Pool Play,2021texas,Advanced
Buffalo Wild Swings,ScoSpike Shmeet ELITE,"eli cable, tim campbell","hayden wright, peyton hood",18,21,Pool Play,2021texas,Advanced
