Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Double Clutch,Bingu!,"fredric hinkle, rahul murthy","jared bingham, sunny gu",15,8,Pool Play,sts22bostonma,Premier - Field 4
Double Clutch,Bingu!,"fredric hinkle, rahul murthy","jared bingham, sunny gu",15,8,Pool Play,sts22bostonma,Premier - Field 4
GFD Asian Invasion,Kiddos,"justin barr, neal bergman","charles tipton, mark manuel",15,12,Pool Play,sts22bostonma,Premier - Field 4
GFD Asian Invasion,Kiddos,"justin barr, neal bergman","charles tipton, mark manuel",15,9,Pool Play,sts22bostonma,Premier - Field 4
Wonky Sauce,Robot Home,"blake bosak, justin plett","calvin smith, ryan coen",15,12,Pool Play,sts22bostonma,Premier - Field 4
Wonky Sauce,Robot Home,"blake bosak, justin plett","calvin smith, ryan coen",15,11,Pool Play,sts22bostonma,Premier - Field 4
GFD GLITCH,Meatballs,"cody dryer, luke nickel","joey maichen, lucas pruett",15,12,Pool Play,sts22bostonma,Premier - Field 4
GFD GLITCH,Meatballs,"cody dryer, luke nickel","joey maichen, lucas pruett",15,11,Pool Play,sts22bostonma,Premier - Field 4
Assistive Touch,Cook/Heidman,"buddy hammon, clark marshall","jake heidman, kenneth cook",15,8,Pool Play,sts22bostonma,Premier - Field 4
Assistive Touch,Cook/Heidman,"buddy hammon, clark marshall","jake heidman, kenneth cook",15,8,Pool Play,sts22bostonma,Premier - Field 4
NSB,Revised Uno Reverse,"emerson dean, philip drouin","gavin broekema, nick daub",15,10,Pool Play,sts22bostonma,Premier - Field 4
NSB,Revised Uno Reverse,"emerson dean, philip drouin","gavin broekema, nick daub",15,5,Pool Play,sts22bostonma,Premier - Field 4
Swervie,Young Slimeball Life,"kyle ackermann, ryan gross","ian slattery, nate kt",15,12,Pool Play,sts22bostonma,Premier - Field 4
Swervie,Young Slimeball Life,"kyle ackermann, ryan gross","ian slattery, nate kt",15,10,Pool Play,sts22bostonma,Premier - Field 4
Long Tan Handsome and Addison,Boost,"addison powers, gabe finocchi","alex luc, charlie freeman",15,1,Pool Play,sts22bostonma,Premier - Field 4
Long Tan Handsome and Addison,Boost,"addison powers, gabe finocchi","alex luc, charlie freeman",15,7,Pool Play,sts22bostonma,Premier - Field 4
cloudy,Shiloh,"ravi kandula, will picone","henry pilliod, matthew morelli",15,8,Pool Play,sts22bostonma,Premier - Field 4
cloudy,Shiloh,"ravi kandula, will picone","henry pilliod, matthew morelli",15,9,Pool Play,sts22bostonma,Premier - Field 4
Wasabi,Austerica,"marc etienne mclaughlin, vincent mathieu","raffael jonas, tommy drake",15,10,Pool Play,sts22bostonma,Premier - Field 4
Wasabi,Austerica,"marc etienne mclaughlin, vincent mathieu","raffael jonas, tommy drake",15,7,Pool Play,sts22bostonma,Premier - Field 4
Cigar Boys,CRO Fall Damage,"dan abrams, grant laughlin","chris brown, tyler babin",12,15,Pool Play,sts22bostonma,Premier - Field 4
Cigar Boys,CRO Fall Damage,"dan abrams, grant laughlin","chris brown, tyler babin",15,17,Pool Play,sts22bostonma,Premier - Field 4
Finocchi/Model,Martin/Tully,"gabe finocchi, max model","a.j. martin, leo tully",15,4,Pool Play,sts22bostonma,Premier - Field 4
Finocchi/Model,Martin/Tully,"gabe finocchi, max model","a.j. martin, leo tully",15,5,Pool Play,sts22bostonma,Premier - Field 4
WySpike Synergy,Cryptid,"matthew burrows, nick noguez","cole maddox, houston sproles",15,9,Pool Play,sts22bostonma,Premier - Field 4
WySpike Synergy,Cryptid,"matthew burrows, nick noguez","cole maddox, houston sproles",21,20,Pool Play,sts22bostonma,Premier - Field 4
Switch Hit👑,Happy Endings,"dawson morgan, thomas hamilton","alexandre lamarre, karl pominville",15,10,Pool Play,sts22bostonma,Premier - Field 4
Switch Hit👑,Happy Endings,"dawson morgan, thomas hamilton","alexandre lamarre, karl pominville",15,6,Pool Play,sts22bostonma,Premier - Field 4
Bot House,Sub-Zero,"owen lippman, west peterson","gabriel monfette, olivier aglot",15,13,Pool Play,sts22bostonma,Premier - Field 4
Bot House,Sub-Zero,"owen lippman, west peterson","gabriel monfette, olivier aglot",15,12,Pool Play,sts22bostonma,Premier - Field 4
Bazinga,miniclip.com,"dylan east, hayden flood","julien paquette, élie pilon",19,17,Pool Play,sts22bostonma,Premier - Field 4
Bazinga,miniclip.com,"dylan east, hayden flood","julien paquette, élie pilon",15,9,Pool Play,sts22bostonma,Premier - Field 4
Mermaid Sparkle,Zested,"christian bennett, noah luskus","aj hutchinson, luis orozco",15,8,Pool Play,sts22bostonma,Premier - Field 4
Mermaid Sparkle,Zested,"christian bennett, noah luskus","aj hutchinson, luis orozco",17,15,Pool Play,sts22bostonma,Premier - Field 4
Creamy,PabloGD,"patric chu, ryan marino","joel lapp, zac vance",15,7,Pool Play,sts22bostonma,Premier - Field 4
Creamy,PabloGD,"patric chu, ryan marino","joel lapp, zac vance",18,16,Pool Play,sts22bostonma,Premier - Field 4
Kingdom Come,Walmart Birks,"grant klapwijk, matthew cole","jordan taylor, peter lu",15,8,Pool Play,sts22bostonma,Premier - Field 4
Kingdom Come,Walmart Birks,"grant klapwijk, matthew cole","jordan taylor, peter lu",17,7,Pool Play,sts22bostonma,Premier - Field 4
Double Clutch,Kiddos,"fredric hinkle, rahul murthy","charles tipton, mark manuel",15,12,Pool Play,sts22bostonma,Premier - Field 4
Double Clutch,Kiddos,"fredric hinkle, rahul murthy","charles tipton, mark manuel",15,10,Pool Play,sts22bostonma,Premier - Field 4
Faulty Service,Bingu!,"brayden latham, joe laruffa","jared bingham, sunny gu",15,10,Pool Play,sts22bostonma,Premier - Field 4
Faulty Service,Bingu!,"brayden latham, joe laruffa","jared bingham, sunny gu",15,11,Pool Play,sts22bostonma,Premier - Field 4
Wonky Sauce,Meatballs,"blake bosak, justin plett","joey maichen, lucas pruett",15,12,Pool Play,sts22bostonma,Premier - Field 4
Wonky Sauce,Meatballs,"blake bosak, justin plett","joey maichen, lucas pruett",15,8,Pool Play,sts22bostonma,Premier - Field 4
Khaki Shorts,Robot Home,"dan bonowski, demitri forand","calvin smith, ryan coen",17,15,Pool Play,sts22bostonma,Premier - Field 4
Khaki Shorts,Robot Home,"dan bonowski, demitri forand","calvin smith, ryan coen",15,9,Pool Play,sts22bostonma,Premier - Field 4
Assistive Touch,Revised Uno Reverse,"buddy hammon, clark marshall","gavin broekema, nick daub",15,9,Pool Play,sts22bostonma,Premier - Field 4
Assistive Touch,Revised Uno Reverse,"buddy hammon, clark marshall","gavin broekema, nick daub",15,10,Pool Play,sts22bostonma,Premier - Field 4
Wheaties,Cook/Heidman,"ethan domster, liam sherron","jake heidman, kenneth cook",15,13,Pool Play,sts22bostonma,Premier - Field 4
Wheaties,Cook/Heidman,"ethan domster, liam sherron","jake heidman, kenneth cook",15,9,Pool Play,sts22bostonma,Premier - Field 4
Swervie,Boost,"kyle ackermann, ryan gross","alex luc, charlie freeman",15,8,Pool Play,sts22bostonma,Premier - Field 4
Swervie,Boost,"kyle ackermann, ryan gross","alex luc, charlie freeman",17,15,Pool Play,sts22bostonma,Premier - Field 4
Shayly,Young Slimeball Life,"alex daly, justin shaytar","ian slattery, nate kt",13,15,Pool Play,sts22bostonma,Premier - Field 4
Shayly,Young Slimeball Life,"alex daly, justin shaytar","ian slattery, nate kt",17,15,Pool Play,sts22bostonma,Premier - Field 4
Shayly,Young Slimeball Life,"alex daly, justin shaytar","ian slattery, nate kt",20,21,Pool Play,sts22bostonma,Premier - Field 4
cloudy,Austerica,"ravi kandula, will picone","raffael jonas, tommy drake",15,7,Pool Play,sts22bostonma,Premier - Field 4
cloudy,Austerica,"ravi kandula, will picone","raffael jonas, tommy drake",15,5,Pool Play,sts22bostonma,Premier - Field 4
Tulio's Hips,Shiloh,"daniel wilson, samuel corey","henry pilliod, matthew morelli",15,11,Pool Play,sts22bostonma,Premier - Field 4
Tulio's Hips,Shiloh,"daniel wilson, samuel corey","henry pilliod, matthew morelli",15,10,Pool Play,sts22bostonma,Premier - Field 4
Global Citizens,CRO Fall Damage,"connor prelich, maxwell gunneson","chris brown, tyler babin",13,15,Pool Play,sts22bostonma,Premier - Field 4
Global Citizens,CRO Fall Damage,"connor prelich, maxwell gunneson","chris brown, tyler babin",12,15,Pool Play,sts22bostonma,Premier - Field 4
Finocchi/Model,Cryptid,"gabe finocchi, max model","cole maddox, houston sproles",15,7,Pool Play,sts22bostonma,Premier - Field 4
Finocchi/Model,Cryptid,"gabe finocchi, max model","cole maddox, houston sproles",15,6,Pool Play,sts22bostonma,Premier - Field 4
Sawtooth Spikers,Martin/Tully,"dennis joseph, thomas maloney","a.j. martin, leo tully",15,12,Pool Play,sts22bostonma,Premier - Field 4
Sawtooth Spikers,Martin/Tully,"dennis joseph, thomas maloney","a.j. martin, leo tully",13,15,Pool Play,sts22bostonma,Premier - Field 4
Sawtooth Spikers,Martin/Tully,"dennis joseph, thomas maloney","a.j. martin, leo tully",15,6,Pool Play,sts22bostonma,Premier - Field 4
Switch Hit👑,Sub-Zero,"dawson morgan, thomas hamilton","gabriel monfette, olivier aglot",15,9,Pool Play,sts22bostonma,Premier - Field 4
Switch Hit👑,Sub-Zero,"dawson morgan, thomas hamilton","gabriel monfette, olivier aglot",15,9,Pool Play,sts22bostonma,Premier - Field 4
PBR Sleepy in Seattle,Happy Endings,"brian perlson, michael capobianco","alexandre lamarre, karl pominville",15,12,Pool Play,sts22bostonma,Premier - Field 4
PBR Sleepy in Seattle,Happy Endings,"brian perlson, michael capobianco","alexandre lamarre, karl pominville",15,12,Pool Play,sts22bostonma,Premier - Field 4
Bazinga,Zested,"dylan east, hayden flood","aj hutchinson, luis orozco",15,6,Pool Play,sts22bostonma,Premier - Field 4
Bazinga,Zested,"dylan east, hayden flood","aj hutchinson, luis orozco",15,10,Pool Play,sts22bostonma,Premier - Field 4
The Rookuiz,miniclip.com,"ryan fitzgerald, tyler cisek","julien paquette, élie pilon",15,7,Pool Play,sts22bostonma,Premier - Field 4
The Rookuiz,miniclip.com,"ryan fitzgerald, tyler cisek","julien paquette, élie pilon",15,13,Pool Play,sts22bostonma,Premier - Field 4
