Player 1,Player 2,Team Name,Division,Tournament
matthew greathouse,trevor hoogendoorn,Bandaid Boys,Premier 5.0+,sts22chicagoil
sam bunze,samuel corey,Basically Top Ten,Premier 5.0+,sts22chicagoil
dylan east,hayden flood,Bazinga,Premier 5.0+,sts22chicagoil
kevin bailey,nicolas dewey,Bonfire Boys,Premier 5.0+,sts22chicagoil
buddy hammon,rahul murthy,Clutch Touch,Premier 5.0+,sts22chicagoil
michael hsu,ryan marino,Creamy 0.5,Premier 5.0+,sts22chicagoil
austin denny,reid pfutzenreuter,Diamond Bros,Premier 5.0+,sts22chicagoil
jenson miller,rendall weaver,Evasive Bread,Premier 5.0+,sts22chicagoil
kurt lannetti,marlon fleming,Flemetti,Premier 5.0+,sts22chicagoil
max billinghurst,skyler sebring,Flip Flop,Premier 5.0+,sts22chicagoil
justin barr,neal bergman,GFD Asian Invasion,Premier 5.0+,sts22chicagoil
cody dryer,luke nickel,Glitch,Premier 5.0+,sts22chicagoil
maxwell gunneson,taaron rudzitis,Gunneson/Rudzitis,Premier 5.0+,sts22chicagoil
brian perlson,jared beaufait,Indiscriminate Spikage,Premier 5.0+,sts22chicagoil
isaac gavin,jack saunders,Jack & the Beanstalk,Premier 5.0+,sts22chicagoil
joe bondi,joe laruffa,Joe Mez Joe,Premier 5.0+,sts22chicagoil
grant klapwijk,matthew cole,Kingdom Come,Premier 5.0+,sts22chicagoil
max fiebelkorn,micah bouman,Lanky Smoove,Premier 5.0+,sts22chicagoil
austin rawlings,malachi espinola,PNDubs,Premier 5.0+,sts22chicagoil
christopher place,ethan datwyler,Purple Rainbows,Premier 5.0+,sts22chicagoil
gavin broekema,grant longland,Revised Broekema/Longland,Premier 5.0+,sts22chicagoil
emerson dean,etienne cote,Swamp Donkeys,Premier 5.0+,sts22chicagoil
dawson morgan,thomas hamilton,Switch Hit👑,Premier 5.0+,sts22chicagoil
nick finney,trey newman,Team Tots,Premier 5.0+,sts22chicagoil
grant laughlin,will picone,TRP Banana Boys,Premier 5.0+,sts22chicagoil
isaac freeman,raffael jonas,We Go Way Back,Premier 5.0+,sts22chicagoil
josh braun,tristan peat,Yomp,Premier 5.0+,sts22chicagoil
nate wilson,reilly paquette,ω = θ/t,Premier 5.0+,sts22chicagoil
adam prudhomme,paul payne,Captain Falcon’s Story,Contender 4.5+,sts22chicagoil
saahil sharma,zach babka,Chocolate Cake,Contender 4.5+,sts22chicagoil
rohil senapati,trevor sargent,CHOO CHOO MTFKZ,Contender 4.5+,sts22chicagoil
bekah smith,sam martocci,Cloud 4.5+,Contender 4.5+,sts22chicagoil
jake mottershead,mike garrett,Come and Go,Contender 4.5+,sts22chicagoil
clifford amadeo leveque,joey reynolds,Fa(s)t 🧌,Contender 4.5+,sts22chicagoil
collin yoder,grant yoder,Flukey Fellas,Contender 4.5+,sts22chicagoil
andrew sullivan,caleb shorter,GFD Shorter & Taller,Contender 4.5+,sts22chicagoil
jordan delara,josh bruntz,Goblin Mode,Contender 4.5+,sts22chicagoil
jack wallace,mathew buescher,Hope College B Team,Contender 4.5+,sts22chicagoil
c perry,eli pinkus,Humungous Chungus,Contender 4.5+,sts22chicagoil
corey weiss,matt spolarich,Jersey Boyz,Contender 4.5+,sts22chicagoil
jason inumerable,kenny velu,Kennumerable,Contender 4.5+,sts22chicagoil
aman khemka,ryan park,Khemka/Park,Contender 4.5+,sts22chicagoil
hudson ford,mitch kelley,Krispy Kreme,Contender 4.5+,sts22chicagoil
luis ruiz,ruben zapata,Parceros,Contender 4.5+,sts22chicagoil
mike priller,stefan handschmann,Priller/Handschmann,Contender 4.5+,sts22chicagoil
sam randall,zachary troyer,Random Troyblemakers,Contender 4.5+,sts22chicagoil
filippo lobue,michael erickson,Reverse cuts only,Contender 4.5+,sts22chicagoil
andy trower,louie simbajon,Revised Boys,Contender 4.5+,sts22chicagoil
justin kehoe,kyle fowler,Risky Business,Contender 4.5+,sts22chicagoil
andrew felty,chase bremner,set me please,Contender 4.5+,sts22chicagoil
chris kaptur,josef quispe,Slammo 3.0,Contender 4.5+,sts22chicagoil
nic eheart,wyatt semke,Sweet Home Illinois,Contender 4.5+,sts22chicagoil
andrew hoch,andrew perez,A Squared,Advanced 4.0,sts22chicagoil
abraham cannon,casey quintana,Abe’s Lincoln,Advanced 4.0,sts22chicagoil
luke andersen,sam andersen,andersEn,Advanced 4.0,sts22chicagoil
danny sandoval,david jorgensen,Bunda Roundnet,Advanced 4.0,sts22chicagoil
luke coffman,nicholas coffman,Coffman Bros,Advanced 4.0,sts22chicagoil
jameson gaertner,mio legaspi,Cut Time,Advanced 4.0,sts22chicagoil
cassie london,isaac moss,got milk?,Advanced 4.0,sts22chicagoil
emmanuel nodal,ryan hoang,Hotdog Water,Advanced 4.0,sts22chicagoil
ryan lechner,lucas klopfenstein,In Your Cabeza,Advanced 4.0,sts22chicagoil
juan moreno,matt glowacz,Polombia,Advanced 4.0,sts22chicagoil
ben larsen,jack bush,Skinny Dippers,Advanced 4.0,sts22chicagoil
rida shiban,tim partlow,Spike Wazowski,Advanced 4.0,sts22chicagoil
jeffrey rauenbuehler,rachel luczak,textbook,Advanced 4.0,sts22chicagoil
austin jarnagin,josh thomas,The Abbreviators,Advanced 4.0,sts22chicagoil
brenden brass,nolan henze,The Bakery,Advanced 4.0,sts22chicagoil
evan krueger,kyle bachara,The Saunders Company,Advanced 4.0,sts22chicagoil
alex perkins,ryan monahan,The SPYke Kids,Advanced 4.0,sts22chicagoil
ryan kuiper,travis lubbers,We Take Those,Advanced 4.0,sts22chicagoil
matthew scholz,quad hogan,What's the score?,Advanced 4.0,sts22chicagoil
christopher guest,owen luetke,You Guessed It,Advanced 4.0,sts22chicagoil
alex perry,lauren zhu,A lexauraus at the Zhu,Women's Advanced 4.0+,sts22chicagoil
alli kauffman rogers,joelle nguyen,Beans.,Women's Advanced 4.0+,sts22chicagoil
stef ding,tiff ding,besties 👯‍♀️,Women's Advanced 4.0+,sts22chicagoil
allie foster,katie pierson,Biggie Smalls,Women's Advanced 4.0+,sts22chicagoil
ali jenki,sarah allen,Cat Daddies,Women's Advanced 4.0+,sts22chicagoil
meagan bown,teddi lesoine,Florabama,Women's Advanced 4.0+,sts22chicagoil
olivia jenki,shachi patel,Jenki/Patel,Women's Advanced 4.0+,sts22chicagoil
yeni ruiz,yubeira zapata,Lime & Salt,Women's Advanced 4.0+,sts22chicagoil
abby piedmont,sam greathouse,Spike it like its hot,Women's Advanced 4.0+,sts22chicagoil
kalin morgan,kayla wu,THUS Parabatai,Women's Advanced 4.0+,sts22chicagoil
ali newman,emma griffin,Ur mom,Women's Advanced 4.0+,sts22chicagoil
aaron cunningham,dan gus,Blue Goose,Intermediate 3.0,sts22chicagoil
gabe weston,isaac dobson,Country Bumkins,Intermediate 3.0,sts22chicagoil
henry ziegler,jake elafros,Empire Spikes Back,Intermediate 3.0,sts22chicagoil
royce piscitello,trevor nordberg,Fun Dip,Intermediate 3.0,sts22chicagoil
caleb murray,john christensen,Hog Riders,Intermediate 3.0,sts22chicagoil
ellie krock,lindsay metzger,Krock/Metzger,Intermediate 3.0,sts22chicagoil
daniel larsen,sophie larsen,Larsen Lawns,Intermediate 3.0,sts22chicagoil
dominic morinello,macy emich,Lynd/Morinello,Intermediate 3.0,sts22chicagoil
david xu,jonah greenberg,Malort Cohort,Intermediate 3.0,sts22chicagoil
josh kuiper,tyler vandentop,More Natural Motion,Intermediate 3.0,sts22chicagoil
ben werner,nich sanger,NDSU Team #1,Intermediate 3.0,sts22chicagoil
matthew hansen,seth weston,orlando jigsteppers,Intermediate 3.0,sts22chicagoil
kishore natchiappan,charlie purdue,pur-DONT HIT ON 2,Intermediate 3.0,sts22chicagoil
claire gilman,rachel gore,spike sisters,Intermediate 3.0,sts22chicagoil
abigail meyer,mia schumann,The Setting Ducks,Intermediate 3.0,sts22chicagoil
ruben zapata,yubeira zapata,24 seven,Coed Advanced 4.0+,sts22chicagoil
bekah smith,samuel corey,All Cheez No It,Coed Advanced 4.0+,sts22chicagoil
allie foster,dylan east,Birthday Girl + A Boy,Coed Advanced 4.0+,sts22chicagoil
ali jenki,grant laughlin,Cacti,Coed Advanced 4.0+,sts22chicagoil
dawson morgan,kalin morgan,Chapped Lips,Coed Advanced 4.0+,sts22chicagoil
talia surges,trevor hoogendoorn,Claire Moody,Coed Advanced 4.0+,sts22chicagoil
justin barr,stef ding,Dinglebarries,Coed Advanced 4.0+,sts22chicagoil
sam bunze,tiff ding,Dumpy & Stumpy,Coed Advanced 4.0+,sts22chicagoil
hayden flood,joelle nguyen,Flood Sweat Nguyen Tears,Coed Advanced 4.0+,sts22chicagoil
cece carlson,louie simbajon,Grilled Cheesin',Coed Advanced 4.0+,sts22chicagoil
buddy hammon,kayla wu,Handsome Parabatai,Coed Advanced 4.0+,sts22chicagoil
ryan marino,shachi patel,Jaskier’s Groupies,Coed Advanced 4.0+,sts22chicagoil
brandon fong,rachel luczak,No Megs,Coed Advanced 4.0+,sts22chicagoil
cecilia kowara,neal bergman,Psychos from a Midwest Suburb,Coed Advanced 4.0+,sts22chicagoil
emerson dean,jaime cunningham,Risky Bizz,Coed Advanced 4.0+,sts22chicagoil
etienne cote,sarah boucher gratton,Sarah l’observatrice,Coed Advanced 4.0+,sts22chicagoil
jay binstein,lisa pomeranz,Cave Dwellers,Coed Advanced 4.0+,sts22chicagoil
anna miller,jordan delara,D1 Ballers,Coed Advanced 4.0+,sts22chicagoil
anicea sk,reilly paquette,Down Bad,Coed Advanced 4.0+,sts22chicagoil
miriam zappa,suraj aireddy,Free Ballin,Coed Advanced 4.0+,sts22chicagoil
sam martocci,leah palmer,Gator Gorls,Coed Advanced 4.0+,sts22chicagoil
luke nickel,lindsay metzger,GFD Like There’s No Tomorrow,Coed Advanced 4.0+,sts22chicagoil
jenna olson,jack saunders,Jack and the Bean,Coed Advanced 4.0+,sts22chicagoil
madison bouman,micah bouman,M & M,Coed Advanced 4.0+,sts22chicagoil
abigail meyer,christopher guest,No namers,Coed Advanced 4.0+,sts22chicagoil
isaac gavin,miranda fickbohm,Randolph the Red Nose Reindeers,Coed Advanced 4.0+,sts22chicagoil
