Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Double Clutch,Fresh Cut Serves,"fredric hinkle, rahul murthy","aj hutchinson, grayson m wills",21,14,Pool Play,sts22dallastx,Premier 5.0+
Switch Hit👑,Forever on Two,"dawson morgan, thomas hamilton","bryce wagoner, jack granger",21,16,Pool Play,sts22dallastx,Premier 5.0+
Coffin Flop,SHK Silky Mitts,"matthew cole, ryan gross","dominik hataš, jaroslav čabala",21,7,Pool Play,sts22dallastx,Premier 5.0+
WySpike Triple Threat,Lululimes,"david louis, nick noguez","kane rickman, luke freimanis",21,14,Pool Play,sts22dallastx,Premier 5.0+
The shark and minnow,Your Bad,"marlon fleming, samuel corey","andrew kosche, trevor barbosa",14,21,Pool Play,sts22dallastx,Premier 5.0+
TRP Meatball Sub,Team #1,"coleman epperson, garrett hornok","gavin r lotts, gozie okenu",21,14,Pool Play,sts22dallastx,Premier 5.0+
Power Wagon,Los & Len,"addison powers, grant laughlin","allen iwamoto, carlos yvellez",21,19,Pool Play,sts22dallastx,Premier 5.0+
TRP Honey-Chipotle Crispers,Future Ashton/Popluhar,"ethan mcwhirter, matthew burrows","garrett ashton, jakub popluhar",22,20,Pool Play,sts22dallastx,Premier 5.0+
TRP Wet Willy,TBD,"christian bennett, will picone","brian jennerich, nate wilson",21,8,Pool Play,sts22dallastx,Premier 5.0+
Assistive Touch,Dyljo,"buddy hammon, clark marshall","dylan keen, josh weinbach",20,22,Pool Play,sts22dallastx,Premier 5.0+
Hsu Chef,TWINZ,"josh fragiacomo, michael hsu","ali jenki, olivia jenki",21,12,Pool Play,sts22dallastx,Premier 5.0+
Bazinga,Zia,"dylan east, hayden flood","daniel wilson, slade warner",21,15,Pool Play,sts22dallastx,Premier 5.0+
In System,Riley Reid Fans,"dan abrams, jayson rhea","brandon brown, dean wasil",21,19,Pool Play,sts22dallastx,Premier 5.0+
WySpike Bully Maguire,MT3,"colton mowry, luke mowry","chase meyer, bradley thompson",21,19,Pool Play,sts22dallastx,Premier 5.0+
Double Clutch,Forever on Two,"fredric hinkle, rahul murthy","bryce wagoner, jack granger",21,10,Pool Play,sts22dallastx,Premier 5.0+
Prophecy,Fresh Cut Serves,"andrew christmas, caleb cummings","aj hutchinson, grayson m wills",21,12,Pool Play,sts22dallastx,Premier 5.0+
