Player 1,Player 2,Team Name,Division,Tournament
buddy hammon,clark marshall,Assistive Touch,Premier 5.0+,sts22dallastx
dylan east,hayden flood,Bazinga,Premier 5.0+,sts22dallastx
matthew cole,ryan gross,Coffin Flop,Premier 5.0+,sts22dallastx
fredric hinkle,rahul murthy,Double Clutch,Premier 5.0+,sts22dallastx
dylan keen,josh weinbach,Dyljo,Premier 5.0+,sts22dallastx
bryce wagoner,jack granger,Forever on Two,Premier 5.0+,sts22dallastx
aj hutchinson,grayson m wills,Fresh Cut Serves,Premier 5.0+,sts22dallastx
garrett ashton,jakub popluhar,Future Ashton/Popluhar,Premier 5.0+,sts22dallastx
josh fragiacomo,michael hsu,Hsu Chef,Premier 5.0+,sts22dallastx
dan abrams,jayson rhea,In System,Premier 5.0+,sts22dallastx
allen iwamoto,carlos yvellez,Los & Len,Premier 5.0+,sts22dallastx
kane rickman,luke freimanis,Lululimes,Premier 5.0+,sts22dallastx
chase meyer,bradley thompson,MT3,Premier 5.0+,sts22dallastx
addison powers,grant laughlin,Power Wagon,Premier 5.0+,sts22dallastx
andrew christmas,caleb cummings,Prophecy,Premier 5.0+,sts22dallastx
brandon brown,dean wasil,Riley Reid Fans,Premier 5.0+,sts22dallastx
dominik hataš,jaroslav čabala,SHK Silky Mitts,Premier 5.0+,sts22dallastx
dawson morgan,thomas hamilton,Switch Hit👑,Premier 5.0+,sts22dallastx
brian jennerich,nate wilson,TBD,Premier 5.0+,sts22dallastx
gavin r lotts,gozie okenu,Team #1,Premier 5.0+,sts22dallastx
marlon fleming,samuel corey,The shark and minnow,Premier 5.0+,sts22dallastx
ethan mcwhirter,matthew burrows,TRP Honey-Chipotle Crispers,Premier 5.0+,sts22dallastx
coleman epperson,garrett hornok,TRP Meatball Sub,Premier 5.0+,sts22dallastx
christian bennett,will picone,TRP Wet Willy,Premier 5.0+,sts22dallastx
ali jenki,olivia jenki,TWINZ,Premier 5.0+,sts22dallastx
colton mowry,luke mowry,WySpike Bully Maguire,Premier 5.0+,sts22dallastx
david louis,nick noguez,WySpike Triple Threat,Premier 5.0+,sts22dallastx
andrew kosche,trevor barbosa,Your Bad,Premier 5.0+,sts22dallastx
daniel wilson,slade warner,Zia,Premier 5.0+,sts22dallastx
adam prudhomme,connor larsen,Air Conditioned Roundnet,Contender 4.5+,sts22dallastx
arjun seth,nickhil anantha,Back Door Cuts,Contender 4.5+,sts22dallastx
devin baron,reed kellett,Baron/Kellett,Contender 4.5+,sts22dallastx
tj radford,zach babka,Befuddled Beard,Contender 4.5+,sts22dallastx
1 more,"matt mallory, adam prudhomme",Bofa Deez Pros,Contender 4.5+,sts22dallastx
john choi,samuel buckman,Buck Choi,Contender 4.5+,sts22dallastx
adam prudhomme,paul payne,Captain Falcon’s Story,Contender 4.5+,sts22dallastx
bryce niedziejko,jackson oliver,Chase Meyer Fan Club,Contender 4.5+,sts22dallastx
jared almon,noah johnson,Chase’s Peanut Allergy,Contender 4.5+,sts22dallastx
christopher ngo,grant marshall,Com & Con,Contender 4.5+,sts22dallastx
shakil nobes,tyler babin,CRO save the fishies,Contender 4.5+,sts22dallastx
nolan williams,kevin cadle,Double Choke,Contender 4.5+,sts22dallastx
brady mccoy,cade larson,Furious George,Contender 4.5+,sts22dallastx
andre caballero,brandon arledge,Garbanzo Beans,Contender 4.5+,sts22dallastx
dax o'hair,tyler fernandez,Gigachads,Contender 4.5+,sts22dallastx
dominic cortez,nathan garcia,Jeen•Yuhses,Contender 4.5+,sts22dallastx
grant gouger,jesse lehn,Lanky and Clanky,Contender 4.5+,sts22dallastx
ian austin,myles coleman,Milfs and Chilfs,Contender 4.5+,sts22dallastx
david z,noah mcmahon,Pocket Police,Contender 4.5+,sts22dallastx
james ledbetter iv,owen lynch,PORKLOINS - Strake Jesuit,Contender 4.5+,sts22dallastx
adam porter,hudson ford,Porter & Ford,Contender 4.5+,sts22dallastx
jacob eakin,keith fleischmann,Static Equilibrium,Contender 4.5+,sts22dallastx
cooper diaz,gibb layton,Sugondese,Contender 4.5+,sts22dallastx
aniket matharasi,joshua swimm,Swimm/Matharasi,Contender 4.5+,sts22dallastx
ethan uecker,michael morgan,Team 7,Contender 4.5+,sts22dallastx
luke moran,tabish ali,The serving duo,Contender 4.5+,sts22dallastx
jp chincuanco,paul belton,The Short,Contender 4.5+,sts22dallastx
carter fitch,everett pinon,Default Dumpies,Advanced 4.0,sts22dallastx
drew schwindt,spencer troyer,DiSpikels of Christ,Advanced 4.0,sts22dallastx
jenica barrett,thomas metz`,Last Minute,Advanced 4.0,sts22dallastx
isaac bozarth,kevin clifford,MAZIANS,Advanced 4.0,sts22dallastx
