Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Club nudiste,Machi Unchained,"etienne cote, vincent mathieu","jarec schouten, stan van manen",15,3,Pool Play,sts22gent,Contender 4.5+
Da Kantonie,Never too late,"lei decappelle, pieter de pauw","1 more, a.f ridzuan, marius snoeck",11,15,Pool Play,sts22gent,Contender 4.5+
RCG Powerline,Brussels Canine,"benjamin bachler, nelson dziruni","gilles hublet, igor jottrand",15,6,Pool Play,sts22gent,Contender 4.5+
Dumm flickt gut,99Dubbel0,"matias bermejo pasetti, max schartmann","bram verschoote, thomas savat",15,7,Pool Play,sts22gent,Contender 4.5+
Hustling Brothers,Red Hot Dino Pepper,"levi vandaele, yosha vandaele","jesse meijers, tim van caubergh",15,6,Pool Play,sts22gent,Contender 4.5+
nerds in disguise,Pierre Feuille Victor,"david jindra, stefan handschmann","pierre lecrosnier, victor cambois",14,16,Pool Play,sts22gent,Contender 4.5+
Floor is lava,DoubleGi,"jan stachiewicz, robin florinda","giani-luigi driesen, gio driesen",15,4,Pool Play,sts22gent,Contender 4.5+
Aussies in London,Typhoons Tops,"mark elbourne, tom nichols","jerry lee, thomas pschaid",15,12,Pool Play,sts22gent,Contender 4.5+
Eggo Waffles > Belgian Waffles,Team Antwerp,"david mitchell, erik faeustle","frederik severeyns, willem schoeters",15,9,Pool Play,sts22gent,Contender 4.5+
#TeamLucifer,Chocapics,"jakub víšek, vanya melnykovych","hakim aitiftene hakim, pierre debroux",15,4,Pool Play,sts22gent,Contender 4.5+
Les Jouve [FR],Just Met,"louis jouve, thomas jouve","matthias boone, tobias geldolf",15,6,Pool Play,sts22gent,Contender 4.5+
USS Maine,Spikael Jordan,"jorge donayre, thomas maloney","florian poel, simon hernandez lucas",15,6,Pool Play,sts22gent,Contender 4.5+
BEL - Geeraerts/Vaes,SucréSalé,"lander vaes, wout geeraerts","jonas léonard, martin grimberghs",15,4,Pool Play,sts22gent,Contender 4.5+
David & Goliath,Good cut Bad cut,"adam clarke, andrew gasaway","paul halphen, romain morel",15,9,Pool Play,sts22gent,Contender 4.5+
Fresal,Tweetakt,"faisal sayyed, fre eskens","gert cornelis, valentijn vanoeteren",15,9,Pool Play,sts22gent,Contender 4.5+
Serve&Body,Cobra Spike,"johannes kopfmann, till spitznagel","herman henström, samuel mjönes",15,13,Pool Play,sts22gent,Contender 4.5+
BEL - Janssens/Van den Bergh,No Pressure 🌴,"johan van den bergh, jonas janssens","baptiste maison, loïs delenclos",15,7,Pool Play,sts22gent,Contender 4.5+
Perplex,Setters of Catan,"frederik theunis, willem bardyn","edvin baggman, noah skogward",15,10,Pool Play,sts22gent,Contender 4.5+
