Player 1,Player 2,Team Name,Division,Tournament
jakub víšek,vanya melnykovych,#TeamLucifer,Contender 4.5+,sts22gent
bram verschoote,thomas savat,99Dubbel0,Contender 4.5+,sts22gent
andreas lynen,lucas christiani,ALL Chemistry,Contender 4.5+,sts22gent
mark elbourne,tom nichols,Aussies in London,Contender 4.5+,sts22gent
lander vaes,wout geeraerts,BEL - Geeraerts/Vaes,Contender 4.5+,sts22gent
johan van den bergh,jonas janssens,BEL - Janssens/Van den Bergh,Contender 4.5+,sts22gent
gilles hublet,igor jottrand,Brussels Canine,Contender 4.5+,sts22gent
jorn neyens,joeri vlassaks,Burger Kings,Contender 4.5+,sts22gent
hakim aitiftene hakim,pierre debroux,Chocapics,Contender 4.5+,sts22gent
etienne cote,vincent mathieu,Club nudiste,Contender 4.5+,sts22gent
herman henström,samuel mjönes,Cobra Spike,Contender 4.5+,sts22gent
diëgo lamonte,stijn de ridder,D/S,Contender 4.5+,sts22gent
lei decappelle,pieter de pauw,Da Kantonie,Contender 4.5+,sts22gent
adam clarke,andrew gasaway,David & Goliath,Contender 4.5+,sts22gent
giani-luigi driesen,gio driesen,DoubleGi,Contender 4.5+,sts22gent
jonas bottler,marvin rösinger,Drop it like it's hot,Contender 4.5+,sts22gent
matias bermejo pasetti,max schartmann,Dumm flickt gut,Contender 4.5+,sts22gent
david mitchell,erik faeustle,Eggo Waffles > Belgian Waffles,Contender 4.5+,sts22gent
jan stachiewicz,robin florinda,Floor is lava,Contender 4.5+,sts22gent
faisal sayyed,fre eskens,Fresal,Contender 4.5+,sts22gent
markus anderle,raffael jonas,Future Burnouts,Contender 4.5+,sts22gent
benoit nguyen,lancelot touzé,Goffa Lolita,Contender 4.5+,sts22gent
paul halphen,romain morel,Good cut Bad cut,Contender 4.5+,sts22gent
levi vandaele,yosha vandaele,Hustling Brothers,Contender 4.5+,sts22gent
patrick de lange,thibault mareschal,Jalapeño Iced Tea,Contender 4.5+,sts22gent
fred libert,jeroen laporte,Jefrie,Contender 4.5+,sts22gent
matthias boone,tobias geldolf,Just Met,Contender 4.5+,sts22gent
kenneth put,niels derkoningen,KingPit,Contender 4.5+,sts22gent
louis jouve,thomas jouve,Les Jouve [FR],Contender 4.5+,sts22gent
jarec schouten,stan van manen,Machi Unchained,Contender 4.5+,sts22gent
david jindra,stefan handschmann,nerds in disguise,Contender 4.5+,sts22gent
1 more,"a.f ridzuan, marius snoeck",Never too late,Contender 4.5+,sts22gent
baptiste maison,loïs delenclos,No Pressure 🌴,Contender 4.5+,sts22gent
charles mordacq,erwan chapeliere,Nonchalamment,Contender 4.5+,sts22gent
alex lim,esaja ekman,One Swede Eight LIMbs,Contender 4.5+,sts22gent
frederik theunis,willem bardyn,Perplex,Contender 4.5+,sts22gent
pierre lecrosnier,victor cambois,Pierre Feuille Victor,Contender 4.5+,sts22gent
benjamin bachler,nelson dziruni,RCG Powerline,Contender 4.5+,sts22gent
jesse meijers,tim van caubergh,Red Hot Dino Pepper,Contender 4.5+,sts22gent
aymeric sandoz,thibaud labourdette,SERVE PRESSURE,Contender 4.5+,sts22gent
johannes kopfmann,till spitznagel,Serve&Body,Contender 4.5+,sts22gent
edvin baggman,noah skogward,Setters of Catan,Contender 4.5+,sts22gent
florian poel,simon hernandez lucas,Spikael Jordan,Contender 4.5+,sts22gent
jonas léonard,martin grimberghs,SucréSalé,Contender 4.5+,sts22gent
frederik severeyns,willem schoeters,Team Antwerp,Contender 4.5+,sts22gent
gert cornelis,valentijn vanoeteren,Tweetakt,Contender 4.5+,sts22gent
jerry lee,thomas pschaid,Typhoons Tops,Contender 4.5+,sts22gent
