Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Swamp Donkeys,Pain au Chocolat or Chocolatine?,"emerson dean, etienne cote","joshua hachey, noah vasington",21,16,Pool Play,sts22montrealqc,Premier 5.0+
Daly/Goodnow,Jersey Boyz,"alex daly, jake goodnow","corey weiss, matt spolarich",16,21,Pool Play,sts22montrealqc,Premier 5.0+
Wasabi,The Prince,"marc etienne mclaughlin, vincent mathieu","maxime prince, samuel prince",21,14,Pool Play,sts22montrealqc,Premier 5.0+
Bingham/Maloney,miniclip.com,"jared bingham, thomas maloney","julien paquette, élie pilon",17,21,Pool Play,sts22montrealqc,Premier 5.0+
Pour Combien?,Total Control,"dorian améziane, robin florinda","tim clifford, trevor cook",21,19,Pool Play,sts22montrealqc,Premier 5.0+
CRO Fall Damage,Happy Endings,"chris brown, tyler babin","alexandre lamarre, karl pominville",21,15,Pool Play,sts22montrealqc,Premier 5.0+
Simply Smashing,White Lotus Roundnet,"guillaume jomphe, olivier laurin","ely marciano, mitchell carter",21,14,Pool Play,sts22montrealqc,Premier 5.0+
you HAG LOT!,Let's Go!!!,"austin ha, olivier aglot","thomas déry, vincent bastrash",13,21,Pool Play,sts22montrealqc,Premier 5.0+
Swamp Donkeys,Jersey Boyz,"emerson dean, etienne cote","corey weiss, matt spolarich",24,22,Pool Play,sts22montrealqc,Premier 5.0+
Cap Gun,Pain au Chocolat or Chocolatine?,"maxwell gunneson, michael capobianco","joshua hachey, noah vasington",24,25,Pool Play,sts22montrealqc,Premier 5.0+
Wasabi,miniclip.com,"marc etienne mclaughlin, vincent mathieu","julien paquette, élie pilon",21,16,Pool Play,sts22montrealqc,Premier 5.0+
CRO Weather Nerfed,The Prince,"adrian garcea, leonardo tullo","maxime prince, samuel prince",14,21,Pool Play,sts22montrealqc,Premier 5.0+
Pour Combien?,Happy Endings,"dorian améziane, robin florinda","alexandre lamarre, karl pominville",21,18,Pool Play,sts22montrealqc,Premier 5.0+
Scoot’s Paradise,Total Control,"lou paradis, scott pasiechnyk","tim clifford, trevor cook",22,24,Pool Play,sts22montrealqc,Premier 5.0+
Simply Smashing,Let's Go!!!,"guillaume jomphe, olivier laurin","thomas déry, vincent bastrash",22,24,Pool Play,sts22montrealqc,Premier 5.0+
Falling Guys,White Lotus Roundnet,"bryan grullon, charles tipton","ely marciano, mitchell carter",22,20,Pool Play,sts22montrealqc,Premier 5.0+
Swamp Donkeys,Cap Gun,"emerson dean, etienne cote","maxwell gunneson, michael capobianco",24,22,Pool Play,sts22montrealqc,Premier 5.0+
Daly/Goodnow,Pain au Chocolat or Chocolatine?,"alex daly, jake goodnow","joshua hachey, noah vasington",21,14,Pool Play,sts22montrealqc,Premier 5.0+
Wasabi,CRO Weather Nerfed,"marc etienne mclaughlin, vincent mathieu","adrian garcea, leonardo tullo",21,11,Pool Play,sts22montrealqc,Premier 5.0+
Bingham/Maloney,The Prince,"jared bingham, thomas maloney","maxime prince, samuel prince",18,21,Pool Play,sts22montrealqc,Premier 5.0+
Pour Combien?,Scoot’s Paradise,"dorian améziane, robin florinda","lou paradis, scott pasiechnyk",21,12,Pool Play,sts22montrealqc,Premier 5.0+
CRO Fall Damage,Total Control,"chris brown, tyler babin","tim clifford, trevor cook",21,15,Pool Play,sts22montrealqc,Premier 5.0+
Simply Smashing,Falling Guys,"guillaume jomphe, olivier laurin","bryan grullon, charles tipton",21,9,Pool Play,sts22montrealqc,Premier 5.0+
