Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Double Clutch,Van Boyz '17,"fredric hinkle, rahul murthy","david gonzales, mike white",21,17,Pool Play,sts22richmondva,Premier 5.0+
Alaskan Bull Worms,GFD GLITCH,"connor harte, sean brown","cody dryer, luke nickel",21,19,Pool Play,sts22richmondva,Premier 5.0+
Finocchi/Model,No lefties?,"gabe finocchi, max model","benjamin bunze, jacob summers",21,13,Pool Play,sts22richmondva,Premier 5.0+
Kingdom Come,PabloGD,"grant klapwijk, matthew cole","joel lapp, zac vance",21,18,Pool Play,sts22richmondva,Premier 5.0+
Air Buds,Speed Bump,"coleman epperson, will picone","ellis bass, rendall weaver",21,14,Pool Play,sts22richmondva,Premier 5.0+
Marphy,Bull City,"jacob martinez, ian murphy","anthony daming, juan ruiz-delgado",21,19,Pool Play,sts22richmondva,Premier 5.0+
Cruise Control,Stamina,"garrett hornok, joe bondi","danny gologorsky, maxwell gunneson",21,10,Pool Play,sts22richmondva,Premier 5.0+
Power Wagon,Grrrrr,"addison powers, grant laughlin","caleb brock, kurt lannetti",21,19,Pool Play,sts22richmondva,Premier 5.0+
Grande Ocho Abuela,We Play Sports,"connor prelich, eric edge","esaja ekman, skyler boles",15,21,Pool Play,sts22richmondva,Premier 5.0+
Pullin P,Kyle/Faisal,"ravi kandula, ryan gross","faisal sayyed, kyle midgett",21,17,Pool Play,sts22richmondva,Premier 5.0+
Sweet Nothings,Faulty Service,"brendan ferreira, noah luskus","brayden latham, joe laruffa",21,17,Pool Play,sts22richmondva,Premier 5.0+
Evasive Maneuvers,Touches for Turkey,"jenson miller, michael barkman","james mitchum, polk denmark",25,24,Pool Play,sts22richmondva,Premier 5.0+
TRP I’m pissed,Teddy Bears,"christian bennett, dan abrams","liam sherron, owen bass",21,18,Pool Play,sts22richmondva,Premier 5.0+
Bazinga,Om Shah Fan Club,"dylan east, hayden flood","andrew gunter, josh kaplan",21,10,Pool Play,sts22richmondva,Premier 5.0+
Rose/Dantowitz,Limitless Faith,"ezra dantowitz, kieran rose","andrew raber, ethan domster",18,21,Pool Play,sts22richmondva,Premier 5.0+
Double Clutch,GFD GLITCH,"fredric hinkle, rahul murthy","cody dryer, luke nickel",24,25,Pool Play,sts22richmondva,Premier 5.0+
FUNdamentals,Van Boyz '17,"joel daniel graham, samuel corey","david gonzales, mike white",15,21,Pool Play,sts22richmondva,Premier 5.0+
