Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Double Sauce,"No sugar, Mo problems","justin plett, rahul murthy","solomon berry, zachary frisch",21,16,Pool Play,sts22saltlakecityut,Premier 5.0+
Rice and beans,Movement,"anthony clifford, warren foote","grant marriott, lindros beard",21,16,Pool Play,sts22saltlakecityut,Premier 5.0+
Protect ya neck,Tyler & Isaiah,"blake bosak, etienne cote","isaiah balter, tyler stokes",21,17,Pool Play,sts22saltlakecityut,Premier 5.0+
Our Crocs are in Sport Mode,Rice Jam,"ethan zehr, samuel buckman","dylan bricker, tal rogers",21,13,Pool Play,sts22saltlakecityut,Premier 5.0+
pinto.,DGAF,"karah hui, ryan gross","bryce young, tanner scherwinski",21,11,Pool Play,sts22saltlakecityut,Premier 5.0+
Psych,Mono love,"jacob payer, josh fragiacomo","chandler hertzler, devin tuttle",21,14,Pool Play,sts22saltlakecityut,Premier 5.0+
Kingdom Come,git reverse,"grant klapwijk, matthew cole","connor nelson, michael du",21,13,Pool Play,sts22saltlakecityut,Premier 5.0+
Preme babies,Sweet life of Zayne and Cody,"andrew kosche, warner curtis","cody brower, zayne shields",23,25,Pool Play,sts22saltlakecityut,Premier 5.0+
Fine Dining & Breathing,WagMurr TVR,"ryan baillargeon, schon siguenza","kaleb wagner, matt murray",18,21,Pool Play,sts22saltlakecityut,Premier 5.0+
Double Sauce,Movement,"justin plett, rahul murthy","grant marriott, lindros beard",21,10,Pool Play,sts22saltlakecityut,Premier 5.0+
"Depression, Cheez-Its, and Cargo Shorts","No sugar, Mo problems","garrett carver, taylor church","solomon berry, zachary frisch",21,16,Pool Play,sts22saltlakecityut,Premier 5.0+
Protect ya neck,Rice Jam,"blake bosak, etienne cote","dylan bricker, tal rogers",21,12,Pool Play,sts22saltlakecityut,Premier 5.0+
TRP Bendy Straw,Tyler & Isaiah,"luke marshall, matthew burrows","isaiah balter, tyler stokes",21,13,Pool Play,sts22saltlakecityut,Premier 5.0+
pinto.,Mono love,"karah hui, ryan gross","chandler hertzler, devin tuttle",21,19,Pool Play,sts22saltlakecityut,Premier 5.0+
