Player 1,Player 2,Team Name,Division,Tournament
garrett carver,taylor church,"Depression, Cheez-Its, and Cargo Shorts",Premier 5.0+,sts22saltlakecityut
bryce young,tanner scherwinski,DGAF,Premier 5.0+,sts22saltlakecityut
justin plett,rahul murthy,Double Sauce,Premier 5.0+,sts22saltlakecityut
ryan baillargeon,schon siguenza,Fine Dining & Breathing,Premier 5.0+,sts22saltlakecityut
connor nelson,michael du,git reverse,Premier 5.0+,sts22saltlakecityut
grant klapwijk,matthew cole,Kingdom Come,Premier 5.0+,sts22saltlakecityut
chandler hertzler,devin tuttle,Mono love,Premier 5.0+,sts22saltlakecityut
trent alderfer,trey thompson,Montana Moose Riders,Premier 5.0+,sts22saltlakecityut
grant marriott,lindros beard,Movement,Premier 5.0+,sts22saltlakecityut
solomon berry,zachary frisch,"No sugar, Mo problems",Premier 5.0+,sts22saltlakecityut
ethan zehr,samuel buckman,Our Crocs are in Sport Mode,Premier 5.0+,sts22saltlakecityut
karah hui,ryan gross,pinto.,Premier 5.0+,sts22saltlakecityut
andrew kosche,warner curtis,Preme babies,Premier 5.0+,sts22saltlakecityut
blake bosak,etienne cote,Protect ya neck,Premier 5.0+,sts22saltlakecityut
jacob payer,josh fragiacomo,Psych,Premier 5.0+,sts22saltlakecityut
anthony clifford,warren foote,Rice and beans,Premier 5.0+,sts22saltlakecityut
dylan bricker,tal rogers,Rice Jam,Premier 5.0+,sts22saltlakecityut
cody brower,zayne shields,Sweet life of Zayne and Cody,Premier 5.0+,sts22saltlakecityut
luke marshall,matthew burrows,TRP Bendy Straw,Premier 5.0+,sts22saltlakecityut
isaiah balter,tyler stokes,Tyler & Isaiah,Premier 5.0+,sts22saltlakecityut
kaleb wagner,matt murray,WagMurr TVR,Premier 5.0+,sts22saltlakecityut
keyan mclaughlin,ty easton,2 Retired Guys,Contender 4.5+,sts22saltlakecityut
dallin james,will peterson,7 Serves of Highly Cracked Nerds,Contender 4.5+,sts22saltlakecityut
andrew greer,dallin zibetti,Andrew & Dallin,Contender 4.5+,sts22saltlakecityut
ben hall,ben arauzo,Ben^2,Contender 4.5+,sts22saltlakecityut
bradley smith,luke gleave,Blind date bottom feeders,Contender 4.5+,sts22saltlakecityut
britton thompson,morgan beck,C o g n i t i v e,Contender 4.5+,sts22saltlakecityut
jaren haggard,xande plaisted,Caught in 4k,Contender 4.5+,sts22saltlakecityut
kyler cote,matt barlow,Cote / Barlow,Contender 4.5+,sts22saltlakecityut
nate ellis,spencer wood,Cypress Boys,Contender 4.5+,sts22saltlakecityut
daniel wight,dylan mundy,Double D's,Contender 4.5+,sts22saltlakecityut
alex hart (asl),jack hart,Elevate,Contender 4.5+,sts22saltlakecityut
alex tamang,daniel feller,Fang,Contender 4.5+,sts22saltlakecityut
blake vandentop,nicolas caballero,GentleMenAce,Contender 4.5+,sts22saltlakecityut
elijah cluff,keane cadiente,Jam & Butter,Contender 4.5+,sts22saltlakecityut
john hickmott,mitch frei,John of a Mitch,Contender 4.5+,sts22saltlakecityut
kody price,peter barton,Knights of the Roundnet,Contender 4.5+,sts22saltlakecityut
dylan cloninger,jackson gordon,Los Dos,Contender 4.5+,sts22saltlakecityut
daulton monkress,keaton hawk,Main Main Introverts,Contender 4.5+,sts22saltlakecityut
ashton lee,ethan carr,Momentum,Contender 4.5+,sts22saltlakecityut
brennen brumm,sterling young,Orange Chicken,Contender 4.5+,sts22saltlakecityut
jason gurney,ryan bissman,Pocket Squares,Contender 4.5+,sts22saltlakecityut
ethen wolf,zachary milliron,Psychball,Contender 4.5+,sts22saltlakecityut
jackson blackburn,tayt rogers,Rice Pump,Contender 4.5+,sts22saltlakecityut
justin anderson,ryan kunkler,Setting Ducks,Contender 4.5+,sts22saltlakecityut
harold mancia,zach carver,Sodi Time,Contender 4.5+,sts22saltlakecityut
cade wallace,jacob lunt,Sugar & Spikes,Contender 4.5+,sts22saltlakecityut
grant marshall,ryley duke,Team Name - Coming Soon,Contender 4.5+,sts22saltlakecityut
andoni hollenbeck,jake martha,TVR Los Chupacabras,Contender 4.5+,sts22saltlakecityut
benson goates,connor anderson,washed boomball,Contender 4.5+,sts22saltlakecityut
daniel houser-diaz,zachary brant,Waste and Vent,Contender 4.5+,sts22saltlakecityut
nich sanger,dain benson,We Might Be Spiked,Contender 4.5+,sts22saltlakecityut
lincoln hertzler,mo beard,What Hertz the MOst,Contender 4.5+,sts22saltlakecityut
jake babbitt,lucas banks,Yucky!,Contender 4.5+,sts22saltlakecityut
aiden davis,bryce chen,AICE,Advanced 4.0,sts22saltlakecityut
dylan thomas,mckinley thomas,BOOYAH,Advanced 4.0,sts22saltlakecityut
jesse vega,levi arzac,Cody browser sucks,Advanced 4.0,sts22saltlakecityut
isaac fossum,nathan blickenstaff,Crust Lust,Advanced 4.0,sts22saltlakecityut
jaxon rich,kannon forbush,Foreshkin,Advanced 4.0,sts22saltlakecityut
ian morgan,zach dustin,Hot Pockets,Advanced 4.0,sts22saltlakecityut
jacob page,kaitlin ro,it's mental,Advanced 4.0,sts22saltlakecityut
marcus landon,connor barton,MCT,Advanced 4.0,sts22saltlakecityut
jacob dunn,michael sampson,Mike’s Soft Lemonade,Advanced 4.0,sts22saltlakecityut
eli toland,luke covington,Night Hawks,Advanced 4.0,sts22saltlakecityut
lazarus shettell,ty wakefield,Rakes,Advanced 4.0,sts22saltlakecityut
casey harman,derrick mcconnell,RRP Safe Sets,Advanced 4.0,sts22saltlakecityut
aaron fox,max wright,Short Stop,Advanced 4.0,sts22saltlakecityut
aaron simpson,joshua simpson,Simpson Bros,Advanced 4.0,sts22saltlakecityut
carver budge,daxton stoddard,Spiked Punch,Advanced 4.0,sts22saltlakecityut
jacob foutz,ryker brann,Stranger Danger,Advanced 4.0,sts22saltlakecityut
chris sorensen,jordan crandall,well rounded,Advanced 4.0,sts22saltlakecityut
camille anderson,kirstie savage,Anderson/Savage,Women's Advanced 4.0+,sts22saltlakecityut
aleah gregory,saige duke,Fricklebit,Women's Advanced 4.0+,sts22saltlakecityut
harmony taylor,whitney fraire,Mamacitas,Women's Advanced 4.0+,sts22saltlakecityut
cayleigh morton,keira morton,Punzie,Women's Advanced 4.0+,sts22saltlakecityut
alex buckman,sebastiani kim,Sandy Cheeks,Women's Advanced 4.0+,sts22saltlakecityut
joelle nguyen,malia sato,Small & Smaller,Women's Advanced 4.0+,sts22saltlakecityut
mey helm,perrin york,Spice Rack,Women's Advanced 4.0+,sts22saltlakecityut
cara page,summer kastning,TBD,Women's Advanced 4.0+,sts22saltlakecityut
jenna dimaggio,stacey grimes,The X’s,Women's Advanced 4.0+,sts22saltlakecityut
katie pierson,nicol gahley,Willy Nilly,Women's Advanced 4.0+,sts22saltlakecityut
lexi strong,liza murray,XX,Women's Advanced 4.0+,sts22saltlakecityut
brayden ulrich,carson u,Ball boys,Intermediate 3.0,sts22saltlakecityut
michael tsepelev,nick adams,Buttery Coconut,Intermediate 3.0,sts22saltlakecityut
eric jerome,garrett brennan,Huckin' Hard,Intermediate 3.0,sts22saltlakecityut
haley wiese,nich sanger,Kati and Haley,Intermediate 3.0,sts22saltlakecityut
chaz klein,tysen kirby,Smash Bros,Intermediate 3.0,sts22saltlakecityut
dylan walters,samuel black,Spike Tyson,Intermediate 3.0,sts22saltlakecityut
daniel davis,jaxon davis,Sweet and Sour,Intermediate 3.0,sts22saltlakecityut
garrett myers,travis jorgensen,team2bitter,Intermediate 3.0,sts22saltlakecityut
micah johnson,seth lee,The RM’s,Intermediate 3.0,sts22saltlakecityut
brock hughes,scott hughes,Weenie Hut Jr’s,Intermediate 3.0,sts22saltlakecityut
anthony clifford,camille anderson,Camille’s Pet,Coed Advanced 4.0+,sts22saltlakecityut
kirstie savage,lindros beard,Kirstie/Lindros,Coed Advanced 4.0+,sts22saltlakecityut
jacob payer,sebastiani kim,Mooshna!,Coed Advanced 4.0+,sts22saltlakecityut
karah hui,ryan gross,pinto.,Coed Advanced 4.0+,sts22saltlakecityut
etienne cote,sarah boucher gratton,Sarah l’observatrice,Coed Advanced 4.0+,sts22saltlakecityut
mey helm,trey thompson,Spicy Moose,Coed Advanced 4.0+,sts22saltlakecityut
justin plett,perrin york,Spicy Sauce,Coed Advanced 4.0+,sts22saltlakecityut
kaleb wagner,nicol gahley,Try Hards TVR,Coed Advanced 4.0+,sts22saltlakecityut
blake bosak,joelle nguyen,WonkTea,Coed Advanced 4.0+,sts22saltlakecityut
ethan zehr,malia sato,“The” “Destroyer”,Coed Advanced 4.0+,sts22saltlakecityut
braydon oler,bri nicholson,B squared,Coed Intermediate 2.0-3.0,sts22saltlakecityut
ben hall,calee foote,Benlee,Coed Intermediate 2.0-3.0,sts22saltlakecityut
josiah murphy,keira morton,Demon Spiker Corp,Coed Intermediate 2.0-3.0,sts22saltlakecityut
dallin james,saige duke,Out of Spite Spike,Coed Intermediate 2.0-3.0,sts22saltlakecityut
nicolas caballero,summer kastning,SummerTime,Coed Intermediate 2.0-3.0,sts22saltlakecityut
braedan thomas,daley freeman,Super Spike Bros,Coed Intermediate 2.0-3.0,sts22saltlakecityut
