Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Bot House,“Shayly”,"owen lippman, west peterson","alex luc, nolan marolf",21,12,Pool Play,ststoronto,Premier 5.0+
Austin/Thomas,CRO X Future,"austin ha, thomas maloney","adrian garcea, raffael jonas",21,18,Pool Play,ststoronto,Premier 5.0+
Swamp Donkeys,CRO Suited Connect Ed,"emerson dean, etienne cote","nicholas puopolo, shakil nobes",21,17,Pool Play,ststoronto,Premier 5.0+
Simply Smashing,Soft Pajamas,"guillaume jomphe, olivier laurin","isaac freeman, james hyman",21,12,Pool Play,ststoronto,Premier 5.0+
Wasabi,Butter Shortbread,"marc etienne mclaughlin, vincent mathieu","bryan fonseca, caleb shorter",21,10,Pool Play,ststoronto,Premier 5.0+
Glitch,CRO Bummerland,"cody dryer, luke nickel","eric reinke, leonardo tullo",21,14,Pool Play,ststoronto,Premier 5.0+
Sub-Zero,Bingu!,"gabriel monfette, olivier aglot","jared bingham, sunny gu",17,21,Pool Play,ststoronto,Premier 5.0+
Long Tan Handsome and Addison,Scoot’s Paradise,"addison powers, gabe finocchi","lou paradis, scott pasiechnyk",21,15,Pool Play,ststoronto,Premier 5.0+
GFD Asian Invasion,Gym Class Heroes,"justin barr, neal bergman","michael murray, patrick mcauliffe",21,15,Pool Play,ststoronto,Premier 5.0+
Super pumped,CRO Fall Damage,"philip drouin, reilly paquette","chris brown, tyler babin",10,21,Pool Play,ststoronto,Premier 5.0+
Bot House,CRO X Future,"owen lippman, west peterson","adrian garcea, raffael jonas",21,17,Pool Play,ststoronto,Premier 5.0+
Just Fungin Around,“Shayly”,"donald fung, justin shaytar","alex luc, nolan marolf",21,12,Pool Play,ststoronto,Premier 5.0+
Swamp Donkeys,Soft Pajamas,"emerson dean, etienne cote","isaac freeman, james hyman",21,8,Pool Play,ststoronto,Premier 5.0+
Let’s Eat,CRO Suited Connect Ed,"alex daly, vincent bastrash","nicholas puopolo, shakil nobes",22,20,Pool Play,ststoronto,Premier 5.0+
Wasabi,CRO Bummerland,"marc etienne mclaughlin, vincent mathieu","eric reinke, leonardo tullo",21,11,Pool Play,ststoronto,Premier 5.0+
Glitch,Sub-Zero,"cody dryer, luke nickel","gabriel monfette, olivier aglot",20,22,Pool Play,ststoronto,Premier 5.0+
Bingu!,Butter Shortbread,"jared bingham, sunny gu","bryan fonseca, caleb shorter",21,14,Pool Play,ststoronto,Premier 5.0+
Long Tan Handsome and Addison,Gym Class Heroes,"addison powers, gabe finocchi","michael murray, patrick mcauliffe",21,13,Pool Play,ststoronto,Premier 5.0+
GFD Asian Invasion,Super pumped,"justin barr, neal bergman","philip drouin, reilly paquette",21,15,Pool Play,ststoronto,Premier 5.0+
CRO Fall Damage,Scoot’s Paradise,"chris brown, tyler babin","lou paradis, scott pasiechnyk",21,16,Pool Play,ststoronto,Premier 5.0+
Bot House,Just Fungin Around,"owen lippman, west peterson","donald fung, justin shaytar",21,18,Pool Play,ststoronto,Premier 5.0+
Austin/Thomas,“Shayly”,"austin ha, thomas maloney","alex luc, nolan marolf",19,21,Pool Play,ststoronto,Premier 5.0+
Swamp Donkeys,Let’s Eat,"emerson dean, etienne cote","alex daly, vincent bastrash",21,14,Pool Play,ststoronto,Premier 5.0+
Simply Smashing,CRO Suited Connect Ed,"guillaume jomphe, olivier laurin","nicholas puopolo, shakil nobes",21,16,Pool Play,ststoronto,Premier 5.0+
Wasabi,Bingu!,"marc etienne mclaughlin, vincent mathieu","jared bingham, sunny gu",21,11,Pool Play,ststoronto,Premier 5.0+
Glitch,Butter Shortbread,"cody dryer, luke nickel","bryan fonseca, caleb shorter",21,17,Pool Play,ststoronto,Premier 5.0+
Sub-Zero,CRO Bummerland,"gabriel monfette, olivier aglot","eric reinke, leonardo tullo",21,13,Pool Play,ststoronto,Premier 5.0+
Long Tan Handsome and Addison,CRO Fall Damage,"addison powers, gabe finocchi","chris brown, tyler babin",21,19,Pool Play,ststoronto,Premier 5.0+
