Player 1,Player 2,Team Name,Division,Tournament
austin ha,thomas maloney,Austin/Thomas,Premier 5.0+,ststoronto
jared bingham,sunny gu,Bingu!,Premier 5.0+,ststoronto
owen lippman,west peterson,Bot House,Premier 5.0+,ststoronto
bryan fonseca,caleb shorter,Butter Shortbread,Premier 5.0+,ststoronto
eric reinke,leonardo tullo,CRO Bummerland,Premier 5.0+,ststoronto
chris brown,tyler babin,CRO Fall Damage,Premier 5.0+,ststoronto
nicholas puopolo,shakil nobes,CRO Suited Connect Ed,Premier 5.0+,ststoronto
adrian garcea,raffael jonas,CRO X Future,Premier 5.0+,ststoronto
justin barr,neal bergman,GFD Asian Invasion,Premier 5.0+,ststoronto
cody dryer,luke nickel,Glitch,Premier 5.0+,ststoronto
michael murray,patrick mcauliffe,Gym Class Heroes,Premier 5.0+,ststoronto
donald fung,justin shaytar,Just Fungin Around,Premier 5.0+,ststoronto
alex daly,vincent bastrash,Let’s Eat,Premier 5.0+,ststoronto
addison powers,gabe finocchi,Long Tan Handsome and Addison,Premier 5.0+,ststoronto
lou paradis,scott pasiechnyk,Scoot’s Paradise,Premier 5.0+,ststoronto
guillaume jomphe,olivier laurin,Simply Smashing,Premier 5.0+,ststoronto
isaac freeman,james hyman,Soft Pajamas,Premier 5.0+,ststoronto
gabriel monfette,olivier aglot,Sub-Zero,Premier 5.0+,ststoronto
philip drouin,reilly paquette,Super pumped,Premier 5.0+,ststoronto
emerson dean,etienne cote,Swamp Donkeys,Premier 5.0+,ststoronto
marc etienne mclaughlin,vincent mathieu,Wasabi,Premier 5.0+,ststoronto
alex luc,nolan marolf,“Shayly”,Premier 5.0+,ststoronto
ian lane,nic albornoz,55 BURGERS 55 FRIES 55 TACOS 55 PIES,Contenders 4.5+,ststoronto
alex newton,john putney,8’s,Contenders 4.5+,ststoronto
hudson ford,joshua hachey,Babin’s Disciples,Contenders 4.5+,ststoronto
calyn kir,carlin vicera,Cal & Carl,Contenders 4.5+,ststoronto
kevin plante,simon guillemette,Canadian French Kiss,Contenders 4.5+,ststoronto
cody ravindran,jared ang,Drop N’ Cut,Contenders 4.5+,ststoronto
joey renaud,nethaniel gabriel,FCR BHAD Boys,Contenders 4.5+,ststoronto
anthony addorisio,brendan reesor,Frosted Flakes & Reese's Puffs,Contenders 4.5+,ststoronto
bob yang,shawn madden,GOATA Boys,Contenders 4.5+,ststoronto
isaac staats,joe hu,Hu/Staats,Contenders 4.5+,ststoronto
jake remnant,luke prezio,Juicy Fruit,Contenders 4.5+,ststoronto
jasper weatherby,jack mcara,Larry's Zoomin,Contenders 4.5+,ststoronto
daniel patten,nick evanko,Middleburg A Squad,Contenders 4.5+,ststoronto
brock leibold,malachi albrecht,Nemesis Foundnet,Contenders 4.5+,ststoronto
dustin grant,sam mccune,Receive Pressure,Contenders 4.5+,ststoronto
