Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Insystem,PSR S/T,"blake bosak, etienne cote","derek tang, jason small",21,5,Pool Play,bcts2023fv,Elite/Premier
Groovy,Weenie Stompers,"carlin vicera, will ries","conner bradshaw, jordan freitas",19,21,Pool Play,bcts2023fv,Elite/Premier
Wesburn,sage mode,"eddy leung, ivan zeng","segeon jang, wilson li",21,16,Pool Play,bcts2023fv,Elite/Premier
Former Serveballers,Spike Tyson,"malachi espinola, solomon berry","justin cho, kolton falk",21,9,Pool Play,bcts2023fv,Elite/Premier
Insystem,Weenie Stompers,"blake bosak, etienne cote","conner bradshaw, jordan freitas",21,12,Pool Play,bcts2023fv,Elite/Premier
City Boys,PSR S/T,"bram declercq, jovan tang","derek tang, jason small",17,21,Pool Play,bcts2023fv,Elite/Premier
Wesburn,Spike Tyson,"eddy leung, ivan zeng","justin cho, kolton falk",21,15,Pool Play,bcts2023fv,Elite/Premier
Unlucky,sage mode,"trevor slaughter, lucas peng","segeon jang, wilson li",21,17,Pool Play,bcts2023fv,Elite/Premier
Insystem,City Boys,"blake bosak, etienne cote","bram declercq, jovan tang",21,13,Pool Play,bcts2023fv,Elite/Premier
Groovy,PSR S/T,"carlin vicera, will ries","derek tang, jason small",21,16,Pool Play,bcts2023fv,Elite/Premier
Wesburn,Unlucky,"eddy leung, ivan zeng","trevor slaughter, lucas peng",21,17,Pool Play,bcts2023fv,Elite/Premier
Former Serveballers,sage mode,"malachi espinola, solomon berry","segeon jang, wilson li",21,14,Pool Play,bcts2023fv,Elite/Premier
Groovy,City Boys,"carlin vicera, will ries","bram declercq, jovan tang",24,22,Pool Play,bcts2023fv,Elite/Premier
Weenie Stompers,PSR S/T,"conner bradshaw, jordan freitas","derek tang, jason small",21,14,Pool Play,bcts2023fv,Elite/Premier
Former Serveballers,Unlucky,"malachi espinola, solomon berry","trevor slaughter, lucas peng",21,14,Pool Play,bcts2023fv,Elite/Premier
Spike Tyson,sage mode,"justin cho, kolton falk","segeon jang, wilson li",19,21,Pool Play,bcts2023fv,Elite/Premier
Insystem,Groovy,"blake bosak, etienne cote","carlin vicera, will ries",21,15,Pool Play,bcts2023fv,Elite/Premier
City Boys,Weenie Stompers,"bram declercq, jovan tang","conner bradshaw, jordan freitas",14,21,Pool Play,bcts2023fv,Elite/Premier
Wesburn,Former Serveballers,"eddy leung, ivan zeng","malachi espinola, solomon berry",21,16,Pool Play,bcts2023fv,Elite/Premier
Unlucky,Spike Tyson,"trevor slaughter, lucas peng","justin cho, kolton falk",21,13,Pool Play,bcts2023fv,Elite/Premier
Hit on Two,Dumb & Dumber,"legy horak, milan milosevic","erick osthiemer, hernestor ramirez diaz",21,15,Pool Play,bcts2023fv,Advanced
Bisky and the Boys,Net Fishers,"fiona chan, judy tian","brandon lu, ethan lam",16,21,Pool Play,bcts2023fv,Advanced
Spike Wazowski,The French Connection,"josiah hoeppner, tyus devries","arno villalbi, joshua grant",21,11,Pool Play,bcts2023fv,Advanced
Pocket Rockets,JArsHüæR,"jake ryznar, mattias cipriano","aaleigha chin, sakura kubota",15,21,Pool Play,bcts2023fv,Advanced
Hit on Two,Net Fishers,"legy horak, milan milosevic","brandon lu, ethan lam",14,21,Pool Play,bcts2023fv,Advanced
Skandalous,Dumb & Dumber,"leif skelding, reid skelding","erick osthiemer, hernestor ramirez diaz",9,21,Pool Play,bcts2023fv,Advanced
Spike Wazowski,JArsHüæR,"josiah hoeppner, tyus devries","aaleigha chin, sakura kubota",21,8,Pool Play,bcts2023fv,Advanced
Muffin Soldiers,The French Connection,"joseph nesbitt, josiah driedger","arno villalbi, joshua grant",21,16,Pool Play,bcts2023fv,Advanced
Hit on Two,Skandalous,"legy horak, milan milosevic","leif skelding, reid skelding",12,21,Pool Play,bcts2023fv,Advanced
Bisky and the Boys,Dumb & Dumber,"fiona chan, judy tian","erick osthiemer, hernestor ramirez diaz",12,21,Pool Play,bcts2023fv,Advanced
Spike Wazowski,Muffin Soldiers,"josiah hoeppner, tyus devries","joseph nesbitt, josiah driedger",21,10,Pool Play,bcts2023fv,Advanced
Pocket Rockets,The French Connection,"jake ryznar, mattias cipriano","arno villalbi, joshua grant",14,21,Pool Play,bcts2023fv,Advanced
Bisky and the Boys,Skandalous,"fiona chan, judy tian","leif skelding, reid skelding",19,21,Pool Play,bcts2023fv,Advanced
Net Fishers,Dumb & Dumber,"brandon lu, ethan lam","erick osthiemer, hernestor ramirez diaz",21,19,Pool Play,bcts2023fv,Advanced
Pocket Rockets,Muffin Soldiers,"jake ryznar, mattias cipriano","joseph nesbitt, josiah driedger",21,17,Pool Play,bcts2023fv,Advanced
JArsHüæR,The French Connection,"aaleigha chin, sakura kubota","arno villalbi, joshua grant",16,21,Pool Play,bcts2023fv,Advanced
Hit on Two,Bisky and the Boys,"legy horak, milan milosevic","fiona chan, judy tian",21,10,Pool Play,bcts2023fv,Advanced
Skandalous,Net Fishers,"leif skelding, reid skelding","brandon lu, ethan lam",19,21,Pool Play,bcts2023fv,Advanced
