Player 1,Player 2,Team Name,Division,Tournament
bram declercq,jovan tang,City Boys,Elite/Premier,bcts2023fv
malachi espinola,solomon berry,Former Serveballers,Elite/Premier,bcts2023fv
carlin vicera,will ries,Groovy,Elite/Premier,bcts2023fv
blake bosak,etienne cote,Insystem,Elite/Premier,bcts2023fv
derek tang,jason small,PSR S/T,Elite/Premier,bcts2023fv
segeon jang,wilson li,sage mode,Elite/Premier,bcts2023fv
justin cho,kolton falk,Spike Tyson,Elite/Premier,bcts2023fv
trevor slaughter,lucas peng,Unlucky,Elite/Premier,bcts2023fv
conner bradshaw,jordan freitas,Weenie Stompers,Elite/Premier,bcts2023fv
eddy leung,ivan zeng,Wesburn,Elite/Premier,bcts2023fv
fiona chan,judy tian,Bisky and the Boys,Advanced,bcts2023fv
erick osthiemer,hernestor ramirez diaz,Dumb & Dumber,Advanced,bcts2023fv
legy horak,milan milosevic,Hit on Two,Advanced,bcts2023fv
aaleigha chin,sakura kubota,JArsHüæR,Advanced,bcts2023fv
joseph nesbitt,josiah driedger,Muffin Soldiers,Advanced,bcts2023fv
brandon lu,ethan lam,Net Fishers,Advanced,bcts2023fv
jake ryznar,mattias cipriano,Pocket Rockets,Advanced,bcts2023fv
leif skelding,reid skelding,Skandalous,Advanced,bcts2023fv
josiah hoeppner,tyus devries,Spike Wazowski,Advanced,bcts2023fv
arno villalbi,joshua grant,The French Connection,Advanced,bcts2023fv
michael louie,rico li,"""Low power"" spikers 🪫",Intermediate,bcts2023fv
jared prinsloo,michael czemerys,Ball Busters,Intermediate,bcts2023fv
martin a,michael gibbons,M&M,Intermediate,bcts2023fv
thai do,vince pinlac,Spikological Warfare,Intermediate,bcts2023fv
renaud ag,tiana yung,Squick Squick,Intermediate,bcts2023fv
edwin chow,sam zhao,The Keks,Intermediate,bcts2023fv
