Player 1,Player 2,Team Name,Division,Tournament
caleb chow,jeffrey cheng,852Rising,Elite/Premier,bcts2023van
bram declercq,justin white,Belgian White,Elite/Premier,bcts2023van
joshua chui,will leung,Bidet Boys,Elite/Premier,bcts2023van
etienne cote,paq clifford,Chill,Elite/Premier,bcts2023van
kayla ngai,solomon berry,Don’t hurt us,Elite/Premier,bcts2023van
blake clarke,carlos nakamura,Fortified,Elite/Premier,bcts2023van
brandon lu,jovan tang,Jovan/Brandon,Elite/Premier,bcts2023van
ishraq joarder,matthew liao,KB24,Elite/Premier,bcts2023van
eddy leung,will ries,Premature Party People,Elite/Premier,bcts2023van
segeon jang,wilson li,sage mode,Elite/Premier,bcts2023van
josiah hoeppner,tyus devries,Spike Wazowski,Elite/Premier,bcts2023van
blake bosak,elijah kim,Thirst Trap,Elite/Premier,bcts2023van
carlin vicera,ivan zeng,Tian Mi Mi,Elite/Premier,bcts2023van
jinder sandhar,leuvin ebora,4Loko Legends,Advanced,bcts2023van
ben marnell,cameron ramsey,Ass Blasters Inc,Advanced,bcts2023van
legy horak,mattias cipriano,Ball Busters,Advanced,bcts2023van
henry lam,sunny lee,Bright Chicken,Advanced,bcts2023van
joe hu,leon trieu,Business Casual,Advanced,bcts2023van
keyan de vries,mikey wiebe,butter boys,Advanced,bcts2023van
donald ma,teresa liao,Casuals,Advanced,bcts2023van
bryce jacobsen,jason xu,Complete Strangers,Advanced,bcts2023van
jonathan de jong,matthew kasteel,Dad Bods,Advanced,bcts2023van
jaian nichols,nate yandle,Double Duce,Advanced,bcts2023van
erick osthiemer,hernestor ramirez diaz,Dumb & Dumber,Advanced,bcts2023van
ethan lo,jason fevang,Hard hitters,Advanced,bcts2023van
jordan yue,nik babaeff,Lochside Lizards,Advanced,bcts2023van
zofia mencwel,malachy montemurro,M & M,Advanced,bcts2023van
arno villalbi,joshua grant,The French Connection,Advanced,bcts2023van
angelo ibarrola,pavan narahari,Vancouver I hardly know her,Advanced,bcts2023van
dallin james,garret james,Yasuo/Yuumi GGEZ,Advanced,bcts2023van
george munn,joel burnham,Young Guns,Advanced,bcts2023van
raphael blais,thai do,Buttery Croissants,Intermediate,bcts2023van
connor gritter,jessica freebairn,CJ SPIKE,Intermediate,bcts2023van
maxime cruysmans,riley spears,Flowers,Intermediate,bcts2023van
jack munn,jacob burnham,J-Boys,Intermediate,bcts2023van
natasha mayer,nate antonides,Nat & Nate’s Spik & Spike,Intermediate,bcts2023van
ian lung,jordan verasamy,SC2Spike,Intermediate,bcts2023van
michael rose,tanner saliken,Sea Daddys,Intermediate,bcts2023van
adam ps,aidan duffy,Subs Club,Intermediate,bcts2023van
betty yan,robert nelson,TooFastTooNew,Intermediate,bcts2023van
