Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Accio Pitcher,Chernobyl,"connor nelson, jacob payer","dylan medveal, james lamkin",21,17,Pool Play,open4,Expert 5.0
Almost a full Mexican,GQ’s finest,"clifton miller, josh fragiacomo","alec galbo, quinn hufler",21,17,Pool Play,open4,Expert 5.0
Electro-Monkies,super sluggers,"nathaniel schrag, ryan mccargar","nate gauthier, sasha mariniuk",21,17,Pool Play,open4,Expert 5.0
Dino nugs and rice,The Disciples,"josh cain, warren foote","benjamin walker-edwards, mason thau",21,17,Pool Play,open4,Expert 5.0
white men can’t jump,blind date 2 electric boogaloo,"jason rhoads, joseph kaylor","douglas page, patrick drucker",15,21,Pool Play,open4,Expert 5.0
Du/Camarena,the locals,"charlie camarena, michael du","elle lowe, ryan oswalt",21,14,Pool Play,open4,Expert 5.0
Accio Pitcher,GQ’s finest,"connor nelson, jacob payer","alec galbo, quinn hufler",21,9,Pool Play,open4,Expert 5.0
Almost a full Mexican,Electro-Monkies,"clifton miller, josh fragiacomo","nathaniel schrag, ryan mccargar",21,23,Pool Play,open4,Expert 5.0
super sluggers,Chernobyl,"nate gauthier, sasha mariniuk","dylan medveal, james lamkin",20,22,Pool Play,open4,Expert 5.0
Dino nugs and rice,blind date 2 electric boogaloo,"josh cain, warren foote","douglas page, patrick drucker",19,21,Pool Play,open4,Expert 5.0
white men can’t jump,Du/Camarena,"jason rhoads, joseph kaylor","charlie camarena, michael du",17,21,Pool Play,open4,Expert 5.0
the locals,The Disciples,"elle lowe, ryan oswalt","benjamin walker-edwards, mason thau",21,16,Pool Play,open4,Expert 5.0
Accio Pitcher,super sluggers,"connor nelson, jacob payer","nate gauthier, sasha mariniuk",21,11,Pool Play,open4,Expert 5.0
Almost a full Mexican,Chernobyl,"clifton miller, josh fragiacomo","dylan medveal, james lamkin",21,15,Pool Play,open4,Expert 5.0
Electro-Monkies,GQ’s finest,"nathaniel schrag, ryan mccargar","alec galbo, quinn hufler",15,21,Pool Play,open4,Expert 5.0
Dino nugs and rice,the locals,"josh cain, warren foote","elle lowe, ryan oswalt",21,16,Pool Play,open4,Expert 5.0
white men can’t jump,The Disciples,"jason rhoads, joseph kaylor","benjamin walker-edwards, mason thau",21,9,Pool Play,open4,Expert 5.0
Du/Camarena,blind date 2 electric boogaloo,"charlie camarena, michael du","douglas page, patrick drucker",20,22,Pool Play,open4,Expert 5.0
Accio Pitcher,Electro-Monkies,"connor nelson, jacob payer","nathaniel schrag, ryan mccargar",15,21,Pool Play,open4,Expert 5.0
Almost a full Mexican,super sluggers,"clifton miller, josh fragiacomo","nate gauthier, sasha mariniuk",21,18,Pool Play,open4,Expert 5.0
GQ’s finest,Chernobyl,"alec galbo, quinn hufler","dylan medveal, james lamkin",21,15,Pool Play,open4,Expert 5.0
Dino nugs and rice,Du/Camarena,"josh cain, warren foote","charlie camarena, michael du",21,14,Pool Play,open4,Expert 5.0
white men can’t jump,the locals,"jason rhoads, joseph kaylor","elle lowe, ryan oswalt",21,18,Pool Play,open4,Expert 5.0
blind date 2 electric boogaloo,The Disciples,"douglas page, patrick drucker","benjamin walker-edwards, mason thau",21,19,Pool Play,open4,Expert 5.0
Accio Pitcher,Almost a full Mexican,"connor nelson, jacob payer","clifton miller, josh fragiacomo",21,17,Pool Play,open4,Expert 5.0
Electro-Monkies,Chernobyl,"nathaniel schrag, ryan mccargar","dylan medveal, james lamkin",16,21,Pool Play,open4,Expert 5.0
super sluggers,GQ’s finest,"nate gauthier, sasha mariniuk","alec galbo, quinn hufler",9,21,Pool Play,open4,Expert 5.0
Dino nugs and rice,white men can’t jump,"josh cain, warren foote","jason rhoads, joseph kaylor",21,11,Pool Play,open4,Expert 5.0
Du/Camarena,The Disciples,"charlie camarena, michael du","benjamin walker-edwards, mason thau",21,14,Pool Play,open4,Expert 5.0
the locals,blind date 2 electric boogaloo,"elle lowe, ryan oswalt","douglas page, patrick drucker",21,17,Pool Play,open4,Expert 5.0
Butter,Kevin's Kids,"esteban cambronero saba, michael liu","abby cham, paurush pandey",15,11,Pool Play,open4,Contender 3.0-4.5
Fwango Unchained,Moultrie Madness,"noah saddik, thomas mcclure","jeffrey wang, samuel wallen",15,8,Pool Play,open4,Contender 3.0-4.5
