Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Duncan and Aidan,Taco Benders,"dennis joseph, jared bingham","ryan kavanaugh, tanner estes",21,10,Pool Play,ers23alb,Open 4.5+
Second Servings,GTCOMS,"kevin chen, ricky santiago","ethan tanguay, michael bagdasarian",21,18,Pool Play,ers23alb,Open 4.5+
fRiEd RiZzTiSM,Freemandola,"lucas hope, thomas hoffman","theo freeman, zachary amendola",21,10,Pool Play,ers23alb,Open 4.5+
Joel Fan Club,Power and Finesse,"michael capobianco, samuel corey","andy martin, noah hickey",21,11,Pool Play,ers23alb,Open 4.5+
Meatballs,GOD DID,"joey maichen, lucas pruett","matthew rodriguez, phillip filipkowski",21,12,Pool Play,ers23alb,Open 4.5+
Premerekats,Fresh Cuts,"justin wang, riley savastano","ethan westfall, jon lefrois",19,21,Pool Play,ers23alb,Open 4.5+
Duncan and Aidan,GTCOMS,"dennis joseph, jared bingham","ethan tanguay, michael bagdasarian",21,10,Pool Play,ers23alb,Open 4.5+
Second Servings,fRiEd RiZzTiSM,"kevin chen, ricky santiago","lucas hope, thomas hoffman",19,21,Pool Play,ers23alb,Open 4.5+
Freemandola,Taco Benders,"theo freeman, zachary amendola","ryan kavanaugh, tanner estes",21,8,Pool Play,ers23alb,Open 4.5+
Joel Fan Club,GOD DID,"michael capobianco, samuel corey","matthew rodriguez, phillip filipkowski",21,12,Pool Play,ers23alb,Open 4.5+
Meatballs,Premerekats,"joey maichen, lucas pruett","justin wang, riley savastano",21,17,Pool Play,ers23alb,Open 4.5+
Fresh Cuts,Power and Finesse,"ethan westfall, jon lefrois","andy martin, noah hickey",21,18,Pool Play,ers23alb,Open 4.5+
Duncan and Aidan,Freemandola,"dennis joseph, jared bingham","theo freeman, zachary amendola",21,15,Pool Play,ers23alb,Open 4.5+
Second Servings,Taco Benders,"kevin chen, ricky santiago","ryan kavanaugh, tanner estes",21,14,Pool Play,ers23alb,Open 4.5+
fRiEd RiZzTiSM,GTCOMS,"lucas hope, thomas hoffman","ethan tanguay, michael bagdasarian",21,7,Pool Play,ers23alb,Open 4.5+
Joel Fan Club,Fresh Cuts,"michael capobianco, samuel corey","ethan westfall, jon lefrois",21,14,Pool Play,ers23alb,Open 4.5+
Meatballs,Power and Finesse,"joey maichen, lucas pruett","andy martin, noah hickey",21,11,Pool Play,ers23alb,Open 4.5+
Premerekats,GOD DID,"justin wang, riley savastano","matthew rodriguez, phillip filipkowski",21,19,Pool Play,ers23alb,Open 4.5+
Duncan and Aidan,fRiEd RiZzTiSM,"dennis joseph, jared bingham","lucas hope, thomas hoffman",18,21,Pool Play,ers23alb,Open 4.5+
Second Servings,Freemandola,"kevin chen, ricky santiago","theo freeman, zachary amendola",21,16,Pool Play,ers23alb,Open 4.5+
GTCOMS,Taco Benders,"ethan tanguay, michael bagdasarian","ryan kavanaugh, tanner estes",19,21,Pool Play,ers23alb,Open 4.5+
Joel Fan Club,Premerekats,"michael capobianco, samuel corey","justin wang, riley savastano",21,19,Pool Play,ers23alb,Open 4.5+
Meatballs,Fresh Cuts,"joey maichen, lucas pruett","ethan westfall, jon lefrois",21,14,Pool Play,ers23alb,Open 4.5+
GOD DID,Power and Finesse,"matthew rodriguez, phillip filipkowski","andy martin, noah hickey",21,18,Pool Play,ers23alb,Open 4.5+
Duncan and Aidan,Second Servings,"dennis joseph, jared bingham","kevin chen, ricky santiago",21,17,Pool Play,ers23alb,Open 4.5+
fRiEd RiZzTiSM,Taco Benders,"lucas hope, thomas hoffman","ryan kavanaugh, tanner estes",21,10,Pool Play,ers23alb,Open 4.5+
Freemandola,GTCOMS,"theo freeman, zachary amendola","ethan tanguay, michael bagdasarian",21,15,Pool Play,ers23alb,Open 4.5+
Joel Fan Club,Meatballs,"michael capobianco, samuel corey","joey maichen, lucas pruett",24,25,Pool Play,ers23alb,Open 4.5+
Premerekats,Power and Finesse,"justin wang, riley savastano","andy martin, noah hickey",21,9,Pool Play,ers23alb,Open 4.5+
Fresh Cuts,GOD DID,"ethan westfall, jon lefrois","matthew rodriguez, phillip filipkowski",23,21,Pool Play,ers23alb,Open 4.5+
