Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Daly Cup of Jo,CEOs of Spikeball,"alex daly, dennis joseph","alex walraven, allen hornberger",21,7,Pool Play,ers23bos,Open 4.5+
General Tso’s Chicken,PBR ELBROS,"brody ulrich, scotty mccabe","joel morrell, michael capobianco",21,14,Pool Play,ers23bos,Open 4.5+
FastJamSlowJam,Nice Guys,"jared bingham, joey maichen","bryan pustolka, mike hamilton",21,16,Pool Play,ers23bos,Open 4.5+
Lower expectations,GTCOMS,"alex leblanc, auriel wish","ethan tanguay, michael bagdasarian",21,10,Pool Play,ers23bos,Open 4.5+
Jav a Stella Day,Chiva Hermanos,"javier vidal, thomas estella","camilo cruz, edgar cruz",21,10,Pool Play,ers23bos,Open 4.5+
Fresh Cuts,Nelson / Lowe,"ethan westfall, jon lefrois","connor nelson, elle lowe",17,21,Pool Play,ers23bos,Open 4.5+
Falling Guys,Jam Ranch,"bryan grullon, charles tipton","julian bouratoglou, matthew vivian",21,14,Pool Play,ers23bos,Open 4.5+
Slow Jamz,ZK Spikes,"kevin mcclain, thomas hoffman","kennedy nguyen, zachary seguin",21,6,Pool Play,ers23bos,Open 4.5+
Out spin the pocket,BigLam,"isaiah milgroom, matt garbecki","abigale lamontagne, jackson biggs",21,15,Pool Play,ers23bos,Open 4.5+
White Lotus Roundnet,Hot 'n Ready,"ely marciano, mitchell carter","carter c, micah chan",21,4,Pool Play,ers23bos,Open 4.5+
Ducked Up,Pocket Watching,"sam diani, sunny gu","carson wallace, liam white",21,12,Pool Play,ers23bos,Open 4.5+
Beef Supreme,Can't believe it's not butter,"jeff aselin, sean berg","aidan buchanan, mitchell whelan",21,16,Pool Play,ers23bos,Open 4.5+
Daly Cup of Jo,PBR ELBROS,"alex daly, dennis joseph","joel morrell, michael capobianco",19,21,Pool Play,ers23bos,Open 4.5+
Borderline Misconduct,CEOs of Spikeball,"gabe packevicz, jason mcgrath","alex walraven, allen hornberger",21,19,Pool Play,ers23bos,Open 4.5+
FastJamSlowJam,GTCOMS,"jared bingham, joey maichen","ethan tanguay, michael bagdasarian",21,14,Pool Play,ers23bos,Open 4.5+
Spoink Ball,Nice Guys,"michael catuccio, vince hackl","bryan pustolka, mike hamilton",12,21,Pool Play,ers23bos,Open 4.5+
Jav a Stella Day,Nelson / Lowe,"javier vidal, thomas estella","connor nelson, elle lowe",21,17,Pool Play,ers23bos,Open 4.5+
Jersey Boyz,Chiva Hermanos,"corey weiss, matt spolarich","camilo cruz, edgar cruz",21,3,Pool Play,ers23bos,Open 4.5+
Falling Guys,ZK Spikes,"bryan grullon, charles tipton","kennedy nguyen, zachary seguin",21,11,Pool Play,ers23bos,Open 4.5+
Slow Jamz,Out spin the pocket,"kevin mcclain, thomas hoffman","isaiah milgroom, matt garbecki",21,13,Pool Play,ers23bos,Open 4.5+
BigLam,Jam Ranch,"abigale lamontagne, jackson biggs","julian bouratoglou, matthew vivian",21,18,Pool Play,ers23bos,Open 4.5+
White Lotus Roundnet,Pocket Watching,"ely marciano, mitchell carter","carson wallace, liam white",21,5,Pool Play,ers23bos,Open 4.5+
Ducked Up,Beef Supreme,"sam diani, sunny gu","jeff aselin, sean berg",18,21,Pool Play,ers23bos,Open 4.5+
Can't believe it's not butter,Hot 'n Ready,"aidan buchanan, mitchell whelan","carter c, micah chan",21,9,Pool Play,ers23bos,Open 4.5+
Daly Cup of Jo,Borderline Misconduct,"alex daly, dennis joseph","gabe packevicz, jason mcgrath",21,7,Pool Play,ers23bos,Open 4.5+
General Tso’s Chicken,CEOs of Spikeball,"brody ulrich, scotty mccabe","alex walraven, allen hornberger",21,14,Pool Play,ers23bos,Open 4.5+
FastJamSlowJam,Spoink Ball,"jared bingham, joey maichen","michael catuccio, vince hackl",21,16,Pool Play,ers23bos,Open 4.5+
Lower expectations,Nice Guys,"alex leblanc, auriel wish","bryan pustolka, mike hamilton",21,10,Pool Play,ers23bos,Open 4.5+
Jav a Stella Day,Jersey Boyz,"javier vidal, thomas estella","corey weiss, matt spolarich",15,21,Pool Play,ers23bos,Open 4.5+
Fresh Cuts,Chiva Hermanos,"ethan westfall, jon lefrois","camilo cruz, edgar cruz",21,8,Pool Play,ers23bos,Open 4.5+
Falling Guys,BigLam,"bryan grullon, charles tipton","abigale lamontagne, jackson biggs",22,20,Pool Play,ers23bos,Open 4.5+
Slow Jamz,Jam Ranch,"kevin mcclain, thomas hoffman","julian bouratoglou, matthew vivian",21,14,Pool Play,ers23bos,Open 4.5+
Out spin the pocket,ZK Spikes,"isaiah milgroom, matt garbecki","kennedy nguyen, zachary seguin",21,10,Pool Play,ers23bos,Open 4.5+
White Lotus Roundnet,Can't believe it's not butter,"ely marciano, mitchell carter","aidan buchanan, mitchell whelan",23,21,Pool Play,ers23bos,Open 4.5+
Ducked Up,Hot 'n Ready,"sam diani, sunny gu","carter c, micah chan",21,6,Pool Play,ers23bos,Open 4.5+
Beef Supreme,Pocket Watching,"jeff aselin, sean berg","carson wallace, liam white",21,16,Pool Play,ers23bos,Open 4.5+
General Tso’s Chicken,Borderline Misconduct,"brody ulrich, scotty mccabe","gabe packevicz, jason mcgrath",19,21,Pool Play,ers23bos,Open 4.5+
PBR ELBROS,CEOs of Spikeball,"joel morrell, michael capobianco","alex walraven, allen hornberger",21,15,Pool Play,ers23bos,Open 4.5+
Lower expectations,Spoink Ball,"alex leblanc, auriel wish","michael catuccio, vince hackl",21,12,Pool Play,ers23bos,Open 4.5+
GTCOMS,Nice Guys,"ethan tanguay, michael bagdasarian","bryan pustolka, mike hamilton",18,21,Pool Play,ers23bos,Open 4.5+
Fresh Cuts,Jersey Boyz,"ethan westfall, jon lefrois","corey weiss, matt spolarich",6,21,Pool Play,ers23bos,Open 4.5+
Nelson / Lowe,Chiva Hermanos,"connor nelson, elle lowe","camilo cruz, edgar cruz",21,6,Pool Play,ers23bos,Open 4.5+
Falling Guys,Out spin the pocket,"bryan grullon, charles tipton","isaiah milgroom, matt garbecki",21,15,Pool Play,ers23bos,Open 4.5+
Slow Jamz,BigLam,"kevin mcclain, thomas hoffman","abigale lamontagne, jackson biggs",21,16,Pool Play,ers23bos,Open 4.5+
ZK Spikes,Jam Ranch,"kennedy nguyen, zachary seguin","julian bouratoglou, matthew vivian",13,21,Pool Play,ers23bos,Open 4.5+
White Lotus Roundnet,Beef Supreme,"ely marciano, mitchell carter","jeff aselin, sean berg",21,18,Pool Play,ers23bos,Open 4.5+
Ducked Up,Can't believe it's not butter,"sam diani, sunny gu","aidan buchanan, mitchell whelan",23,21,Pool Play,ers23bos,Open 4.5+
Pocket Watching,Hot 'n Ready,"carson wallace, liam white","carter c, micah chan",21,9,Pool Play,ers23bos,Open 4.5+
Daly Cup of Jo,General Tso’s Chicken,"alex daly, dennis joseph","brody ulrich, scotty mccabe",21,19,Pool Play,ers23bos,Open 4.5+
Borderline Misconduct,PBR ELBROS,"gabe packevicz, jason mcgrath","joel morrell, michael capobianco",14,21,Pool Play,ers23bos,Open 4.5+
FastJamSlowJam,Lower expectations,"jared bingham, joey maichen","alex leblanc, auriel wish",21,18,Pool Play,ers23bos,Open 4.5+
Spoink Ball,GTCOMS,"michael catuccio, vince hackl","ethan tanguay, michael bagdasarian",21,11,Pool Play,ers23bos,Open 4.5+
Jav a Stella Day,Fresh Cuts,"javier vidal, thomas estella","ethan westfall, jon lefrois",21,12,Pool Play,ers23bos,Open 4.5+
Jersey Boyz,Nelson / Lowe,"corey weiss, matt spolarich","connor nelson, elle lowe",21,18,Pool Play,ers23bos,Open 4.5+
Falling Guys,Slow Jamz,"bryan grullon, charles tipton","kevin mcclain, thomas hoffman",24,25,Pool Play,ers23bos,Open 4.5+
Out spin the pocket,Jam Ranch,"isaiah milgroom, matt garbecki","julian bouratoglou, matthew vivian",21,19,Pool Play,ers23bos,Open 4.5+
