Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Amplified Gains,Front Pocket Rockets,"donald fung, stephen sweeney","daniel cromwell, gabe schaub",21,11,Pool Play,ers23roc,Open 4.5+
Tea Time,Basic White Boys,"ian lane, sam mccune","john putney, riley nassour",21,13,Pool Play,ers23roc,Open 4.5+
Shmanuvemints,V/F United,"brandon spector, joseph campiglia","eric wernert, william erwin",21,12,Pool Play,ers23roc,Open 4.5+
Absolutely Torqued,Tweak Sauce,"alex newton, isaac staats","ethan ferland, seth cutler",21,15,Pool Play,ers23roc,Open 4.5+
Amplified Gains,Basic White Boys,"donald fung, stephen sweeney","john putney, riley nassour",21,18,Pool Play,ers23roc,Open 4.5+
Tea Time,Front Pocket Rockets,"ian lane, sam mccune","daniel cromwell, gabe schaub",21,16,Pool Play,ers23roc,Open 4.5+
Shmanuvemints,Tweak Sauce,"brandon spector, joseph campiglia","ethan ferland, seth cutler",11,21,Pool Play,ers23roc,Open 4.5+
Absolutely Torqued,V/F United,"alex newton, isaac staats","eric wernert, william erwin",21,10,Pool Play,ers23roc,Open 4.5+
Amplified Gains,Tea Time,"donald fung, stephen sweeney","ian lane, sam mccune",18,21,Pool Play,ers23roc,Open 4.5+
Basic White Boys,Front Pocket Rockets,"john putney, riley nassour","daniel cromwell, gabe schaub",21,9,Pool Play,ers23roc,Open 4.5+
Shmanuvemints,Absolutely Torqued,"brandon spector, joseph campiglia","alex newton, isaac staats",11,21,Pool Play,ers23roc,Open 4.5+
Tweak Sauce,V/F United,"ethan ferland, seth cutler","eric wernert, william erwin",21,12,Pool Play,ers23roc,Open 4.5+
Amplified Gains,Front Pocket Rockets,"donald fung, stephen sweeney","daniel cromwell, gabe schaub",21,10,Pool Play,ers23roc,Open 4.5+
Tea Time,Basic White Boys,"ian lane, sam mccune","john putney, riley nassour",21,19,Pool Play,ers23roc,Open 4.5+
Shmanuvemints,V/F United,"brandon spector, joseph campiglia","eric wernert, william erwin",23,21,Pool Play,ers23roc,Open 4.5+
Absolutely Torqued,Tweak Sauce,"alex newton, isaac staats","ethan ferland, seth cutler",21,15,Pool Play,ers23roc,Open 4.5+
Amplified Gains,Basic White Boys,"donald fung, stephen sweeney","john putney, riley nassour",21,16,Pool Play,ers23roc,Open 4.5+
Tea Time,Front Pocket Rockets,"ian lane, sam mccune","daniel cromwell, gabe schaub",21,13,Pool Play,ers23roc,Open 4.5+
Shmanuvemints,Tweak Sauce,"brandon spector, joseph campiglia","ethan ferland, seth cutler",21,19,Pool Play,ers23roc,Open 4.5+
Absolutely Torqued,V/F United,"alex newton, isaac staats","eric wernert, william erwin",21,9,Pool Play,ers23roc,Open 4.5+
Amplified Gains,Tea Time,"donald fung, stephen sweeney","ian lane, sam mccune",21,19,Pool Play,ers23roc,Open 4.5+
Basic White Boys,Front Pocket Rockets,"john putney, riley nassour","daniel cromwell, gabe schaub",21,19,Pool Play,ers23roc,Open 4.5+
Shmanuvemints,Absolutely Torqued,"brandon spector, joseph campiglia","alex newton, isaac staats",15,21,Pool Play,ers23roc,Open 4.5+
Tweak Sauce,V/F United,"ethan ferland, seth cutler","eric wernert, william erwin",21,15,Pool Play,ers23roc,Open 4.5+
Absolutely Torqued,V/F United,"alex newton, isaac staats","eric wernert, william erwin",21,6,Bracket play round of Quarter-finals game 1,ers23roc,Open 4.5+
Absolutely Torqued,V/F United,"alex newton, isaac staats","eric wernert, william erwin",21,10,Bracket play round of Quarter-finals game 2,ers23roc,Open 4.5+
Tweak Sauce,Shmanuvemints,"ethan ferland, seth cutler","brandon spector, joseph campiglia",24,22,Bracket play round of Quarter-finals game 1,ers23roc,Open 4.5+
Tweak Sauce,Shmanuvemints,"ethan ferland, seth cutler","brandon spector, joseph campiglia",21,15,Bracket play round of Quarter-finals game 2,ers23roc,Open 4.5+
Absolutely Torqued,Tweak Sauce,"alex newton, isaac staats","ethan ferland, seth cutler",21,12,Bracket play round of Semi-finals game 1,ers23roc,Open 4.5+
Absolutely Torqued,Tweak Sauce,"alex newton, isaac staats","ethan ferland, seth cutler",21,15,Bracket play round of Semi-finals game 2,ers23roc,Open 4.5+
Amplified Gains,Tea Time,"donald fung, stephen sweeney","ian lane, sam mccune",21,13,Bracket play round of Final game 1,ers23roc,Open 4.5+
Amplified Gains,Tea Time,"donald fung, stephen sweeney","ian lane, sam mccune",21,18,Bracket play round of Final game 2,ers23roc,Open 4.5+
Amplified Gains,Front Pocket Rockets,"donald fung, stephen sweeney","daniel cromwell, gabe schaub",21,12,Bracket play round of 1st place game 1,ers23roc,Open 4.5+
Amplified Gains,Front Pocket Rockets,"donald fung, stephen sweeney","daniel cromwell, gabe schaub",21,13,Bracket play round of 1st place game 2,ers23roc,Open 4.5+
