Player 1,Player 2,Team Name,Division,Tournament
ma rio,fredric hinkle,Bürkle/Hinkle,Open Gold,ets-vienna-2023
auxence clark,robin florinda,Clarké au floor,Open Gold,ets-vienna-2023
michele berlanda,nicola bazzani,Double Bang,Open Gold,ets-vienna-2023
ondra kasan,ondřej čejka,Double O steal your hoe,Open Gold,ets-vienna-2023
tom eynard,tom hullot,Double Touch,Open Gold,ets-vienna-2023
markus anderle,raffael jonas,Future Burnouts,Open Gold,ets-vienna-2023
marcus gauterin,marvin rösinger,Gauterin/Rösinger,Open Gold,ets-vienna-2023
johannes mitterwald,mathias gangkofner,Gemmathi & Let's Jo,Open Gold,ets-vienna-2023
aleksandrs juška,mikus jaunpetrovičs,"halo, halo, palma?",Open Gold,ets-vienna-2023
cedric widin,matias bermejo pasetti,Hokus Boom,Open Gold,ets-vienna-2023
levi vandaele,yosha vandaele,Hustling Brothers,Open Gold,ets-vienna-2023
faisal sayyed,jorge donayre,Incrediballers,Open Gold,ets-vienna-2023
martin amadeus köppen,paul schirop,Ingo Ingo Ingo Ingolstaaadt,Open Gold,ets-vienna-2023
jan umlauft,julian krehle,JulJan,Open Gold,ets-vienna-2023
lukas tapken,timo lorenzen,LTTL RNDNT,Open Gold,ets-vienna-2023
david jindra,stefan handschmann,nerds in disguise,Open Gold,ets-vienna-2023
jan stachiewicz,jaroslav čabala,Never Cold🌡️,Open Gold,ets-vienna-2023
aymeric sandoz,pierre lecrosnier,Pierre Feuille Victor,Open Gold,ets-vienna-2023
fabian claus,josha lauterbach,Rainbow Warriors,Open Gold,ets-vienna-2023
andrea borsotti,riccardo mercadini,RBZ Capri Sons,Open Gold,ets-vienna-2023
giacomo merlin,matteo sacchini,RBZ Tocco Italiano,Open Gold,ets-vienna-2023
merlin baumeler,ramon felix,RCB Drü,Open Gold,ets-vienna-2023
carlo engel,luc moor,RCB Spikeleeks,Open Gold,ets-vienna-2023
benjamin bachler,nelson dziruni,RCG Powerline,Open Gold,ets-vienna-2023
lucas christiani,max schartmann,RDO Flix und Fertig,Open Gold,ets-vienna-2023
felix millton,gabriel stoisser,Smile,Open Gold,ets-vienna-2023
oriol gonzalez,ryan danekas,Tac Tac,Open Gold,ets-vienna-2023
jakub víšek,sebi mezzey,UnderDAWGS,Open Gold,ets-vienna-2023
emil grönebaum,rasmus prüfer,Willy Wonka,Open Gold,ets-vienna-2023
