Player 1,Player 2,Team Name,Division,Tournament
chris wilkins,neal bergman,ClubSpike Big Slick,Expert,battlecreek23
caleb shorter,henry pilliod,GFD Dunk Dunk Dunk,Expert,battlecreek23
justin barr,tim lacagnina,GFD fine.,Expert,battlecreek23
andrew sullivan,cody dryer,GFD Fortnite Battle Pass,Expert,battlecreek23
grant klapwijk,nick evanko,GFD Gaping Come,Expert,battlecreek23
clifford amadeo leveque,ryan marino,Itsy Bitsy Spider,Expert,battlecreek23
skyler sebring,thomas hamilton,No look,Expert,battlecreek23
korbin thompson,micah bouman,Skinny Guys,Expert,battlecreek23
jack bushart,max fiebelkorn,Turbulence,Expert,battlecreek23
joey reynolds,ruben zapata,Vortex,Expert,battlecreek23
joseph duncan,thomas mckenna,HRC Dunkin' Mac,Advanced,battlecreek23
cameron frye,nathan furness,HRC Fried Finess,Advanced,battlecreek23
alayna schoepp,joshua mistry,HRC Reformation Ralliers,Advanced,battlecreek23
mason evans,mitchell grosteffon,Mango Cart,Advanced,battlecreek23
andrew perez,zach m,Perez/Mazzuchi,Advanced,battlecreek23
