Player 1,Player 2,Team Name,Division,Tournament
owen bass,owen lippman,BOT O-Squared,Expert (4.5-5.0+),chattanooga2023
brycen patterson,stephen jones,BOT Spins.pdf,Expert (4.5-5.0+),chattanooga2023
kieran rose,saahil sharma,Chicken Sharma,Expert (4.5-5.0+),chattanooga2023
justin goldman,peyton stack,Goldman Stacks,Expert (4.5-5.0+),chattanooga2023
bradley clark,michael pope,GooDonCo,Expert (4.5-5.0+),chattanooga2023
andrew felty,clayton stupienski,Lefty Drops Only,Expert (4.5-5.0+),chattanooga2023
david gonzales,jayson rhea,SuperSets,Expert (4.5-5.0+),chattanooga2023
bransen eppes,kade janikula,Those Guys,Expert (4.5-5.0+),chattanooga2023
caleb wood,peyton sparks,Touch and Go,Expert (4.5-5.0+),chattanooga2023
allie foster,olivia jenki,Ugly Barnacles,Expert (4.5-5.0+),chattanooga2023
