Player 1,Player 2,Team Name,Division,Tournament
hernestor ramirez diaz,josh wozniak,Big and tall,Advanced,gritcity2
hudson roberts,jake wasson,Big Mac,Advanced,gritcity2
john o'neal,logan garwood,Boom Boys,Advanced,gritcity2
dallin james,lucas peng,Bottomless Breadsticks,Advanced,gritcity2
liam keohane,max nice,Dawgs Crew,Advanced,gritcity2
davis jung,solomon berry,Defense is Dead(ly),Advanced,gritcity2
arthur troncoso,bryce jacobsen,Double Fault Duo,Advanced,gritcity2
andrew nakahara,trevor buchan,Golden Gate Keepers,Advanced,gritcity2
malachi espinola,trevor slaughter,Grape Boys,Advanced,gritcity2
carlin vicera,etienne cote,Hero’s Dose,Advanced,gritcity2
jensen elsemore,will melhorn,HRC Towers,Advanced,gritcity2
josh fisk,joshua travis,Just Joshing Around,Advanced,gritcity2
oliver viera,paiden rose,little slammers,Advanced,gritcity2
alex osler,maia aton,Passenger Princesses,Advanced,gritcity2
derek tang,jason small,PSR S/T,Advanced,gritcity2
erick osthiemer,garret james,Quadruple Faults I Guess?,Advanced,gritcity2
brendan hull,dustin bishop,Sets on the Beach,Advanced,gritcity2
amit kumar,joseph coleson,setters of catan,Advanced,gritcity2
david cheung,pavan narahari,Spike around and find out,Advanced,gritcity2
angelo ibarrola,joel yang,Sponsored by Carmelos Tacos,Advanced,gritcity2
kayla ngai,victor tu,TuNga VikaYak Attacks the Court,Advanced,gritcity2
quang nguyen,ryan cho,We came for the buffet,Advanced,gritcity2
hailee bennett,tory white,Wendy’s 4 for 4,Advanced,gritcity2
