Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Tostitos,Asian invasion,"anthony clifford, xande plaisted","ralen kovara, zegna picano",21,15,Pool Play,psr2023,Advanced
Collins/Coballes,Chalex,"ben collins, joshua coballes","alex chen, charlie craemer",21,15,Pool Play,psr2023,Advanced
A little Ahn the Small side,Yeetdtrash,"jason small, richard ahn","alec sisaiyaket, ethan gould",21,8,Pool Play,psr2023,Advanced
Mal and Cam,Dumb and dumber,"cameron zundel, malachi espinola","erick osthiemer, hernestor ramirez diaz",21,14,Pool Play,psr2023,Advanced
Home Depot Boys,3rd Impostering,"john o'neal, trevor slaughter","felix coble, griffin righi",21,13,Pool Play,psr2023,Advanced
Buctan’s,Tilt Stick,"derek tang, trevor buchan","bryce jacobsen, dustin bishop",21,8,Pool Play,psr2023,Advanced
Mal Make it Boom,Athletic Weapons,"davis jung, logan garwood","callan underwood, sam clarke",21,10,Pool Play,psr2023,Advanced
Brace Yourself,HRC Towers,"skylar shibayama, tory white","jensen elsemore, will melhorn",21,19,Pool Play,psr2023,Advanced
Jam to Win,Pickpockets,"dallin james, nolan wynkoop","elijah sather, josh wozniak",24,25,Pool Play,psr2023,Advanced
Tostitos,Chalex,"anthony clifford, xande plaisted","alex chen, charlie craemer",21,6,Pool Play,psr2023,Advanced
Collins/Coballes,A little Ahn the Small side,"ben collins, joshua coballes","jason small, richard ahn",21,16,Pool Play,psr2023,Advanced
Yeetdtrash,Asian invasion,"alec sisaiyaket, ethan gould","ralen kovara, zegna picano",12,21,Pool Play,psr2023,Advanced
Mal and Cam,3rd Impostering,"cameron zundel, malachi espinola","felix coble, griffin righi",21,10,Pool Play,psr2023,Advanced
Home Depot Boys,Buctan’s,"john o'neal, trevor slaughter","derek tang, trevor buchan",18,21,Pool Play,psr2023,Advanced
Tilt Stick,Dumb and dumber,"bryce jacobsen, dustin bishop","erick osthiemer, hernestor ramirez diaz",21,13,Pool Play,psr2023,Advanced
Mal Make it Boom,HRC Towers,"davis jung, logan garwood","jensen elsemore, will melhorn",22,20,Pool Play,psr2023,Advanced
Brace Yourself,Jam to Win,"skylar shibayama, tory white","dallin james, nolan wynkoop",9,21,Pool Play,psr2023,Advanced
Pickpockets,Athletic Weapons,"elijah sather, josh wozniak","callan underwood, sam clarke",21,13,Pool Play,psr2023,Advanced
Tostitos,Yeetdtrash,"anthony clifford, xande plaisted","alec sisaiyaket, ethan gould",21,8,Pool Play,psr2023,Advanced
Collins/Coballes,Asian invasion,"ben collins, joshua coballes","ralen kovara, zegna picano",21,14,Pool Play,psr2023,Advanced
A little Ahn the Small side,Chalex,"jason small, richard ahn","alex chen, charlie craemer",21,14,Pool Play,psr2023,Advanced
Mal and Cam,Tilt Stick,"cameron zundel, malachi espinola","bryce jacobsen, dustin bishop",21,10,Pool Play,psr2023,Advanced
Home Depot Boys,Dumb and dumber,"john o'neal, trevor slaughter","erick osthiemer, hernestor ramirez diaz",21,10,Pool Play,psr2023,Advanced
Buctan’s,3rd Impostering,"derek tang, trevor buchan","felix coble, griffin righi",21,9,Pool Play,psr2023,Advanced
Mal Make it Boom,Pickpockets,"davis jung, logan garwood","elijah sather, josh wozniak",21,18,Pool Play,psr2023,Advanced
Brace Yourself,Athletic Weapons,"skylar shibayama, tory white","callan underwood, sam clarke",21,15,Pool Play,psr2023,Advanced
Jam to Win,HRC Towers,"dallin james, nolan wynkoop","jensen elsemore, will melhorn",21,16,Pool Play,psr2023,Advanced
Tostitos,A little Ahn the Small side,"anthony clifford, xande plaisted","jason small, richard ahn",21,11,Pool Play,psr2023,Advanced
Collins/Coballes,Yeetdtrash,"ben collins, joshua coballes","alec sisaiyaket, ethan gould",21,14,Pool Play,psr2023,Advanced
Chalex,Asian invasion,"alex chen, charlie craemer","ralen kovara, zegna picano",21,19,Pool Play,psr2023,Advanced
