Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Catalyst Storm,Astral Fusion,"dallin james, trevor buchan","josh wozniak, pavan narahari",15,12,Pool Play,psrhat23,Expert
Peng's Chucho Challengers,Chromatic Echo,"hernestor ramirez diaz, lucas peng","bryce jacobsen, elijah sather",15,13,Pool Play,psrhat23,Expert
Catalyst Storm,Illusionary Flow,"dallin james, trevor buchan","angelo ibarrola, jason small",12,15,Pool Play,psrhat23,Expert
Chromatic Echo,Celestial Symmetry,"bryce jacobsen, elijah sather","garrett peterson, gurvansh singh",15,10,Pool Play,psrhat23,Expert
Catalyst Storm,Peng's Chucho Challengers,"dallin james, trevor buchan","hernestor ramirez diaz, lucas peng",15,13,Pool Play,psrhat23,Expert
Illusionary Flow,Astral Fusion,"angelo ibarrola, jason small","josh wozniak, pavan narahari",15,10,Pool Play,psrhat23,Expert
Catalyst Storm,Celestial Symmetry,"dallin james, trevor buchan","garrett peterson, gurvansh singh",20,18,Pool Play,psrhat23,Expert
Peng's Chucho Challengers,Astral Fusion,"hernestor ramirez diaz, lucas peng","josh wozniak, pavan narahari",13,15,Pool Play,psrhat23,Expert
Catalyst Storm,Chromatic Echo,"dallin james, trevor buchan","bryce jacobsen, elijah sather",12,15,Pool Play,psrhat23,Expert
Peng's Chucho Challengers,Illusionary Flow,"hernestor ramirez diaz, lucas peng","angelo ibarrola, jason small",13,15,Pool Play,psrhat23,Expert
Astral Fusion,Celestial Symmetry,"josh wozniak, pavan narahari","garrett peterson, gurvansh singh",13,15,Pool Play,psrhat23,Expert
Illusionary Flow,Celestial Symmetry,"angelo ibarrola, jason small","garrett peterson, gurvansh singh",15,8,Pool Play,psrhat23,Expert
Chromatic Echo,Astral Fusion,"bryce jacobsen, elijah sather","josh wozniak, pavan narahari",15,11,Pool Play,psrhat23,Expert
Peng's Chucho Challengers,Celestial Symmetry,"hernestor ramirez diaz, lucas peng","garrett peterson, gurvansh singh",15,10,Pool Play,psrhat23,Expert
Illusionary Flow,Chromatic Echo,"angelo ibarrola, jason small","bryce jacobsen, elijah sather",13,15,Pool Play,psrhat23,Expert
Equinox Fusion,Kaleidoscope Nexus,"joel yang, juan moscoso","ben cahill, chau nguyen",15,8,Pool Play,psrhat23,Advanced/Intermediate
Quasar Thunder,Van Wall Smashers,"griffin righi, jonathan beatima","leah van loen, sam wallach hanson",15,8,Pool Play,psrhat23,Advanced/Intermediate
Ethereal Momentum,Marvelous Mousigians: Therrin Samsters,"andy cahill, ethan kwok","1 more, sam mousigian, sam mousigian",15,7,Pool Play,psrhat23,Advanced/Intermediate
Synchronic Surge,Marshall Beatdown,"adam hazeres, amit kumar","david beatima, jacob marshall",15,13,Pool Play,psrhat23,Advanced/Intermediate
Equinox Fusion,Van Wall Smashers,"joel yang, juan moscoso","leah van loen, sam wallach hanson",12,15,Pool Play,psrhat23,Advanced/Intermediate
Quasar Thunder,Marshall Beatdown,"griffin righi, jonathan beatima","david beatima, jacob marshall",9,15,Pool Play,psrhat23,Advanced/Intermediate
