Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Da Big Boys,Set Theory,"blake bosak, malachi espinola","jordan freitas, josh wozniak",21,8,Pool Play,spikeforacause,Advanced
Bubbles,PK Thunder,"paq clifford, zack duffy","carlin vicera, lucas peng",21,15,Pool Play,spikeforacause,Advanced
Wesburn,Definitely High,"eddy leung, ivan zeng","davis jung, jake babbitt",21,15,Pool Play,spikeforacause,Advanced
Stay Hard!!!,I’m just here,"joey carmichael, sam clarke","andrew yager, matthew yager",19,21,Pool Play,spikeforacause,Advanced
Ball & Chain Gang,Go easy on us,"dallin james, zachary brant","hernestor ramirez diaz, victor tu",21,13,Pool Play,spikeforacause,Advanced
"Wow, but like Owen Wilson",PSR Emerald Wave,"keegan cox, ryan armstrong","bryce jacobsen, sougat pradhan",21,15,Pool Play,spikeforacause,Advanced
OG Blinggo Boys,We Are,"adam randall, alex osler","chinmay pendse, ken grenestedt",21,5,Pool Play,spikeforacause,Advanced
Bag of Beans,Be Nice or Else,"hailee bennett, jason small","jensen elsemore, max nice",25,24,Pool Play,spikeforacause,Advanced
Just here for a good time,The Great Spike,"brandon wright, garrett peterson","evan cox, liam keohane",21,18,Pool Play,spikeforacause,Advanced
@ss,Whiffed It,"bethany dinh, joseph kaylor","amanda wang, erick osthiemer",21,14,Pool Play,spikeforacause,Advanced
Faded,Roundnet AI,"arthur troncoso, trevor buchan","alec sisaiyaket, austin ulfers",21,9,Pool Play,spikeforacause,Advanced
Boom Boys,Tricky Blicky,"john o'neal, logan garwood","luis brito, tory white",21,12,Pool Play,spikeforacause,Advanced
Da Big Boys,PK Thunder,"blake bosak, malachi espinola","carlin vicera, lucas peng",21,17,Pool Play,spikeforacause,Advanced
Bubbles,Wesburn,"paq clifford, zack duffy","eddy leung, ivan zeng",20,22,Pool Play,spikeforacause,Advanced
Definitely High,Set Theory,"davis jung, jake babbitt","jordan freitas, josh wozniak",19,21,Pool Play,spikeforacause,Advanced
Stay Hard!!!,Go easy on us,"joey carmichael, sam clarke","hernestor ramirez diaz, victor tu",21,16,Pool Play,spikeforacause,Advanced
Ball & Chain Gang,Sather/Nataraj,"dallin james, zachary brant","elijah sather, kishor natarajan",19,21,Pool Play,spikeforacause,Advanced
PSR Emerald Wave,I’m just here,"bryce jacobsen, sougat pradhan","andrew yager, matthew yager",25,23,Pool Play,spikeforacause,Advanced
OG Blinggo Boys,Be Nice or Else,"adam randall, alex osler","jensen elsemore, max nice",22,20,Pool Play,spikeforacause,Advanced
Bag of Beans,Just here for a good time,"hailee bennett, jason small","brandon wright, garrett peterson",21,14,Pool Play,spikeforacause,Advanced
The Great Spike,We Are,"evan cox, liam keohane","chinmay pendse, ken grenestedt",21,16,Pool Play,spikeforacause,Advanced
@ss,Roundnet AI,"bethany dinh, joseph kaylor","alec sisaiyaket, austin ulfers",21,10,Pool Play,spikeforacause,Advanced
Faded,Boom Boys,"arthur troncoso, trevor buchan","john o'neal, logan garwood",15,21,Pool Play,spikeforacause,Advanced
Tricky Blicky,Whiffed It,"luis brito, tory white","amanda wang, erick osthiemer",21,15,Pool Play,spikeforacause,Advanced
Da Big Boys,Definitely High,"blake bosak, malachi espinola","davis jung, jake babbitt",21,16,Pool Play,spikeforacause,Advanced
Bubbles,Set Theory,"paq clifford, zack duffy","jordan freitas, josh wozniak",21,19,Pool Play,spikeforacause,Advanced
Wesburn,PK Thunder,"eddy leung, ivan zeng","carlin vicera, lucas peng",22,20,Pool Play,spikeforacause,Advanced
Stay Hard!!!,PSR Emerald Wave,"joey carmichael, sam clarke","bryce jacobsen, sougat pradhan",21,14,Pool Play,spikeforacause,Advanced
Ball & Chain Gang,"Wow, but like Owen Wilson","dallin james, zachary brant","keegan cox, ryan armstrong",21,15,Pool Play,spikeforacause,Advanced
Sather/Nataraj,Go easy on us,"elijah sather, kishor natarajan","hernestor ramirez diaz, victor tu",18,21,Pool Play,spikeforacause,Advanced
OG Blinggo Boys,The Great Spike,"adam randall, alex osler","evan cox, liam keohane",21,16,Pool Play,spikeforacause,Advanced
Bag of Beans,We Are,"hailee bennett, jason small","chinmay pendse, ken grenestedt",21,11,Pool Play,spikeforacause,Advanced
Just here for a good time,Be Nice or Else,"brandon wright, garrett peterson","jensen elsemore, max nice",21,19,Pool Play,spikeforacause,Advanced
@ss,Tricky Blicky,"bethany dinh, joseph kaylor","luis brito, tory white",22,20,Pool Play,spikeforacause,Advanced
Faded,Whiffed It,"arthur troncoso, trevor buchan","amanda wang, erick osthiemer",21,23,Pool Play,spikeforacause,Advanced
Boom Boys,Roundnet AI,"john o'neal, logan garwood","alec sisaiyaket, austin ulfers",21,19,Pool Play,spikeforacause,Advanced
Da Big Boys,Wesburn,"blake bosak, malachi espinola","eddy leung, ivan zeng",21,19,Pool Play,spikeforacause,Advanced
