Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
CRO rimmer season,SWAT Team,"nicholas puopolo, tyler babin","jack robinson, jordan martin",15,2,Pool Play,rotc-london,Challenger
🅱️RO Colin too heavy,NEM Rivals,"kyle jeung, brandon farronato","brendan muggeridge, jesse paul",15,13,Pool Play,rotc-london,Challenger
Milk Men,FCR Mesh Finders,"brendan reesor, derek soetemans","isaiah bergsma, nethaniel gabriel",15,9,Pool Play,rotc-london,Challenger
Defected,Los Kid Cutty,"calyn kir, reilly paquette","luis serrano, ricardo boscan",15,3,Pool Play,rotc-london,Challenger
Sum(m)er Tim(e),CRO Summer School,"tim clifford, sumer dass","adrian garcea, gavin de moura",9,15,Pool Play,rotc-london,Challenger
CRO wide ang/goh,FREE SMOKE,"jared ang, nathan goh","gorgin fazli, josh sarmiento",15,13,Pool Play,rotc-london,Challenger
CRO Bombs Away!,Balls Up,"anthony cho, shane soto","cody ravindran, siddhartha datta",15,11,Pool Play,rotc-london,Challenger
CRO save the fishies,Ang/Cheung,"eric reinke, shakil nobes","joshua ang, tim cheung",15,6,Pool Play,rotc-london,Challenger
Flick Merchants,FCR Left-overs,"adam hassan, c.j. sison","chris loubert, mo elmoursi",15,10,Pool Play,rotc-london,Challenger
Nem Meticulous,FCR Mesh Avoiders,"ben pernfuss, brock .roundnet","gabriel contursi, jake choi",15,7,Pool Play,rotc-london,Challenger
CRO Indi Partners,Till We Spike Again,"austin ha, joshua hachey","aaron charette, trevor fleming",15,12,Pool Play,rotc-london,Challenger
PB & J,FCR 808 Chicken House,"bryan fonseca, peter lam","eric pierce, jordan arnott",15,11,Pool Play,rotc-london,Challenger
CRO rimmer season,NEM Rivals,"nicholas puopolo, tyler babin","brendan muggeridge, jesse paul",15,8,Pool Play,rotc-london,Challenger
🅱️RO Colin too heavy,Milk Men,"kyle jeung, brandon farronato","brendan reesor, derek soetemans",13,15,Pool Play,rotc-london,Challenger
FCR Mesh Finders,SWAT Team,"isaiah bergsma, nethaniel gabriel","jack robinson, jordan martin",15,2,Pool Play,rotc-london,Challenger
Defected,CRO Summer School,"calyn kir, reilly paquette","adrian garcea, gavin de moura",15,11,Pool Play,rotc-london,Challenger
Sum(m)er Tim(e),CRO wide ang/goh,"tim clifford, sumer dass","jared ang, nathan goh",13,15,Pool Play,rotc-london,Challenger
FREE SMOKE,Los Kid Cutty,"gorgin fazli, josh sarmiento","luis serrano, ricardo boscan",15,6,Pool Play,rotc-london,Challenger
CRO Bombs Away!,Ang/Cheung,"anthony cho, shane soto","joshua ang, tim cheung",15,6,Pool Play,rotc-london,Challenger
CRO save the fishies,Flick Merchants,"eric reinke, shakil nobes","adam hassan, c.j. sison",15,10,Pool Play,rotc-london,Challenger
FCR Left-overs,Balls Up,"chris loubert, mo elmoursi","cody ravindran, siddhartha datta",15,9,Pool Play,rotc-london,Challenger
Nem Meticulous,Till We Spike Again,"ben pernfuss, brock .roundnet","aaron charette, trevor fleming",15,11,Pool Play,rotc-london,Challenger
CRO Indi Partners,PB & J,"austin ha, joshua hachey","bryan fonseca, peter lam",15,11,Pool Play,rotc-london,Challenger
FCR 808 Chicken House,FCR Mesh Avoiders,"eric pierce, jordan arnott","gabriel contursi, jake choi",15,8,Pool Play,rotc-london,Challenger
CRO rimmer season,FCR Mesh Finders,"nicholas puopolo, tyler babin","isaiah bergsma, nethaniel gabriel",15,11,Pool Play,rotc-london,Challenger
🅱️RO Colin too heavy,SWAT Team,"kyle jeung, brandon farronato","jack robinson, jordan martin",15,6,Pool Play,rotc-london,Challenger
Milk Men,NEM Rivals,"brendan reesor, derek soetemans","brendan muggeridge, jesse paul",15,10,Pool Play,rotc-london,Challenger
Defected,FREE SMOKE,"calyn kir, reilly paquette","gorgin fazli, josh sarmiento",15,12,Pool Play,rotc-london,Challenger
Sum(m)er Tim(e),Los Kid Cutty,"tim clifford, sumer dass","luis serrano, ricardo boscan",15,5,Pool Play,rotc-london,Challenger
CRO wide ang/goh,CRO Summer School,"jared ang, nathan goh","adrian garcea, gavin de moura",15,7,Pool Play,rotc-london,Challenger
CRO Bombs Away!,FCR Left-overs,"anthony cho, shane soto","chris loubert, mo elmoursi",15,11,Pool Play,rotc-london,Challenger
CRO save the fishies,Balls Up,"eric reinke, shakil nobes","cody ravindran, siddhartha datta",15,6,Pool Play,rotc-london,Challenger
Flick Merchants,Ang/Cheung,"adam hassan, c.j. sison","joshua ang, tim cheung",15,12,Pool Play,rotc-london,Challenger
Nem Meticulous,FCR 808 Chicken House,"ben pernfuss, brock .roundnet","eric pierce, jordan arnott",15,5,Pool Play,rotc-london,Challenger
CRO Indi Partners,FCR Mesh Avoiders,"austin ha, joshua hachey","gabriel contursi, jake choi",15,5,Pool Play,rotc-london,Challenger
PB & J,Till We Spike Again,"bryan fonseca, peter lam","aaron charette, trevor fleming",15,12,Pool Play,rotc-london,Challenger
CRO rimmer season,Milk Men,"nicholas puopolo, tyler babin","brendan reesor, derek soetemans",15,13,Pool Play,rotc-london,Challenger
🅱️RO Colin too heavy,FCR Mesh Finders,"kyle jeung, brandon farronato","isaiah bergsma, nethaniel gabriel",12,15,Pool Play,rotc-london,Challenger
NEM Rivals,SWAT Team,"brendan muggeridge, jesse paul","jack robinson, jordan martin",15,8,Pool Play,rotc-london,Challenger
Defected,CRO wide ang/goh,"calyn kir, reilly paquette","jared ang, nathan goh",15,8,Pool Play,rotc-london,Challenger
Sum(m)er Tim(e),FREE SMOKE,"tim clifford, sumer dass","gorgin fazli, josh sarmiento",15,13,Pool Play,rotc-london,Challenger
CRO Summer School,Los Kid Cutty,"adrian garcea, gavin de moura","luis serrano, ricardo boscan",13,15,Pool Play,rotc-london,Challenger
CRO Bombs Away!,Flick Merchants,"anthony cho, shane soto","adam hassan, c.j. sison",15,11,Pool Play,rotc-london,Challenger
CRO save the fishies,FCR Left-overs,"eric reinke, shakil nobes","chris loubert, mo elmoursi",16,14,Pool Play,rotc-london,Challenger
Ang/Cheung,Balls Up,"joshua ang, tim cheung","cody ravindran, siddhartha datta",15,13,Pool Play,rotc-london,Challenger
Nem Meticulous,PB & J,"ben pernfuss, brock .roundnet","bryan fonseca, peter lam",15,12,Pool Play,rotc-london,Challenger
CRO Indi Partners,FCR 808 Chicken House,"austin ha, joshua hachey","eric pierce, jordan arnott",15,7,Pool Play,rotc-london,Challenger
Till We Spike Again,FCR Mesh Avoiders,"aaron charette, trevor fleming","gabriel contursi, jake choi",15,9,Pool Play,rotc-london,Challenger
CRO rimmer season,🅱️RO Colin too heavy,"nicholas puopolo, tyler babin","kyle jeung, brandon farronato",15,9,Pool Play,rotc-london,Challenger
Milk Men,SWAT Team,"brendan reesor, derek soetemans","jack robinson, jordan martin",15,10,Pool Play,rotc-london,Challenger
FCR Mesh Finders,NEM Rivals,"isaiah bergsma, nethaniel gabriel","brendan muggeridge, jesse paul",15,11,Pool Play,rotc-london,Challenger
Defected,Sum(m)er Tim(e),"calyn kir, reilly paquette","tim clifford, sumer dass",11,15,Pool Play,rotc-london,Challenger
CRO wide ang/goh,Los Kid Cutty,"jared ang, nathan goh","luis serrano, ricardo boscan",15,8,Pool Play,rotc-london,Challenger
FREE SMOKE,CRO Summer School,"gorgin fazli, josh sarmiento","adrian garcea, gavin de moura",7,15,Pool Play,rotc-london,Challenger
CRO Bombs Away!,CRO save the fishies,"anthony cho, shane soto","eric reinke, shakil nobes",15,13,Pool Play,rotc-london,Challenger
Flick Merchants,Balls Up,"adam hassan, c.j. sison","cody ravindran, siddhartha datta",15,13,Pool Play,rotc-london,Challenger
FCR Left-overs,Ang/Cheung,"chris loubert, mo elmoursi","joshua ang, tim cheung",16,14,Pool Play,rotc-london,Challenger
Nem Meticulous,CRO Indi Partners,"ben pernfuss, brock .roundnet","austin ha, joshua hachey",15,12,Pool Play,rotc-london,Challenger
PB & J,FCR Mesh Avoiders,"bryan fonseca, peter lam","gabriel contursi, jake choi",15,11,Pool Play,rotc-london,Challenger
FCR 808 Chicken House,Till We Spike Again,"eric pierce, jordan arnott","aaron charette, trevor fleming",12,15,Pool Play,rotc-london,Challenger
Jazzy Bluebs,tbd,"dianne fonseca, shonda couroux","erica vanbesien, julia trocchi",15,4,Pool Play,rotc-london,Women's
Yang YANG!!!,CRO clean freaks,"rosemay diaz, sophia yu","anicea saliba, jessica roman",15,5,Pool Play,rotc-london,Women's
The Manatees,Hit or Miss,"emma robertson, katie robertson","leah st clair, lois radu",15,10,Pool Play,rotc-london,Women's
