Player 1,Player 2,Team Name,Division,Tournament
joshua ang,tim cheung,Ang/Cheung,Challenger,rotc-london
cody ravindran,siddhartha datta,Balls Up,Challenger,rotc-london
anthony cho,shane soto,CRO Bombs Away!,Challenger,rotc-london
austin ha,joshua hachey,CRO Indi Partners,Challenger,rotc-london
nicholas puopolo,tyler babin,CRO rimmer season,Challenger,rotc-london
eric reinke,shakil nobes,CRO save the fishies,Challenger,rotc-london
adrian garcea,gavin de moura,CRO Summer School,Challenger,rotc-london
jared ang,nathan goh,CRO wide ang/goh,Challenger,rotc-london
calyn kir,reilly paquette,Defected,Challenger,rotc-london
eric pierce,jordan arnott,FCR 808 Chicken House,Challenger,rotc-london
chris loubert,mo elmoursi,FCR Left-overs,Challenger,rotc-london
gabriel contursi,jake choi,FCR Mesh Avoiders,Challenger,rotc-london
isaiah bergsma,nethaniel gabriel,FCR Mesh Finders,Challenger,rotc-london
adam hassan,c.j. sison,Flick Merchants,Challenger,rotc-london
gorgin fazli,josh sarmiento,FREE SMOKE,Challenger,rotc-london
luis serrano,ricardo boscan,Los Kid Cutty,Challenger,rotc-london
brendan reesor,derek soetemans,Milk Men,Challenger,rotc-london
ben pernfuss,brock .roundnet,Nem Meticulous,Challenger,rotc-london
brendan muggeridge,jesse paul,NEM Rivals,Challenger,rotc-london
bryan fonseca,peter lam,PB & J,Challenger,rotc-london
tim clifford,sumer dass,Sum(m)er Tim(e),Challenger,rotc-london
jack robinson,jordan martin,SWAT Team,Challenger,rotc-london
aaron charette,trevor fleming,Till We Spike Again,Challenger,rotc-london
kyle jeung,brandon farronato,🅱️RO Colin too heavy,Challenger,rotc-london
rachel cheung,ruby tang,Banana and Egg,Women's,rotc-london
anicea saliba,jessica roman,CRO clean freaks,Women's,rotc-london
leah st clair,lois radu,Hit or Miss,Women's,rotc-london
naomi campbell,sylvia dean,I love spikeball!,Women's,rotc-london
dianne fonseca,shonda couroux,Jazzy Bluebs,Women's,rotc-london
erica vanbesien,julia trocchi,tbd,Women's,rotc-london
emma robertson,katie robertson,The Manatees,Women's,rotc-london
rosemay diaz,sophia yu,Yang YANG!!!,Women's,rotc-london
ita brown,josh jesin,Bad News SPIKES,Advanced,rotc-london
evan krikorian,nicholas de martin,Bleary Villagers,Advanced,rotc-london
matthew takemura,wayne santa ana,Double Fault Demons,Advanced,rotc-london
brian quach,guidzag kassabian,Hit on 2,Advanced,rotc-london
christopher de martin,matthew krikorian,Quality Control,Advanced,rotc-london
alex marko,nathan mackay,Spankballs,Advanced,rotc-london
taofiq aziz,udall mo,Spike-a-delic,Advanced,rotc-london
ben huebner,owen fretz,Team Reach,Advanced,rotc-london
ben cylka,jaxen wierenga,The Assassins,Advanced,rotc-london
richard lam,tim yip,The Yips,Advanced,rotc-london
adam d'angelo,craig baggio,Wow.,Advanced,rotc-london
andromeda dean,ezra campanelli,WRC 🤝 WRC,Advanced,rotc-london
james st clair,jeffrey martinovic,FCR What's Cookin?,Intermediate,rotc-london
callum paterson,michael rosales,Flying Hands,Intermediate,rotc-london
jason vuong,miguel ruiz,Front Street Boyz,Intermediate,rotc-london
josh goud,keltie talbot,Full sends only,Intermediate,rotc-london
jewel jamieson,tim magwood,Jim,Intermediate,rotc-london
adam gaunt,kaleigh shantz,Net Gains,Intermediate,rotc-london
kieran mehta,dylan concessao,SpikeLoo,Intermediate,rotc-london
esmond tse,jacob tam,Swinger Bringers,Intermediate,rotc-london
emy niemiec,maxwell mudie,The Weewoos,Intermediate,rotc-london
andrew sykes,gray sinden,Top 1 Percent,Intermediate,rotc-london
