Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
CRO Fieldhousers,Magic touch,"ben pernfuss, nicholas puopolo","jordan noble, peter riegle",21,8,Pool Play,rotcdurham,Challenger
Milk Men,Ooze,"brendan reesor, derek soetemans","andrew pendenza, anthony addorisio",21,14,Pool Play,rotcdurham,Challenger
CRO nonp.,FURY: REVENGE TOUR 😈,"austin ha, eric reinke","andrew collard, jesse paul",21,10,Pool Play,rotcdurham,Challenger
TJ’s Bar and Grill,NEM Plutonium,"jared ang, tyler kitzul","brendan muggeridge, brock .roundnet",21,17,Pool Play,rotcdurham,Challenger
Team Dryden,FREE SMOKE,"gavin de moura, michael murray","gorgin fazli, josh sarmiento",18,21,Pool Play,rotcdurham,Challenger
Yin&yang,Trillium's Terrors,"brandon farronato, colin tolentino","david reyes, john lape",21,7,Pool Play,rotcdurham,Challenger
CRO Jungle Juice,NEM Tenacity,"kyle jeung, nathan goh","joshua ang, judah thrall",21,16,Pool Play,rotcdurham,Challenger
FCR BHAD Boys,Short + Sweet,"joey renaud, nethaniel gabriel","malachi albrecht, steven balamut",21,19,Pool Play,rotcdurham,Challenger
CRO Pocket Aces,CRO No Ore,"adrian garcea, anthony cho","ben lienhard, vibhor dua",21,17,Pool Play,rotcdurham,Challenger
Boomballinn,FCR Bologna Serves,"peter lam, shane soto","jordan arnott, connor guinness",21,11,Pool Play,rotcdurham,Challenger
CRO Fieldhousers,Ooze,"ben pernfuss, nicholas puopolo","andrew pendenza, anthony addorisio",21,6,Pool Play,rotcdurham,Challenger
Flick Merchants,Magic touch,"adam hassan, c.j. sison","jordan noble, peter riegle",21,8,Pool Play,rotcdurham,Challenger
CRO nonp.,NEM Plutonium,"austin ha, eric reinke","brendan muggeridge, brock .roundnet",21,17,Pool Play,rotcdurham,Challenger
TJ’s Bar and Grill,Team Dryden,"jared ang, tyler kitzul","gavin de moura, michael murray",21,19,Pool Play,rotcdurham,Challenger
FREE SMOKE,FURY: REVENGE TOUR 😈,"gorgin fazli, josh sarmiento","andrew collard, jesse paul",21,13,Pool Play,rotcdurham,Challenger
Yin&yang,NEM Tenacity,"brandon farronato, colin tolentino","joshua ang, judah thrall",21,14,Pool Play,rotcdurham,Challenger
CRO Jungle Juice,FCR BHAD Boys,"kyle jeung, nathan goh","joey renaud, nethaniel gabriel",20,22,Pool Play,rotcdurham,Challenger
Short + Sweet,Trillium's Terrors,"malachi albrecht, steven balamut","david reyes, john lape",21,18,Pool Play,rotcdurham,Challenger
CRO Pocket Aces,FCR Bologna Serves,"adrian garcea, anthony cho","jordan arnott, connor guinness",18,21,Pool Play,rotcdurham,Challenger
W'S ONLY,CRO No Ore,"conrad wagler, jaden weber","ben lienhard, vibhor dua",21,17,Pool Play,rotcdurham,Challenger
CRO Fieldhousers,Flick Merchants,"ben pernfuss, nicholas puopolo","adam hassan, c.j. sison",21,15,Pool Play,rotcdurham,Challenger
Milk Men,Magic touch,"brendan reesor, derek soetemans","jordan noble, peter riegle",21,16,Pool Play,rotcdurham,Challenger
CRO nonp.,FREE SMOKE,"austin ha, eric reinke","gorgin fazli, josh sarmiento",24,22,Pool Play,rotcdurham,Challenger
TJ’s Bar and Grill,FURY: REVENGE TOUR 😈,"jared ang, tyler kitzul","andrew collard, jesse paul",21,18,Pool Play,rotcdurham,Challenger
Team Dryden,NEM Plutonium,"gavin de moura, michael murray","brendan muggeridge, brock .roundnet",16,21,Pool Play,rotcdurham,Challenger
Yin&yang,Short + Sweet,"brandon farronato, colin tolentino","malachi albrecht, steven balamut",22,24,Pool Play,rotcdurham,Challenger
CRO Jungle Juice,Trillium's Terrors,"kyle jeung, nathan goh","david reyes, john lape",21,16,Pool Play,rotcdurham,Challenger
FCR BHAD Boys,NEM Tenacity,"joey renaud, nethaniel gabriel","joshua ang, judah thrall",21,10,Pool Play,rotcdurham,Challenger
CRO Pocket Aces,W'S ONLY,"adrian garcea, anthony cho","conrad wagler, jaden weber",21,15,Pool Play,rotcdurham,Challenger
Boomballinn,CRO No Ore,"peter lam, shane soto","ben lienhard, vibhor dua",21,9,Pool Play,rotcdurham,Challenger
Milk Men,Flick Merchants,"brendan reesor, derek soetemans","adam hassan, c.j. sison",17,21,Pool Play,rotcdurham,Challenger
Ooze,Magic touch,"andrew pendenza, anthony addorisio","jordan noble, peter riegle",20,22,Pool Play,rotcdurham,Challenger
CRO nonp.,Team Dryden,"austin ha, eric reinke","gavin de moura, michael murray",21,11,Pool Play,rotcdurham,Challenger
TJ’s Bar and Grill,FREE SMOKE,"jared ang, tyler kitzul","gorgin fazli, josh sarmiento",21,18,Pool Play,rotcdurham,Challenger
NEM Plutonium,FURY: REVENGE TOUR 😈,"brendan muggeridge, brock .roundnet","andrew collard, jesse paul",21,17,Pool Play,rotcdurham,Challenger
Yin&yang,FCR BHAD Boys,"brandon farronato, colin tolentino","joey renaud, nethaniel gabriel",21,14,Pool Play,rotcdurham,Challenger
CRO Jungle Juice,Short + Sweet,"kyle jeung, nathan goh","malachi albrecht, steven balamut",21,14,Pool Play,rotcdurham,Challenger
NEM Tenacity,Trillium's Terrors,"joshua ang, judah thrall","david reyes, john lape",16,21,Pool Play,rotcdurham,Challenger
Boomballinn,W'S ONLY,"peter lam, shane soto","conrad wagler, jaden weber",17,21,Pool Play,rotcdurham,Challenger
FCR Bologna Serves,CRO No Ore,"jordan arnott, connor guinness","ben lienhard, vibhor dua",21,15,Pool Play,rotcdurham,Challenger
CRO Fieldhousers,Milk Men,"ben pernfuss, nicholas puopolo","brendan reesor, derek soetemans",21,13,Pool Play,rotcdurham,Challenger
Flick Merchants,Ooze,"adam hassan, c.j. sison","andrew pendenza, anthony addorisio",21,16,Pool Play,rotcdurham,Challenger
CRO nonp.,TJ’s Bar and Grill,"austin ha, eric reinke","jared ang, tyler kitzul",21,19,Pool Play,rotcdurham,Challenger
Team Dryden,FURY: REVENGE TOUR 😈,"gavin de moura, michael murray","andrew collard, jesse paul",21,15,Pool Play,rotcdurham,Challenger
FREE SMOKE,NEM Plutonium,"gorgin fazli, josh sarmiento","brendan muggeridge, brock .roundnet",24,22,Pool Play,rotcdurham,Challenger
Yin&yang,CRO Jungle Juice,"brandon farronato, colin tolentino","kyle jeung, nathan goh",18,21,Pool Play,rotcdurham,Challenger
FCR BHAD Boys,Trillium's Terrors,"joey renaud, nethaniel gabriel","david reyes, john lape",21,14,Pool Play,rotcdurham,Challenger
Short + Sweet,NEM Tenacity,"malachi albrecht, steven balamut","joshua ang, judah thrall",21,15,Pool Play,rotcdurham,Challenger
CRO Pocket Aces,Boomballinn,"adrian garcea, anthony cho","peter lam, shane soto",21,16,Pool Play,rotcdurham,Challenger
W'S ONLY,FCR Bologna Serves,"conrad wagler, jaden weber","jordan arnott, connor guinness",21,12,Pool Play,rotcdurham,Challenger
OwO („ᵕᴗᵕ„),Wet Water,"brian quach, jake choi","rhett cleverdon, ronan waller",21,8,Pool Play,rotcdurham,Advanced/Intermediate
uwu ᕦ( ˘ᴗ˘ )ᕤ,Scholastic Thomists,"anna yu, sophia yu","david de martin, luka granic",21,3,Pool Play,rotcdurham,Advanced/Intermediate
Sarah and Wyatt,Bleary Villagers,"sarah waltham, wyatt demoura","evan krikorian, nicholas de martin",12,21,Pool Play,rotcdurham,Advanced/Intermediate
