Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Sensei & his grasshopper,Exponentially Average,"chris brown, peter lam","john lape, joshua ang",21,8,Pool Play,rotcyork,Challenger
Trippy Bois,surprise!,"c.j. sison, brandon farronato","gavin de moura, nicholas puopolo",21,18,Pool Play,rotcyork,Challenger
The DAWGS,FCR ICEBERGS,"colin tolentino, joshua hachey","isaiah bergsma, nelson bergsma",21,12,Pool Play,rotcyork,Challenger
CRO Jungle Juice,GDM Early Investors,"kyle jeung, nathan goh","adrian garcea, dylan mark",21,15,Pool Play,rotcyork,Challenger
Full Swing,FCR Bologna Serves,"shane soto, tim clifford","jordan arnott, connor guinness",21,15,Pool Play,rotcyork,Challenger
Milk Men,im the biggest bird 🦅,"brendan reesor, derek soetemans","gorgin fazli, leonardo tullo",17,21,Pool Play,rotcyork,Challenger
BRO Big Dawgs,Stinky Hinder 💩💨😵,"adam hassan, jared ang","chris loubert, pierre-andré gaumond",24,22,Pool Play,rotcyork,Challenger
Tripod Hinder,W's Only,"joey renaud, jordan brandes","conrad wagler, jaden weber",21,16,Pool Play,rotcyork,Challenger
Sensei & his grasshopper,surprise!,"chris brown, peter lam","gavin de moura, nicholas puopolo",21,18,Pool Play,rotcyork,Challenger
Trippy Bois,Exponentially Average,"c.j. sison, brandon farronato","john lape, joshua ang",21,15,Pool Play,rotcyork,Challenger
The DAWGS,GDM Early Investors,"colin tolentino, joshua hachey","adrian garcea, dylan mark",21,17,Pool Play,rotcyork,Challenger
CRO Jungle Juice,FCR ICEBERGS,"kyle jeung, nathan goh","isaiah bergsma, nelson bergsma",21,16,Pool Play,rotcyork,Challenger
Full Swing,im the biggest bird 🦅,"shane soto, tim clifford","gorgin fazli, leonardo tullo",21,12,Pool Play,rotcyork,Challenger
Milk Men,FCR Bologna Serves,"brendan reesor, derek soetemans","jordan arnott, connor guinness",21,19,Pool Play,rotcyork,Challenger
BRO Big Dawgs,W's Only,"adam hassan, jared ang","conrad wagler, jaden weber",25,24,Pool Play,rotcyork,Challenger
Tripod Hinder,Stinky Hinder 💩💨😵,"joey renaud, jordan brandes","chris loubert, pierre-andré gaumond",21,18,Pool Play,rotcyork,Challenger
Sensei & his grasshopper,Trippy Bois,"chris brown, peter lam","c.j. sison, brandon farronato",21,12,Pool Play,rotcyork,Challenger
surprise!,Exponentially Average,"gavin de moura, nicholas puopolo","john lape, joshua ang",25,24,Pool Play,rotcyork,Challenger
The DAWGS,CRO Jungle Juice,"colin tolentino, joshua hachey","kyle jeung, nathan goh",21,16,Pool Play,rotcyork,Challenger
GDM Early Investors,FCR ICEBERGS,"adrian garcea, dylan mark","isaiah bergsma, nelson bergsma",21,12,Pool Play,rotcyork,Challenger
Full Swing,Milk Men,"shane soto, tim clifford","brendan reesor, derek soetemans",25,23,Pool Play,rotcyork,Challenger
im the biggest bird 🦅,FCR Bologna Serves,"gorgin fazli, leonardo tullo","jordan arnott, connor guinness",21,13,Pool Play,rotcyork,Challenger
BRO Big Dawgs,Tripod Hinder,"adam hassan, jared ang","joey renaud, jordan brandes",21,18,Pool Play,rotcyork,Challenger
W's Only,Stinky Hinder 💩💨😵,"conrad wagler, jaden weber","chris loubert, pierre-andré gaumond",25,24,Pool Play,rotcyork,Challenger
Sensei & his grasshopper,Exponentially Average,"chris brown, peter lam","john lape, joshua ang",21,6,Pool Play,rotcyork,Challenger
Trippy Bois,surprise!,"c.j. sison, brandon farronato","gavin de moura, nicholas puopolo",18,21,Pool Play,rotcyork,Challenger
The DAWGS,FCR ICEBERGS,"colin tolentino, joshua hachey","isaiah bergsma, nelson bergsma",21,14,Pool Play,rotcyork,Challenger
CRO Jungle Juice,GDM Early Investors,"kyle jeung, nathan goh","adrian garcea, dylan mark",21,18,Pool Play,rotcyork,Challenger
Full Swing,FCR Bologna Serves,"shane soto, tim clifford","jordan arnott, connor guinness",21,11,Pool Play,rotcyork,Challenger
Milk Men,im the biggest bird 🦅,"brendan reesor, derek soetemans","gorgin fazli, leonardo tullo",17,21,Pool Play,rotcyork,Challenger
BRO Big Dawgs,Stinky Hinder 💩💨😵,"adam hassan, jared ang","chris loubert, pierre-andré gaumond",21,16,Pool Play,rotcyork,Challenger
Tripod Hinder,W's Only,"joey renaud, jordan brandes","conrad wagler, jaden weber",19,21,Pool Play,rotcyork,Challenger
Sensei & his grasshopper,surprise!,"chris brown, peter lam","gavin de moura, nicholas puopolo",21,11,Pool Play,rotcyork,Challenger
Trippy Bois,Exponentially Average,"c.j. sison, brandon farronato","john lape, joshua ang",21,18,Pool Play,rotcyork,Challenger
The DAWGS,GDM Early Investors,"colin tolentino, joshua hachey","adrian garcea, dylan mark",21,12,Pool Play,rotcyork,Challenger
CRO Jungle Juice,FCR ICEBERGS,"kyle jeung, nathan goh","isaiah bergsma, nelson bergsma",12,21,Pool Play,rotcyork,Challenger
Full Swing,im the biggest bird 🦅,"shane soto, tim clifford","gorgin fazli, leonardo tullo",21,17,Pool Play,rotcyork,Challenger
Milk Men,FCR Bologna Serves,"brendan reesor, derek soetemans","jordan arnott, connor guinness",22,24,Pool Play,rotcyork,Challenger
BRO Big Dawgs,W's Only,"adam hassan, jared ang","conrad wagler, jaden weber",21,18,Pool Play,rotcyork,Challenger
Tripod Hinder,Stinky Hinder 💩💨😵,"joey renaud, jordan brandes","chris loubert, pierre-andré gaumond",17,21,Pool Play,rotcyork,Challenger
Sensei & his grasshopper,Trippy Bois,"chris brown, peter lam","c.j. sison, brandon farronato",21,14,Pool Play,rotcyork,Challenger
surprise!,Exponentially Average,"gavin de moura, nicholas puopolo","john lape, joshua ang",21,13,Pool Play,rotcyork,Challenger
The DAWGS,CRO Jungle Juice,"colin tolentino, joshua hachey","kyle jeung, nathan goh",21,14,Pool Play,rotcyork,Challenger
GDM Early Investors,FCR ICEBERGS,"adrian garcea, dylan mark","isaiah bergsma, nelson bergsma",16,21,Pool Play,rotcyork,Challenger
Full Swing,Milk Men,"shane soto, tim clifford","brendan reesor, derek soetemans",21,15,Pool Play,rotcyork,Challenger
im the biggest bird 🦅,FCR Bologna Serves,"gorgin fazli, leonardo tullo","jordan arnott, connor guinness",21,16,Pool Play,rotcyork,Challenger
BRO Big Dawgs,Tripod Hinder,"adam hassan, jared ang","joey renaud, jordan brandes",21,19,Pool Play,rotcyork,Challenger
W's Only,Stinky Hinder 💩💨😵,"conrad wagler, jaden weber","chris loubert, pierre-andré gaumond",14,21,Pool Play,rotcyork,Challenger
1-800-GOT-JUNK,Scoot Troop,"anthony cho, wallace chan","andrew macneil-johnson, rui miyake",15,8,Pool Play,rotcyork,Advanced
FCR WWJD,Buzzcut szn,"lois radu, nethaniel gabriel","matthew takemura, tim yip",15,12,Pool Play,rotcyork,Advanced
Gotta catch them balls,Smash or Pass,"austin ha, bryan chen","ella fairbairn, ruby tang",7,15,Pool Play,rotcyork,Advanced
Fresh Prince,Cheungle,"david reyes, wayne santa ana","chingle au, tim cheung",15,8,Pool Play,rotcyork,Advanced
1-800-GOT-JUNK,Buzzcut szn,"anthony cho, wallace chan","matthew takemura, tim yip",15,10,Pool Play,rotcyork,Advanced
FCR WWJD,Cheungle,"lois radu, nethaniel gabriel","chingle au, tim cheung",15,17,Pool Play,rotcyork,Advanced
Gotta catch them balls,Underdawgs,"austin ha, bryan chen","luis serrano, nathan toews",9,15,Pool Play,rotcyork,Advanced
