Player 1,Player 2,Team Name,Division,Tournament
julien paquette,karl pominville,Beast Mode,Premier 5.0+,coupeestivale
thomas dufresne,yannick serres,Force-Toé,Premier 5.0+,coupeestivale
guillaume bilodeau,lou paradis,Gimme Paradise,Premier 5.0+,coupeestivale
joshua hachey,philip drouin,Josh & Phil,Premier 5.0+,coupeestivale
anthony st-martin,jean-philippe miller-dussault,Mario & Donkey Kong,Premier 5.0+,coupeestivale
vincent mathieu,élie pilon,Mathieu/Pilon,Premier 5.0+,coupeestivale
jé gagnon,simon guillemette,Pole Position,Premier 5.0+,coupeestivale
alexandre bellemare,thomas déry,The Fence,Premier 5.0+,coupeestivale
maxime prince,samuel prince,The Prince,Premier 5.0+,coupeestivale
alexandre lamarre,kevin beaulieu,420 Spike,Contender 4.5+,coupeestivale
hugo poirier,vincent lavoie,Alerte UV,Contender 4.5+,coupeestivale
thomas langlois,william chenier,Beauty and the Beast,Contender 4.5+,coupeestivale
jonathan riverin,louis bouchard,D'jo louis,Contender 4.5+,coupeestivale
luc vincent guay,william garant,Falcon Punch,Contender 4.5+,coupeestivale
marc-antoine fortin-beaulac,simon parent,Fromage Cottage,Contender 4.5+,coupeestivale
jean-sébastien boutin,marc-antoine boutin,Goal Digger,Contender 4.5+,coupeestivale
laurent gosselin,samuel juteau-rhéaume,Gosselin/Juteau,Contender 4.5+,coupeestivale
guillaume boilard,samuel poirier,Groovy Goofies,Contender 4.5+,coupeestivale
jean-francois chevalier,xavier lambert,Juicy Dragons,Contender 4.5+,coupeestivale
julien masson,philippe blaquière,Les Chacals,Contender 4.5+,coupeestivale
david lachance,émile fortin,Les chevilles molles,Contender 4.5+,coupeestivale
jon coté,robert cote,Les Coccinelles,Contender 4.5+,coupeestivale
alexandre viens,kévin laquerre,Les P'tits Loups,Contender 4.5+,coupeestivale
hugo brunelle,thomas lahaie,Les plongeurs,Contender 4.5+,coupeestivale
patrick perrault,sebastien lafrance,Les vidanges,Contender 4.5+,coupeestivale
olivier barsalou,simon swain,Net-flicks and Chill,Contender 4.5+,coupeestivale
david conac,raphael belhumeur,No clutch,Contender 4.5+,coupeestivale
alexandre fortier,manouk momo,No gravity,Contender 4.5+,coupeestivale
francis ouimet,marc-olivier fontaine,NON MERCI✌️,Contender 4.5+,coupeestivale
kevin plante,tommy ricard,Qc Classic King Size,Contender 4.5+,coupeestivale
jordan meredith,joël laliberté,Quick Hands,Contender 4.5+,coupeestivale
charles houle-parent,nathan senécal,RPP district,Contender 4.5+,coupeestivale
benoit carrier,frédéric boutin,Serverless,Contender 4.5+,coupeestivale
olivier bernard,pierre-luc robitaille,Short and Sweet,Contender 4.5+,coupeestivale
chris loubert,pierre-andré gaumond,Stinky Hinder 💩💨😵,Contender 4.5+,coupeestivale
