Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Finocchachurch,NYC LemonLight,"gabriel finocchi, taylor church","riley savastano, ryan paul",21,7,Pool Play,ers23ct,5.0+ Premier (Open)
LL Cheezin,Dinomite,"matt spolarich, mike garrett","auriel wish, charlie camarena",7,21,Pool Play,ers23ct,5.0+ Premier (Open)
Hilltop,Cabbage Merchants,"cole model, max model","ian slattery, james hyman",21,9,Pool Play,ers23ct,5.0+ Premier (Open)
Just Joshin,Royal Flush,"josh didonato, josh hutko","nic albornoz, pat marinich",21,11,Pool Play,ers23ct,5.0+ Premier (Open)
Profit Boost,Sports Mode,"justin shaytar, kieran rose","joel morrell, maxwell riseman",21,10,Pool Play,ers23ct,5.0+ Premier (Open)
Bingu!,Tank Engines,"jared bingham, sunny gu","thomas estella, thomas maloney",21,17,Pool Play,ers23ct,5.0+ Premier (Open)
MIDDS,Shock Value,"caleb cummings, dawson morgan","drew ryder, john putney",21,10,Pool Play,ers23ct,5.0+ Premier (Open)
Fockey Jongens,Slow Jamz,"connor prelich, frederik theunis","kevin mcclain, thomas hoffman",11,21,Pool Play,ers23ct,5.0+ Premier (Open)
The Prince,Old Hope,"maxime prince, samuel prince","mitchell whelan, sam diani",21,8,Pool Play,ers23ct,5.0+ Premier (Open)
Pleasant People,Low Expectations,"demitri forand, maxwell gunneson","alex leblanc, riley leblanc",21,13,Pool Play,ers23ct,5.0+ Premier (Open)
Second Servings,White Lotus Roundnet,"kevin chen, ricky santiago","ely marciano, mitchell carter",17,21,Pool Play,ers23ct,5.0+ Premier (Open)
Finocchachurch,Dinomite,"gabriel finocchi, taylor church","auriel wish, charlie camarena",21,9,Pool Play,ers23ct,5.0+ Premier (Open)
Okay,NYC LemonLight,"dennis joseph, javier vidal","riley savastano, ryan paul",21,16,Pool Play,ers23ct,5.0+ Premier (Open)
Hilltop,Royal Flush,"cole model, max model","nic albornoz, pat marinich",21,7,Pool Play,ers23ct,5.0+ Premier (Open)
