Player 1,Player 2,Team Name,Division,Tournament
emanuel rimle,roman peter,[SUI] Rimle/Peter,Open Gold/Premier,etslondon2023
eisenträger lukas,paul siemer,Eisenträger/Siemer,Open Gold/Premier,etslondon2023
alex lim,mark elbourne,Elbourne/Lim,Open Gold/Premier,etslondon2023
erik borja forschner mitre,marco navío ruiz,Fred Potter,Open Gold/Premier,etslondon2023
frederik theunis,trevor cook,Fré-vor,Open Gold/Premier,etslondon2023
markus anderle,raffael jonas,Future Burnouts,Open Gold/Premier,etslondon2023
cedric widin,matias bermejo pasetti,Hokus Boom,Open Gold/Premier,etslondon2023
jan stachiewicz,nelson dziruni,Jan & Nel,Open Gold/Premier,etslondon2023
erwan chapeliere,hugo lacombe,Lacombe/Chapelière,Open Gold/Premier,etslondon2023
merlin baumeler,luc bürki,Merlor & Bird,Open Gold/Premier,etslondon2023
gabriel stoisser,marius snoeck,Never too late,Open Gold/Premier,etslondon2023
josh weinbach,trevor barbosa,Now That We’re Men,Open Gold/Premier,etslondon2023
pierre lecrosnier,victor cambois,Pierre Feuille Victor,Open Gold/Premier,etslondon2023
aymeric sandoz,élie pilon,Pilon/Sandoz,Open Gold/Premier,etslondon2023
dorian améziane,robin florinda,Pour Combien ?,Open Gold/Premier,etslondon2023
nicolas tognini,rouven felix,Serve & Chill,Open Gold/Premier,etslondon2023
clemens von hanisch,lukas tapken,Tapken/Von Hänisch,Open Gold/Premier,etslondon2023
scott beeks,fredric hinkle,Those Roundnet Players,Open Gold/Premier,etslondon2023
stefan handschmann,yosha vandaele,Twinzz,Open Gold/Premier,etslondon2023
britt vankemenade,marie-alexia teisseyre,Aaaaaah sh*t,Women's Advanced,etslondon2023
antonia sencovici,jaana häkkinen,Aceholes,Women's Advanced,etslondon2023
riet d'hoore,jana vandesijpe,Allesch Kapoedt,Women's Advanced,etslondon2023
rebecca smith,tash reed,Becktashula,Women's Advanced,etslondon2023
eva magdalena,maya barkan,Crunchy Lab,Women's Advanced,etslondon2023
emily barnes,jasmine cheung,Em & Jazz,Women's Advanced,etslondon2023
alina teskey,amely joly,French Fries,Women's Advanced,etslondon2023
naiara vidal,vicky perez,Galácticas de Politeia,Women's Advanced,etslondon2023
hanna gebel,helena molina raga,Helena/Hanna,Women's Advanced,etslondon2023
eline meijer,sophie bouma,Kassa Wodkis,Women's Advanced,etslondon2023
dayna manak,tessa leong,Kiwis,Women's Advanced,etslondon2023
inès paysan,laura kunzelmann,Kunzelmachinès,Women's Advanced,etslondon2023
antonella valerio,bianca nita,Latin Charm,Women's Advanced,etslondon2023
alyssa yee,sophie cooke,LRC Recruits,Women's Advanced,etslondon2023
emily workman,sophie pritchard,Lucky Dip 🍀,Women's Advanced,etslondon2023
anaïs duport,sarah martinez,Miettes de biscuit,Women's Advanced,etslondon2023
angelika bauer,yasmin graeter,Mucki,Women's Advanced,etslondon2023
joelle nguyen,kayla ngai,Push Door,Women's Advanced,etslondon2023
hannah meier,mirjam wiedmer,RCB Snack Attackers,Women's Advanced,etslondon2023
ronja lorenz,tina gulden,real talk,Women's Advanced,etslondon2023
nicole fatt,ruth troughton,RTNF,Women's Advanced,etslondon2023
indira b.,jessi riedelsheimer,Small & Tall,Women's Advanced,etslondon2023
melina bures,sarah joy quibell,Smash it!,Women's Advanced,etslondon2023
eleni thanopoulou,emily hill-smith,Spiketziki,Women's Advanced,etslondon2023
julia stadler,nora haas,Tension Reduction,Women's Advanced,etslondon2023
daniela kadlec,megan leybourne,tiramisu,Women's Advanced,etslondon2023
stella davis,una ognjenovic,"Una Stella, per favore",Women's Advanced,etslondon2023
lucile rouault,valentine pottez,Valentine et Lucile,Women's Advanced,etslondon2023
alina pîrlea,beatrice tărășilă,Waves,Women's Advanced,etslondon2023
jim buhler,matīss apinis,Ace Risks,Open Contender,etslondon2023
alexandre tauziède,kenneth put,AK-47,Open Contender,etslondon2023
natacha alt,yves tschan,Alt/Tschan,Open Contender,etslondon2023
lukas weinsberger,moritz albrecht,Ball Busters,Open Contender,etslondon2023
jakob blaaholm nielsen,mikołaj cichocki,Baltic Bashers 🌊,Open Contender,etslondon2023
charlie wilson,dan almeida,Beauty and the Beast,Open Contender,etslondon2023
joe kerridge,richard chapman,Bed Wetters Bad Setters - Sheffield,Open Contender,etslondon2023
gauthier vandamme,joeri vlassaks,Belgian Fries,Open Contender,etslondon2023
charles bryan orodio,dylan brook,Better Late Than Never,Open Contender,etslondon2023
louis mareschal,ondra kasan,Biglio Dindo,Open Contender,etslondon2023
lucas spitz,paul halphen,Cheap Eisentrager/Siemer,Open Contender,etslondon2023
gabriel luna soriano,javier ignacio caballos martin,Chinese moon,Open Contender,etslondon2023
jamie carmichael,vibhor dua,CRO's Club Sandwich,Open Contender,etslondon2023
matthew russell,patrik gilmore,Czech yourself before you wreck yourself,Open Contender,etslondon2023
dimitri kuhn,lukas böhler,Dimi/Luki,Open Contender,etslondon2023
james hodza,stefan weiner,Don't cry,Open Contender,etslondon2023
amrit hingorani,colten van etten,"East Coast, Beast Coast",Open Contender,etslondon2023
fre eskens,kristof reitz,Eskens/Reitz,Open Contender,etslondon2023
barnaby wheeler,marc le chevallier,Ex-exeter,Open Contender,etslondon2023
igor jottrand,xavier van gorp,For Fox Sake 🦊,Open Contender,etslondon2023
benoit scholtes,toma gadjev,Gadjev/ Scholtes,Open Contender,etslondon2023
harvey jackson,manuel garcia-doncel calderon,Garcia/Jackson,Open Contender,etslondon2023
antoine macquet,max harding,Harding/Macquet,Open Contender,etslondon2023
fabian rahm,henri modenius,Henri/Fabian,Open Contender,etslondon2023
limongiu antonio,vlad cornoiu,Hihilism,Open Contender,etslondon2023
david leidenfrost,pol lutsch,Imbm & Pimpampel,Open Contender,etslondon2023
jurre baguet,liam duffy,Jurre-ney to the centre of the serve,Open Contender,etslondon2023
kari kyläinpää,tuomas orava,Kyläinpää/Orava,Open Contender,etslondon2023
andreas christensen,kasper søvndal,Le Spiko de Familia,Open Contender,etslondon2023
pierre hachard,ulysse couturier,Les Ficheurs,Open Contender,etslondon2023
alexis sécher,dorian boulay,Les TIBOUSEC,Open Contender,etslondon2023
alex malioglou,liam akhurst,LiaMillios,Open Contender,etslondon2023
andreas linnet,mathias linnet,Linnet Brothers,Open Contender,etslondon2023
ed davey,will davey,Lord of The Rims,Open Contender,etslondon2023
halvard hanisch,marcos campos,Marcos/Halvard,Open Contender,etslondon2023
jeppe norlyk hansen,malte klinkby,NBS,Open Contender,etslondon2023
louis durand,théo vanh hemelryck,Pas Dégueu,Open Contender,etslondon2023
luke mcauley,pawel ambrozej,PowerLuck,Open Contender,etslondon2023
dario sommer,stefan geyer,Rage Cage,Open Contender,etslondon2023
alex rokotas,sebi mezzey,Relentless,Open Contender,etslondon2023
faisal sayyed,rafael gallego,Sayy when to Go,Open Contender,etslondon2023
gilles hublet,jorn neyens,Second Choices,Open Contender,etslondon2023
hugo callaway,james jewitt,Soreen Dream Team,Open Contender,etslondon2023
andre langner,gerben dreesen,Spikepats,Open Contender,etslondon2023
george ward,robin harris,The Bagels,Open Contender,etslondon2023
janek dudzik,tadeusz pętlak,Warsaw Spikes DuPę,Open Contender,etslondon2023
karol barbasiewicz,max łochowski,WS Incrediballers,Open Contender,etslondon2023
hannah waters,sofina suhaimi,Blingo Babes,Open Social (Beginner + Intermediate),etslondon2023
dan byrom,richard geng,DENG,Open Social (Beginner + Intermediate),etslondon2023
freya levie,kari levie,Dipshit and Dongo,Open Social (Beginner + Intermediate),etslondon2023
jack morgan,theo brown,Hidden Depths,Open Social (Beginner + Intermediate),etslondon2023
bec dumesny,laura pons miles,Kangaroo Paella,Open Social (Beginner + Intermediate),etslondon2023
ed hanton,kiran patel,Spankball,Open Social (Beginner + Intermediate),etslondon2023
rohan krishna,tyler hansen,Spikermen,Open Social (Beginner + Intermediate),etslondon2023
oliver kowal,ollie shawyer,The TW O’s,Open Social (Beginner + Intermediate),etslondon2023
mirjam wiedmer,rouven felix,Aaräschwümmä,Mixed Advanced,etslondon2023
alex lim,nora haas,Alex and Nora,Mixed Advanced,etslondon2023
alexa peusch,merlin baumeler,Alexa und Merlin,Mixed Advanced,etslondon2023
daniela kadlec,raffael jonas,Ananas róse,Mixed Advanced,etslondon2023
alyssa yee,andre langner,Average Height,Mixed Advanced,etslondon2023
inès paysan,robin florinda,Backflick,Mixed Advanced,etslondon2023
anaïs duport,pierre lecrosnier,Bad salmons,Mixed Advanced,etslondon2023
emily barnes,hugo callaway,Barnes/ Callaway,Mixed Advanced,etslondon2023
angelika bauer,pol lutsch,BlockWiener,Mixed Advanced,etslondon2023
fre eskens,irina bob,BoogieBall,Mixed Advanced,etslondon2023
joelle nguyen,josh weinbach,Boston Twea Party,Mixed Advanced,etslondon2023
henri modenius,matilda leppänen,c0nfu5ement_100,Mixed Advanced,etslondon2023
sophie cooke,trevor cook,Chef’s Special,Mixed Advanced,etslondon2023
clemens von hanisch,jessi riedelsheimer,Clessica,Mixed Advanced,etslondon2023
bianca nita,faisal sayyed,Creme Caramel,Mixed Advanced,etslondon2023
janek dudzik,kayla ngai,Don’t ghost me plz,Mixed Advanced,etslondon2023
frederik theunis,marie-alexia teisseyre,Double T,Mixed Advanced,etslondon2023
dan almeida,sophie pritchard,Double Trouble,Mixed Advanced,etslondon2023
gabriel stoisser,sarah joy quibell,EnJOY tha GAme,Mixed Advanced,etslondon2023
eline meijer,yves tschan,Fondue & Tulips,Mixed Advanced,etslondon2023
liam duffy,lucile rouault,Franglais,Mixed Advanced,etslondon2023
carolin marquart,lukas tapken,Future Quatschköpfe,Mixed Advanced,etslondon2023
dario sommer,melina bures,G'mischter Satz,Mixed Advanced,etslondon2023
alex rokotas,eleni thanopoulou,Golden Touch,Mixed Advanced,etslondon2023
matias bermejo pasetti,ronja lorenz,Guezi,Mixed Advanced,etslondon2023
amely joly,fredric hinkle,Helicopter Hog Hunt 🤔🐖🐷🐽,Mixed Advanced,etslondon2023
jan stachiewicz,julia stadler,J.S.,Mixed Advanced,etslondon2023
cedric widin,jaana häkkinen,Jaana/Cedi,Mixed Advanced,etslondon2023
fabian rahm,hannah meier,Lederhosen legends,Mixed Advanced,etslondon2023
aymeric sandoz,sarah martinez,Les poulets,Mixed Advanced,etslondon2023
markus anderle,megan leybourne,m & m‘s,Mixed Advanced,etslondon2023
joe kerridge,una ognjenovic,Marching To The Spike of God,Mixed Advanced,etslondon2023
tina gulden,élie pilon,Mental Game,Mixed Advanced,etslondon2023
amrit hingorani,emily hill-smith,Mischief Managed,Mixed Advanced,etslondon2023
dorian améziane,natacha alt,Na-Da,Mixed Advanced,etslondon2023
alina teskey,stefan handschmann,Nerdy Fries,Mixed Advanced,etslondon2023
erwan chapeliere,maya barkan,Ok pour moi,Mixed Advanced,etslondon2023
alina pîrlea,limongiu antonio,Omul și gluma 🫠,Mixed Advanced,etslondon2023
britt vankemenade,joeri vlassaks,POWER,Mixed Advanced,etslondon2023
alenka schmid,lukas böhler,RCB Alunki,Mixed Advanced,etslondon2023
hanna gebel,trevor barbosa,Really Cool Team Name,Mixed Advanced,etslondon2023
manuel garcia-doncel calderon,rebecca smith,RSC Gasolina,Mixed Advanced,etslondon2023
nelson dziruni,ruth troughton,Ruth/Nelson,Mixed Advanced,etslondon2023
nicole fatt,scott beeks,Scott/Nicole,Mixed Advanced,etslondon2023
jim buhler,sophie bouma,Something cool,Mixed Advanced,etslondon2023
