Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Aloha,Mugiwaras,"cedric widin, laura kunzelmann","jonas tarnutzer, nicole rupf figueroa",15,4,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Flying Free,Millenium,"marcos bermudez muratel, raquel martín tablado","hélène bertrand, milian brard",17,15,Pool Play,etsparis2023,Mixed Advanced/Intermediate
UniLey,Zippy Roosters,"megan leybourne, nelson dziruni","théo vanh hemelryck, valentine pottez",15,12,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Flip Flop,Long leg Llamas,"louisiane lemaire, tom hullot","christina lund nielsen, jeppe norlyk hansen",15,8,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Na-Da,Nous deux,"dorian améziane, natacha alt","roundnetzala roundnetzala, sébastien lefèvre",15,5,Pool Play,etsparis2023,Mixed Advanced/Intermediate
PIKAMIENTOS,Les blonds à rien,"auxence clark, vanangamoudiar liza","jean kervella, lucile rouault",15,12,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Bananas for Johannes,RR juice gastrico,"lou washburn, paul siemer","chiara pernigo, nicola bazzani",15,12,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Ok pour moi,Hommingbirds,"erwan chapeliere, maya barkan","hagen jona hintz, janne uteg",21,19,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Salt and Pepper,One girl two cuts,"jan stachiewicz, ruth troughton","anne gerard, clément martin-gougenheim",15,4,Pool Play,etsparis2023,Mixed Advanced/Intermediate
RCB Scrambled Tofu,Halvard/Margaux,"anna lea schindler, carlo engel","halvard hanisch, margaux thieren",10,15,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Pingu Panther,Superb'owl'er,"daniela kadlec, stefan handschmann","julia grob, yannick maurer",15,8,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Green Hot Chilli Peppers,Green sailors,"jaroslav čabala, julia stranzl","marine maurel, olivier saunier",11,15,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Hat swap,Team Angio,"robin florinda, tina gulden","neri sansone, daria orlandini",15,9,Pool Play,etsparis2023,Mixed Advanced/Intermediate
TrashPandas,SUI - Gnocchi mit Pecorino,"freya levie, roman peter","nicolas perriraz, tosca pecorino",15,11,Pool Play,etsparis2023,Mixed Advanced/Intermediate
SuPeerNora,Tullidos,"nora haas, peer kanis","gabriel luna soriano, helena molina raga",15,8,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Red Redonda,Fuze Team,"rafael gallego, sara villamariz do nascimento","ilonka thielen, micha daling",15,8,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Aussie Roos,The Double Dutch,"mark elbourne, nicole fatt","jeroen brus, teodora veres",15,4,Pool Play,etsparis2023,Mixed Advanced/Intermediate
2stressed2bebest,Flotjes,"aleksandrs juška, lauma ernestsone","florian poel, lotte verbeke",15,11,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Tiermaschine,Christmas in Summer 🏝,"eisenträger lukas, eva magdalena","colten van etten, jemima lee",15,4,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Saus,Eigenmann,"maurice jantjes, solange schrijnder van velzen","jonas eigenmann, kaija eigenmann",10,15,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Levi & Riet,Flotters,"levi vandaele, riet d'hoore","lina feldt, maximilian knoll",15,9,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Chrusumonster,Déjà-vu,"carole gassner, luc moor","adriana valiente, jérôme renimel",13,15,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Pinkey Jinkey,Happy husband happy life,"alina teskey, david jindra","katja ema kelvisar kukuljan, teo kukuljan",15,4,Pool Play,etsparis2023,Mixed Advanced/Intermediate
"Le Bon, la Britt et le Theunis",Double A'ce,"britt vankemenade, frederik theunis","andreas linnet, astrid andreassen",11,15,Pool Play,etsparis2023,Mixed Advanced/Intermediate
#THPOE,Nimma Net Ninjas,"amely joly, benjamin bachler","roos van der donk, rudo brus",15,6,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Creme Caramel,Breizh truffades,"bianca nita, faisal sayyed","elise martin, romain chaulet",14,16,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Les Loulou,Olli Otter,"louis jouve, louise eydoux","lea hilbrink, philip roy",15,11,Pool Play,etsparis2023,Mixed Advanced/Intermediate
YoshJa,Ditte og Dutte,"yosha vandaele, jana vandesijpe","ditte møller gregersen, mathias linnet",15,17,Pool Play,etsparis2023,Mixed Advanced/Intermediate
GabriElise,Danish Spikamite,"elise van der stichelen, gabriel stoisser","malte klinkby, rikke bloch",20,21,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Bad salmons,Cheers Mate,"anaïs duport, pierre lecrosnier","serafin rieser, sufi eggenberger",15,10,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Aloha,Millenium,"cedric widin, laura kunzelmann","hélène bertrand, milian brard",15,9,Pool Play,etsparis2023,Mixed Advanced/Intermediate
Lego and waffles,Mugiwaras,"charlotte bruns, jakob blaaholm nielsen","jonas tarnutzer, nicole rupf figueroa",15,10,Pool Play,etsparis2023,Mixed Advanced/Intermediate
