Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
RCG Powerline,Sayyed/Gunneson,"benjamin bachler, nelson dziruni","faisal sayyed, maxwell gunneson",21,13,Pool Play,etsprague2023,Open Gold/Premier
Czech this swede,Pierre Feuille Victor,"esaja ekman, ondřej čejka","pierre lecrosnier, victor cambois",21,17,Pool Play,etsprague2023,Open Gold/Premier
Zwaffle everyone,Double Bang,"levi vandaele, robin florinda","michele berlanda, nicola bazzani",21,11,Pool Play,etsprague2023,Open Gold/Premier
The untouchable,RCB Spikeleeks,"ondra kasan, vanya melnykovych","carlo engel, luc moor",22,24,Pool Play,etsprague2023,Open Gold/Premier
Kuba/Frederik,[SUI] Rimle/Peter,"frederik theunis, jakub víšek","emanuel rimle, roman peter",21,18,Pool Play,etsprague2023,Open Gold/Premier
RBZ Capri Sons,LTTL RNDNT,"andrea borsotti, riccardo mercadini","lukas tapken, timo lorenzen",18,21,Pool Play,etsprague2023,Open Gold/Premier
Never Cold🌡️,AS TELGRUC,"jan stachiewicz, jaroslav čabala","aymeric sandoz, jérôme renimel",22,20,Pool Play,etsprague2023,Open Gold/Premier
Cedric & Julian,Czecky,"cedric widin, julian krehle","johannes kopfmann, lucca hardes",16,21,Pool Play,etsprague2023,Open Gold/Premier
Bürkle/Kandula,Tac Tac,"ma rio, ravi kandula","fre eskens, ryan danekas",10,21,Pool Play,etsprague2023,Open Gold/Premier
Rainbow Warriors,RCB Drü,"fabian claus, josha lauterbach","merlin baumeler, ramon felix",26,28,Pool Play,etsprague2023,Open Gold/Premier
RCG Powerline,Pierre Feuille Victor,"benjamin bachler, nelson dziruni","pierre lecrosnier, victor cambois",21,13,Pool Play,etsprague2023,Open Gold/Premier
Stadtaffen,Sayyed/Gunneson,"jonas klinger, peer kanis","faisal sayyed, maxwell gunneson",21,18,Pool Play,etsprague2023,Open Gold/Premier
Zwaffle everyone,RCB Spikeleeks,"levi vandaele, robin florinda","carlo engel, luc moor",21,18,Pool Play,etsprague2023,Open Gold/Premier
Paindrops,Double Bang,"markus anderle, yvo heinen","michele berlanda, nicola bazzani",21,16,Pool Play,etsprague2023,Open Gold/Premier
Kuba/Frederik,LTTL RNDNT,"frederik theunis, jakub víšek","lukas tapken, timo lorenzen",15,21,Pool Play,etsprague2023,Open Gold/Premier
