Player 1,Player 2,Team Name,Division,Tournament
benjamin banuelos,michael du,BenDu Over,Premier 5.0,heatwavevi
jack granger,nolan marolf,Buzzer Beaters,Premier 5.0,heatwavevi
ethan mcwhirter,matthew burrows,Cerebral Drizzle,Premier 5.0,heatwavevi
kade janikula,kevin cadle,Fringe premier,Premier 5.0,heatwavevi
caleb cummings,luke mowry,HM01,Premier 5.0,heatwavevi
grant klapwijk,matthew cole,Kingdom Come,Premier 5.0,heatwavevi
kyan kornfeld,luis orozco,Kyan Pepper,Premier 5.0,heatwavevi
cade larson,luke marshall,Lazy,Premier 5.0,heatwavevi
brandon arledge,dylan bricker,Let’s go golfing,Premier 5.0,heatwavevi
nathan garcia,jacob gansle,Pocket Aces,Premier 5.0,heatwavevi
felipe martinez,james ledbetter,PORKCHOP,Premier 5.0,heatwavevi
brian childs,david louis,PROUD FATHERS,Premier 5.0,heatwavevi
andrew kosche,jacob payer,Quality Service,Premier 5.0,heatwavevi
tyler fernandez,fredric hinkle,Second Bullet,Premier 5.0,heatwavevi
josh weinbach,noah beinart,Serveball Semites,Premier 5.0,heatwavevi
christian bennett,rahul murthy,TRP Sauucy,Premier 5.0,heatwavevi
gavin lotts,iason hayes,Watermelon,Premier 5.0,heatwavevi
amaan mujtaba jaweed,prady vijayakumar,AP spikeball,Contender 4.5,heatwavevi
aiedan acosta,billy durrill,dirtybills,Contender 4.5,heatwavevi
aman khemka,nick neuman,GTC,Contender 4.5,heatwavevi
paul belton,walter siller,Hash Slinging Slashers,Contender 4.5,heatwavevi
cooper diaz,gibb layton,Horns Down,Contender 4.5,heatwavevi
dominic cortez,isaac bozarth,Hot head🤬,Contender 4.5,heatwavevi
jonathan yuan,rohan skaria,joro,Contender 4.5,heatwavevi
cormac alonzo,jj vela,Just Alright,Contender 4.5,heatwavevi
kyle grimes,varun ramesh,Kibby Tipps,Contender 4.5,heatwavevi
jerm porter,julia brochu,Lemme Cook,Contender 4.5,heatwavevi
bryce wagoner,jared almon,Let Him Cook 👨‍🍳,Contender 4.5,heatwavevi
alex walraven,mark helwig,Over the Hedge,Contender 4.5,heatwavevi
cameron ohashi,hayden woolard,Quick Shift,Contender 4.5,heatwavevi
jp chincuanco,owen lynch,Rice Cakes,Contender 4.5,heatwavevi
grant marshall,shachi patel,To be decided,Contender 4.5,heatwavevi
levi stout,noah green,Wobble Bobble Boys,Contender 4.5,heatwavevi
drayton kinder,timothy shelton,Bachelor Bros,Advanced 4.0,heatwavevi
alexander hoang,carissa h,Bing Chilling,Advanced 4.0,heatwavevi
julian larson,tanner deshotel,OSM,Advanced 4.0,heatwavevi
john odonnell,karsten bresser,Schlö boys,Advanced 4.0,heatwavevi
bryce wurster,ethan phelps,Short Shawties,Advanced 4.0,heatwavevi
matthew xu,timothy wong,The BrOreos,Advanced 4.0,heatwavevi
michael peng,thomas ku,Underserved,Advanced 4.0,heatwavevi
anna wong,jordan su,caprisun kids,Women's 4.0,heatwavevi
lydia malone,raylyn tarquinio,Lydia/Raylyn,Women's 4.0,heatwavevi
rebecca peng,yan chung cheung,Pocket Monsters,Women's 4.0,heatwavevi
alyson wurster,kara douglas,sus kids,Women's 4.0,heatwavevi
allie foster,matthew cole,Little Bear,Co-Ed,heatwavevi
