Player 1,Player 2,Team Name,Division,Tournament
dennis joseph,sunny gu,Dad and Sun,Premier (5.0+),long-island-classic-2023
alex daly,charles tipton,Driver’s License,Premier (5.0+),long-island-classic-2023
a.j. martin,thomas hoffman,Dummy wide son,Premier (5.0+),long-island-classic-2023
danny gologorsky,maxwell gunneson,Endurance,Premier (5.0+),long-island-classic-2023
kyan kornfeld,tyler fernandez,Fernandez/Kornfeld,Premier (5.0+),long-island-classic-2023
demitri forand,pat marinich,Free On Mach,Premier (5.0+),long-island-classic-2023
brody ulrich,jake goodnow,Goodnow/Ulrich,Premier (5.0+),long-island-classic-2023
josh fragiacomo,ryan oswalt,Guachos,Premier (5.0+),long-island-classic-2023
charles mordacq,jake mottershead,Jake & Charles,Premier (5.0+),long-island-classic-2023
corey weiss,matt spolarich,Jersey Boyz,Premier (5.0+),long-island-classic-2023
cade larson,owen lippman,Lazy Bots,Premier (5.0+),long-island-classic-2023
josh didonato,mike garrett,LL Mosh,Premier (5.0+),long-island-classic-2023
rafi moldovsky,ryan paul,LL Rookies,Premier (5.0+),long-island-classic-2023
max model,ricky santiago,M. Model / R. Santiago,Premier (5.0+),long-island-classic-2023
joel morrell,michael capobianco,PBR ELBROS,Premier (5.0+),long-island-classic-2023
brian perlson,jacob arzaga,PBR Pickle Boys,Premier (5.0+),long-island-classic-2023
josh hutko,sam mccune,Pickle Juice,Premier (5.0+),long-island-classic-2023
donald fung,nick mesa,Pocket Rockets,Premier (5.0+),long-island-classic-2023
josh esposo,samuel corey,Project Roundnet,Premier (5.0+),long-island-classic-2023
jared bingham,lucas pruett,Pruett/Bingham,Premier (5.0+),long-island-classic-2023
david rowlands,stephen sweeney,Rowland’Sweeney,Premier (5.0+),long-island-classic-2023
brayden latham,will picone,RVA Spike,Premier (5.0+),long-island-classic-2023
brendan ferreira,noah luskus,Sweet Nothings,Premier (5.0+),long-island-classic-2023
artie singer,jack coolbaugh,True,Premier (5.0+),long-island-classic-2023
desmond benton,tyler cisek,We Serve,Premier (5.0+),long-island-classic-2023
ely marciano,mitchell carter,White Lotus Roundnet,Premier (5.0+),long-island-classic-2023
carina kuo,eric guan,:->,Contender (4.5),long-island-classic-2023
alex newton,isaac staats,Absolutely Torqued,Contender (4.5),long-island-classic-2023
jared dean katz,tim wu,Academic Integrity,Contender (4.5),long-island-classic-2023
matthew tiongko,tyler lee,Asian Persuasion,Contender (4.5),long-island-classic-2023
chou po-jui,jerry lee,Asioneer,Contender (4.5),long-island-classic-2023
dustin grant,john putney,BDR Two Pump Chumps,Contender (4.5),long-island-classic-2023
clayton ulrich,sean berg,Beefcakes,Contender (4.5),long-island-classic-2023
jackson petroske,tiger winston,Big Duck Roundnet,Contender (4.5),long-island-classic-2023
greg bove,michael nelson,Bootycheeks,Contender (4.5),long-island-classic-2023
gabe packevicz,jason mcgrath,Borderline Misconduct,Contender (4.5),long-island-classic-2023
dylan noker,harrison yen,Buffet?,Contender (4.5),long-island-classic-2023
aidan buchanan,mitchell whelan,Can't believe it's not butter,Contender (4.5),long-island-classic-2023
steven graziano,troy hernandez,Chaos Wizards,Contender (4.5),long-island-classic-2023
justin wang,kevin chen,Chicken Wing,Contender (4.5),long-island-classic-2023
ethan westfall,mike hamilton,Fresh Cuts,Contender (4.5),long-island-classic-2023
alan gao,thomas hamblet,Hamblet/Gao,Contender (4.5),long-island-classic-2023
matt catuccio,michael catuccio,Happy Heffalumps,Contender (4.5),long-island-classic-2023
arjun venigalla,jerry hao,Harold and Kumar,Contender (4.5),long-island-classic-2023
aidan sullivan,dan burkert,I like oreos,Contender (4.5),long-island-classic-2023
cooper pennell,ethan gabay,Laf Spikes,Contender (4.5),long-island-classic-2023
abigale lamontagne,malia wanderer,Lamontagne/Wanderer,Contender (4.5),long-island-classic-2023
alex leblanc,riley leblanc,Low Expectations,Contender (4.5),long-island-classic-2023
kyle keenan,miguel canet,Mr. Mackey’s Mmkays,Contender (4.5),long-island-classic-2023
colby smith,vincent mcdevitt,Naughty Naughty,Contender (4.5),long-island-classic-2023
isaiah milgroom,matt garbecki,Out spin the pocket,Contender (4.5),long-island-classic-2023
andrew luque,vince s,Pigeon,Contender (4.5),long-island-classic-2023
drew ryder,sam diani,Ryde or Di,Contender (4.5),long-island-classic-2023
declan brown,jamison friauf,Slammo Gods,Contender (4.5),long-island-classic-2023
edgar cruz,gershom delva,Straw Hat Pirates,Contender (4.5),long-island-classic-2023
liam lafond,noah malewicki,The Jungle Boys,Contender (4.5),long-island-classic-2023
dylan wakeley,henrik hoeldtke,The Last Dance,Contender (4.5),long-island-classic-2023
micah wipf,nick reiniger,tweeners?,Contender (4.5),long-island-classic-2023
ethan ferland,maxwell riseman,Wild Westchester Sharpshooters,Contender (4.5),long-island-classic-2023
jp jablonski,wilson jablonski,aced and confused,Advanced (4.0),long-island-classic-2023
conor chickos,jason lin,Amateur Hitmen,Advanced (4.0),long-island-classic-2023
ben harmon,brian mirman,Crestwood's Finest,Advanced (4.0),long-island-classic-2023
doug clawson,kenny legan,Dirty Mike and the Boys,Advanced (4.0),long-island-classic-2023
cristian munoz,gesip munoz,East End Boys,Advanced (4.0),long-island-classic-2023
