Player 1,Player 2,Team Name,Division,Tournament
jared beaufait,josef quispe,A Savage 21st,Premier (5.0),nashvillecup2023
cade larson,matthew burrows,Absolutely Sozzled,Premier (5.0),nashvillecup2023
chou po-jui,jerry lee,Asioneer,Premier (5.0),nashvillecup2023
chase meyer,tyler fernandez,Autonomous,Premier (5.0),nashvillecup2023
christian hill,derek mcrea,DMChilly,Premier (5.0),nashvillecup2023
corey weiss,jake mottershead,Fear Itself,Premier (5.0),nashvillecup2023
ian murphy,jayson rhea,Flubbin Trash,Premier (5.0),nashvillecup2023
jenson miller,michael barkman,GFD Evasive Maneuvers,Premier (5.0),nashvillecup2023
nick evanko,tim lacagnina,GFD Get Gaped,Premier (5.0),nashvillecup2023
cole maddox,lindros beard,Hive Mind,Premier (5.0),nashvillecup2023
brendan ferreira,olivia jenki,ILL,Premier (5.0),nashvillecup2023
dylan bricker,thomas maloney,Kevin's Famous Chili - Taylor’s Version,Premier (5.0),nashvillecup2023
grant klapwijk,matthew cole,Kingdom Come,Premier (5.0),nashvillecup2023
henry raman,james ledbetter,Ledbetter/Raman,Premier (5.0),nashvillecup2023
kurt lannetti,samuel corey,Left Twix,Premier (5.0),nashvillecup2023
coleman epperson's,max model,Max and Cole,Premier (5.0),nashvillecup2023
christian bennett,noah luskus,Mermaid Sparkle,Premier (5.0),nashvillecup2023
dawson morgan,luke mowry,Morgan/Mowry,Premier (5.0),nashvillecup2023
gabriel skaggs,josiah mckinney,Munch,Premier (5.0),nashvillecup2023
justin shaytar,kieran rose,Profit Boost,Premier (5.0),nashvillecup2023
brandon arledge,ian timan,Providence,Premier (5.0),nashvillecup2023
andy trower,gavin broekema,Revised Banquet,Premier (5.0),nashvillecup2023
justin kehoe,kyle fowler,Risky Business,Premier (5.0),nashvillecup2023
ryan marino,thomas hamilton,Rogue,Premier (5.0),nashvillecup2023
adam porter,josh hutko,Skill Issue,Premier (5.0),nashvillecup2023
owen bass,peter lu,Sunday Special,Premier (5.0),nashvillecup2023
houston sproles,noah vasington,TRA.wav,Premier (5.0),nashvillecup2023
colton mowry,nick noguez,WySpike Sweepers,Premier (5.0),nashvillecup2023
carter hodgson,david seo,YMCA,Premier (5.0),nashvillecup2023
jon maano,joshua mollineda,2 inches,Contender 4.5+,nashvillecup2023
alexander gonzalez,larkin sharpe,[HRN] Gorilla Glue,Contender 4.5+,nashvillecup2023
henry mauser,mitchell roussey,Aces of Club,Contender 4.5+,nashvillecup2023
ali jenki,bradley clark,Anomaly,Contender 4.5+,nashvillecup2023
caleb schilling,tyler brown,Aspiring Contenders,Contender 4.5+,nashvillecup2023
gray bundy,mike hamilton,AT Fan Club,Contender 4.5+,nashvillecup2023
micah ressler,micah wipf,ball of duty,Contender 4.5+,nashvillecup2023
ben duffy,dinon hughes,Ben Dover Duffy,Contender 4.5+,nashvillecup2023
jamison friauf,jasper chapman,Bread & Butter,Contender 4.5+,nashvillecup2023
jacob narayan,nathan benjamin,Caveman,Contender 4.5+,nashvillecup2023
colton olvey,harrison baisden,Code Red,Contender 4.5+,nashvillecup2023
benjamin gardiner,brandon tice,Dialed,Contender 4.5+,nashvillecup2023
daryan hoover,dave esh,Double D,Contender 4.5+,nashvillecup2023
luke gasque,tyler montgomery,Drippy Milk,Contender 4.5+,nashvillecup2023
daniel sánchez,patricio duran,Elysium,Contender 4.5+,nashvillecup2023
othman abdulkareem,tyler harp,For Fun,Contender 4.5+,nashvillecup2023
andrew thatcher,ben himes,Fruitcake,Contender 4.5+,nashvillecup2023
daniel patten,levi rogers,GFD Cleveland Cowboys,Contender 4.5+,nashvillecup2023
ava kay,meagan bown,Goblin & Goldie,Contender 4.5+,nashvillecup2023
justin goldman,peyton stack,Goldman Stacks,Contender 4.5+,nashvillecup2023
devin baron,keith fleischmann,Grab it Don't Slap it,Contender 4.5+,nashvillecup2023
arjun dhankani,tanner heath,Heath/Dhankani,Contender 4.5+,nashvillecup2023
