Player 1,Player 2,Team Name,Division,Tournament
alex hart (asl),harold mancia,American Spikers,Expert 5.0+,sdgrandslam2023
chase meyer,tyler fernandez,Autonomous,Expert 5.0+,sdgrandslam2023
jake babbitt,nolan wynkoop,Babbitt/Wynkoop,Expert 5.0+,sdgrandslam2023
rahul murthy,will picone,Bad Combo,Expert 5.0+,sdgrandslam2023
michael hsu,ryder rivadeneyra,Baddest Combo,Expert 5.0+,sdgrandslam2023
jake lebaron,john choi,Baron and the Krug,Expert 5.0+,sdgrandslam2023
caleb cummings,matthew burrows,Beach Waffle,Expert 5.0+,sdgrandslam2023
buddy hammon,marlon fleming,Beaver Eaters,Expert 5.0+,sdgrandslam2023
dylan bricker,garrett ashton,Bricklayers,Expert 5.0+,sdgrandslam2023
arrow griner,rafi moldovsky,CARL Baddie Combo,Expert 5.0+,sdgrandslam2023
david gonzales,jacob martinez,Chomar,Expert 5.0+,sdgrandslam2023
dan abrams,grant laughlin,Cigar Boys,Expert 5.0+,sdgrandslam2023
josh cain,luke pennington,Dialed,Expert 5.0+,sdgrandslam2023
eddy leung,etienne cote,Etienne/Eddy,Expert 5.0+,sdgrandslam2023
connor nelson,michael du,Fractal Spikes,Expert 5.0+,sdgrandslam2023
clifton miller,drew cummins,Friends of OC,Expert 5.0+,sdgrandslam2023
davis jung,trevor slaughter,High Guys,Expert 5.0+,sdgrandslam2023
josh hutko,quinn hufler,Hufko,Expert 5.0+,sdgrandslam2023
kyan kornfeld,matt ortlip,Korn,Expert 5.0+,sdgrandslam2023
alec galbo,james lamkin,LamBo,Expert 5.0+,sdgrandslam2023
cade larson,luke marshall,Lazy,Expert 5.0+,sdgrandslam2023
nicolas yabar,rich tarpey,Placeholder,Expert 5.0+,sdgrandslam2023
austin rawlings,malachi espinola,PNDubs,Expert 5.0+,sdgrandslam2023
jacob payer,josh fragiacomo,Psych,Expert 5.0+,sdgrandslam2023
ethan zehr,schon siguenza,Quantum State Koalas,Expert 5.0+,sdgrandslam2023
jake martha,max huang,ripcord,Expert 5.0+,sdgrandslam2023
lucas pruett,warner curtis,Screenagers,Expert 5.0+,sdgrandslam2023
dean wasil,luis orozco,Texas Blows,Expert 5.0+,sdgrandslam2023
andrew kosche,brandon brown,The Clean Crew,Expert 5.0+,sdgrandslam2023
jason rhoads,samuel buckman,The Veterans,Expert 5.0+,sdgrandslam2023
fredric hinkle,kevin um,TRP Alpha & Beta,Expert 5.0+,sdgrandslam2023
cody brown,noah johnson,Big Brown Johnson,Contender 4.5,sdgrandslam2023
dennis wei,matthew thornton,Blue Team,Contender 4.5,sdgrandslam2023
justin wang,kevin chen,Chicken Wing,Contender 4.5,sdgrandslam2023
derek mcrea,ryan baillargeon,Don’t Open the Box,Contender 4.5,sdgrandslam2023
anthony winney,jared almon,Full Tilt,Contender 4.5,sdgrandslam2023
dara akhavein,joseph lee,Gap Kids,Contender 4.5,sdgrandslam2023
isaiah sanborn,thomas pence,Guder Changeup,Contender 4.5,sdgrandslam2023
isaac holbrook,seth holbrook,Ho Jiah,Contender 4.5,sdgrandslam2023
jonathan burer,myles coleman,Jerry’s disciples,Contender 4.5,sdgrandslam2023
angel hernandez,matt sparks,Juicy Jams,Contender 4.5,sdgrandslam2023
jason bird,jonathan scheelke,Just Two Dudes,Contender 4.5,sdgrandslam2023
paige kosche,sean fireball,Meow It’s Fire Time,Contender 4.5,sdgrandslam2023
caleb yang,jade hermida,Paft Dunk,Contender 4.5,sdgrandslam2023
austin gauerke,michael soliz,Rough Sets,Contender 4.5,sdgrandslam2023
danny affleck,trevor sargent,Setting Ducks,Contender 4.5,sdgrandslam2023
andrew stevens,cade zorio,SLO Spikes,Contender 4.5,sdgrandslam2023
caleb wong,reed kellett,Slow Serves,Contender 4.5,sdgrandslam2023
alexander oleksyn,holden frey,Spike It Like You Mean It,Contender 4.5,sdgrandslam2023
oliver howard,wesley tunelius,TheGOATGene,Contender 4.5,sdgrandslam2023
evan bock,spencer giddings,Wenegade Waiders,Contender 4.5,sdgrandslam2023
christine chang,mey helm,$$rack of cash$$,Womens 4.0+,sdgrandslam2023
alex buckman,elle lowe,Alex & Elle,Womens 4.0+,sdgrandslam2023
camille anderson,kirstie savage,Anderson/Savage,Womens 4.0+,sdgrandslam2023
kayla ngai,perrin york,Aperrintly ngot,Womens 4.0+,sdgrandslam2023
ashley ortlip,sebastiani kim,Farm girls,Womens 4.0+,sdgrandslam2023
alex veron,brooke gauerke,Gauerke/Veron,Womens 4.0+,sdgrandslam2023
karah hui,tina gulden,Gulden/Hui,Womens 4.0+,sdgrandslam2023
joelle nguyen,kayla wu,Nyguendy Wu Homecoming Warrior,Womens 4.0+,sdgrandslam2023
stacey grimes,tiff ding,Tiff/Stace,Womens 4.0+,sdgrandslam2023
dane faris,kealohi grondin,Bing Bong,Advanced 3.0+,sdgrandslam2023
cameron eacobellis,colin eacobellis,Honor and Glory,Advanced 3.0+,sdgrandslam2023
blake kasama,dylan wong,Hurricanes,Advanced 3.0+,sdgrandslam2023
aaron treece,zane besler,Northern Spikes,Advanced 3.0+,sdgrandslam2023
erik geffken,isahi morales,Protein Style,Advanced 3.0+,sdgrandslam2023
kyle vandillen,nathan eberhard,Slightly Obese,Advanced 3.0+,sdgrandslam2023
mark jung,micah fukuyama,Spikey Spikey Boom Men,Advanced 3.0+,sdgrandslam2023
cooper patcheak,michael dobbs,team intermediate,Advanced 3.0+,sdgrandslam2023
daphne burdeaux,simon burdeaux,The Burds,Advanced 3.0+,sdgrandslam2023
joe caires,vivek ramchandran,We hit on two,Advanced 3.0+,sdgrandslam2023
matt rohr,peyton rohr,Bees Kneez,Intermediate 2.0+,sdgrandslam2023
aimee bird,mike bird,Birdbutt,Intermediate 2.0+,sdgrandslam2023
kaylee yoon,lyndon bui,Crazy Calzones,Intermediate 2.0+,sdgrandslam2023
emily okabe,micah lim,ELiminators,Intermediate 2.0+,sdgrandslam2023
