Player 1,Player 2,Team Name,Division,Tournament
jonathan guo,nathaniel suryabudi,Big Budis,4.0 Open Advanced,ers23nova
cj mierchuk,olivia leach,Big Time Roundnet,4.0 Open Advanced,ers23nova
rachel dolan,yanai hamel-sasson,Is there dairy in that?,4.0 Open Advanced,ers23nova
eric schuettenberg,mike uhle,Knights of the Night,4.0 Open Advanced,ers23nova
aaron witkin,baillie olin,Le Pass Down,4.0 Open Advanced,ers23nova
alex arriza,reagan gary,Paul Gobrial,4.0 Open Advanced,ers23nova
bel belvedere,james mills,Pho Kings,4.0 Open Advanced,ers23nova
ashish sakhuja,caleb taddeo,Rogo bros,4.0 Open Advanced,ers23nova
abigail lannetti,kelly field,Simply Bad,4.0 Open Advanced,ers23nova
emma hales,justin woffinden,Spike It Like It's Hot,4.0 Open Advanced,ers23nova
amanda jamieson,patrick fazzio,Sushi Roll,4.0 Open Advanced,ers23nova
drew vandenburg,kyle vandenburg,The Slammin' Vandys,4.0 Open Advanced,ers23nova
aidan murphy,sam daunt,Thunder Sharks,4.0 Open Advanced,ers23nova
bryan covell,sam pasti,Wet Fleece,4.0 Open Advanced,ers23nova
grayson szarko-berkhout,james halpin,Whiff Wizards,4.0 Open Advanced,ers23nova
kalin morgan,sarah allen,angst,4.0+ Women's Advanced,ers23nova
alyssa drain,katheleen phan,Goofy Goobers,4.0+ Women's Advanced,ers23nova
mary buys,sophia peach,Last Minute,4.0+ Women's Advanced,ers23nova
elizabeth wiecek,lourna szabanos,Liz and Lourna,4.0+ Women's Advanced,ers23nova
katie pierson,laurence vallée,Royalty,4.0+ Women's Advanced,ers23nova
allie foster,shachi patel,Veggie Tales,4.0+ Women's Advanced,ers23nova
dustin grant,riley nassour,*Not* Rookie SZN,4.5+ Contender (Open),ers23nova
ian lane,nic albornoz,55 BURGERS 55 FRIES 55 TACOS 55 PIES,4.5+ Contender (Open),ers23nova
andrew gasaway,luke hale,"All Gas, No Brakes",4.5+ Contender (Open),ers23nova
micah ressler,micah wipf,ball of duty,4.5+ Contender (Open),ers23nova
garrison eaby,landon lewicki,Balloon Knots,4.5+ Contender (Open),ers23nova
