Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Eisenträger/Siemer,Fred Potter,"eisenträger lukas, paul siemer","erik borja forschner mitre, marco navío ruiz",21,11,Pool Play,etslondon2023,Open Gold/Premier
Pilon/Sandoz,Merlor & Bird,"aymeric sandoz, élie pilon","merlin baumeler, luc bürki",21,19,Pool Play,etslondon2023,Open Gold/Premier
Pour Combien ?,Never too late,"dorian améziane, robin florinda","gabriel stoisser, marius snoeck",21,13,Pool Play,etslondon2023,Open Gold/Premier
Twinzz,[SUI] Rimle/Peter,"stefan handschmann, yosha vandaele","emanuel rimle, roman peter",20,22,Pool Play,etslondon2023,Open Gold/Premier
Jan & Nel,Serve & Chill,"jan stachiewicz, nelson dziruni","nicolas tognini, rouven felix",23,21,Pool Play,etslondon2023,Open Gold/Premier
Now That We’re Men,Tapken/Von Hänisch,"josh weinbach, trevor barbosa","clemens von hanisch, lukas tapken",21,13,Pool Play,etslondon2023,Open Gold/Premier
Lacombe/Chapelière,Fré-vor,"erwan chapeliere, hugo lacombe","frederik theunis, trevor cook",21,12,Pool Play,etslondon2023,Open Gold/Premier
Those Roundnet Players,Elbourne/Lim,"scott beeks, fredric hinkle","alex lim, mark elbourne",21,17,Pool Play,etslondon2023,Open Gold/Premier
Eisenträger/Siemer,Merlor & Bird,"eisenträger lukas, paul siemer","merlin baumeler, luc bürki",21,12,Pool Play,etslondon2023,Open Gold/Premier
Future Burnouts,Fred Potter,"markus anderle, raffael jonas","erik borja forschner mitre, marco navío ruiz",23,21,Pool Play,etslondon2023,Open Gold/Premier
Pour Combien ?,[SUI] Rimle/Peter,"dorian améziane, robin florinda","emanuel rimle, roman peter",21,19,Pool Play,etslondon2023,Open Gold/Premier
Pierre Feuille Victor,Never too late,"pierre lecrosnier, victor cambois","gabriel stoisser, marius snoeck",21,18,Pool Play,etslondon2023,Open Gold/Premier
Jan & Nel,Tapken/Von Hänisch,"jan stachiewicz, nelson dziruni","clemens von hanisch, lukas tapken",21,13,Pool Play,etslondon2023,Open Gold/Premier
Hokus Beng,Serve & Chill,"cedric widin, matias bermejo pasetti","nicolas tognini, rouven felix",21,17,Pool Play,etslondon2023,Open Gold/Premier
Lacombe/Chapelière,Elbourne/Lim,"erwan chapeliere, hugo lacombe","alex lim, mark elbourne",21,11,Pool Play,etslondon2023,Open Gold/Premier
Those Roundnet Players,Fré-vor,"scott beeks, fredric hinkle","frederik theunis, trevor cook",21,18,Pool Play,etslondon2023,Open Gold/Premier
Eisenträger/Siemer,Future Burnouts,"eisenträger lukas, paul siemer","markus anderle, raffael jonas",21,9,Pool Play,etslondon2023,Open Gold/Premier
Pilon/Sandoz,Fred Potter,"aymeric sandoz, élie pilon","erik borja forschner mitre, marco navío ruiz",21,18,Pool Play,etslondon2023,Open Gold/Premier
Pour Combien ?,Pierre Feuille Victor,"dorian améziane, robin florinda","pierre lecrosnier, victor cambois",21,17,Pool Play,etslondon2023,Open Gold/Premier
Twinzz,Never too late,"stefan handschmann, yosha vandaele","gabriel stoisser, marius snoeck",18,21,Pool Play,etslondon2023,Open Gold/Premier
Jan & Nel,Hokus Beng,"jan stachiewicz, nelson dziruni","cedric widin, matias bermejo pasetti",23,21,Pool Play,etslondon2023,Open Gold/Premier
