Player 1,Player 2,Team Name,Division,Tournament
buddy hammon,clark marshall,Assistive Touch,Premier 5.0+,saltlakecity2023
rahul murthy,will picone,Bad Combo,Premier 5.0+,saltlakecity2023
david gonzales,rendall weaver,Ball Blasters,Premier 5.0+,saltlakecity2023
benjamin banuelos,michael du,BenDu Over,Premier 5.0+,saltlakecity2023
caleb cummings,tyler fernandez,Big Dawgs,Premier 5.0+,saltlakecity2023
kaleb wagner,trey thompson,BorderLine,Premier 5.0+,saltlakecity2023
daniel blodgett,luke freimanis,Burqueños,Premier 5.0+,saltlakecity2023
charlie camarena,david mitchell,Charlie and the Chocolate Factory,Premier 5.0+,saltlakecity2023
ethan zehr,josh fragiacomo,Chelsea United,Premier 5.0+,saltlakecity2023
dan abrams,grant laughlin,Cigar Boys,Premier 5.0+,saltlakecity2023
arrow griner,slade warner,Couldn't Carry less,Premier 5.0+,saltlakecity2023
garrett carver,taylor church,"Depression, Cheez-Its, and Cargo Shorts",Premier 5.0+,saltlakecity2023
josh cain,luke pennington,Dialed,Premier 5.0+,saltlakecity2023
andrew greer,solomon berry,Disordered,Premier 5.0+,saltlakecity2023
chase meyer,clifton miller,Edgerunners,Premier 5.0+,saltlakecity2023
kyan kornfeld,nickhil anantha,Goblin giant,Premier 5.0+,saltlakecity2023
jalen butkus,john hickmott,Happenstance,Premier 5.0+,saltlakecity2023
dax o'hair,bradley thompson,here to slay,Premier 5.0+,saltlakecity2023
adam porter,garrett ashton,Hit Ball Hard,Premier 5.0+,saltlakecity2023
cody brower,trent alderfer,Hot‘n‘cold,Premier 5.0+,saltlakecity2023
blake bosak,etienne cote,Insystem,Premier 5.0+,saltlakecity2023
corey weiss,matt spolarich,Jersey Boyz,Premier 5.0+,saltlakecity2023
gabriel finocchi,fredric hinkle,Judgment Day,Premier 5.0+,saltlakecity2023
grant gouger,jesse lehn,Lanky and Clanky,Premier 5.0+,saltlakecity2023
ben arauzo,zayne shields,Last Place,Premier 5.0+,saltlakecity2023
cade larson,luke marshall,Lazy,Premier 5.0+,saltlakecity2023
christian bennett,noah luskus,Mermaid Sparkle,Premier 5.0+,saltlakecity2023
conner bradshaw,jordan freitas,Moon Boys,Premier 5.0+,saltlakecity2023
dawson morgan,luke mowry,Morgan/Mowry,Premier 5.0+,saltlakecity2023
dylan bricker,grayson m wills,Native Texans,Premier 5.0+,saltlakecity2023
