Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Insystem,AZR Spinrates,"blake bosak, etienne cote","david mitchell, jackson blackburn",21,9,Pool Play,scgrandslam2023,Expert 5.0+
Rowdy,Arrow’s Assless Chaps,"ryan oswalt, trevor barbosa","garrett meredith, schon siguenza",21,16,Pool Play,scgrandslam2023,Expert 5.0+
Bad Combo,Dive Hard,"rahul murthy, will picone","cole sanchez, nolan wynkoop",21,10,Pool Play,scgrandslam2023,Expert 5.0+
The Rule of two,Misclick,"malachi espinola, zack duffy","charlie camarena, tim gaskin",21,15,Pool Play,scgrandslam2023,Expert 5.0+
Cerebral Drizzle,Top of the Hill,"ethan mcwhirter, matthew burrows","benjamin bunze, jake oxendine",21,12,Pool Play,scgrandslam2023,Expert 5.0+
Nutted on 875,come to brazil,"brandon brown, fredric hinkle","alec galbo, max huang",21,16,Pool Play,scgrandslam2023,Expert 5.0+
BorderLine,no idea,"kaleb wagner, trey thompson","quinn hufler, tucker judkins",25,24,Pool Play,scgrandslam2023,Expert 5.0+
Dialed,Arch Enemies,"josh cain, luke pennington","franz castillo, ryan mccargar",21,18,Pool Play,scgrandslam2023,Expert 5.0+
Musty,Blanco Fuego,"jacob payer, samuel buckman","jake babbitt, joseph kaylor",21,18,Pool Play,scgrandslam2023,Expert 5.0+
Laziest,Quinn's Exes,"cade larson, kevin um","dylan medveal, jack stinson",21,19,Pool Play,scgrandslam2023,Expert 5.0+
Screenagers,SIUUUUUUUUUUUUUUUUU,"lucas pruett, warner curtis","cory chilton, kyan kornfeld",19,21,Pool Play,scgrandslam2023,Expert 5.0+
Paq’s delinquent children,Don’t Care,"garrett carver, xande plaisted","jake woolley, james lamkin",21,17,Pool Play,scgrandslam2023,Expert 5.0+
Chupacabra,Beach Bums,"kieran rose, tyler fernandez","ryan leong, sasha mariniuk",21,19,Pool Play,scgrandslam2023,Expert 5.0+
Fractal Spikes,Built Different,"connor nelson, michael du","arrow griner, david gonzales",21,13,Pool Play,scgrandslam2023,Expert 5.0+
Insystem,Arrow’s Assless Chaps,"blake bosak, etienne cote","garrett meredith, schon siguenza",21,12,Pool Play,scgrandslam2023,Expert 5.0+
Ask Nick to do the WAP,AZR Spinrates,"grayson m wills, nick wideman","david mitchell, jackson blackburn",21,17,Pool Play,scgrandslam2023,Expert 5.0+
Bad Combo,Misclick,"rahul murthy, will picone","charlie camarena, tim gaskin",21,17,Pool Play,scgrandslam2023,Expert 5.0+
The Rule of two,Cerebral Drizzle,"malachi espinola, zack duffy","ethan mcwhirter, matthew burrows",21,18,Pool Play,scgrandslam2023,Expert 5.0+
Top of the Hill,Dive Hard,"benjamin bunze, jake oxendine","cole sanchez, nolan wynkoop",21,17,Pool Play,scgrandslam2023,Expert 5.0+
Nutted on 875,no idea,"brandon brown, fredric hinkle","quinn hufler, tucker judkins",21,18,Pool Play,scgrandslam2023,Expert 5.0+
BorderLine,Dialed,"kaleb wagner, trey thompson","josh cain, luke pennington",17,21,Pool Play,scgrandslam2023,Expert 5.0+
Arch Enemies,come to brazil,"franz castillo, ryan mccargar","alec galbo, max huang",21,13,Pool Play,scgrandslam2023,Expert 5.0+
Musty,Quinn's Exes,"jacob payer, samuel buckman","dylan medveal, jack stinson",21,15,Pool Play,scgrandslam2023,Expert 5.0+
Laziest,Screenagers,"cade larson, kevin um","lucas pruett, warner curtis",19,21,Pool Play,scgrandslam2023,Expert 5.0+
SIUUUUUUUUUUUUUUUUU,Blanco Fuego,"cory chilton, kyan kornfeld","jake babbitt, joseph kaylor",18,21,Pool Play,scgrandslam2023,Expert 5.0+
Paq’s delinquent children,Beach Bums,"garrett carver, xande plaisted","ryan leong, sasha mariniuk",21,15,Pool Play,scgrandslam2023,Expert 5.0+
