Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Eisenträger/Siemer,Setters of Catan,"eisenträger lukas, paul siemer","edvin baggman, noah skogward",21,13,Pool Play,stockholm,Open Gold/Premier
Babbel Boys,Serve Boomers,"fre eskens, markus anderle","hugo lacombe, samy caux-ramon",11,21,Pool Play,stockholm,Open Gold/Premier
Les Machiines,Cobra Spike,"dorian améziane, levi vandaele","herman henström, samuel mjönes",21,10,Pool Play,stockholm,Open Gold/Premier
Roundnet Orléans,Scott/Wout,"aymeric sandoz, erwan chapeliere","scott beeks, wout geeraerts",17,21,Pool Play,stockholm,Open Gold/Premier
Mathieu/Pilon,Bavaria meets Texas,"olivier laurin, vincent mathieu","jack granger, jakub popluhar",21,14,Pool Play,stockholm,Open Gold/Premier
Hokus Beng,nerds in disguise,"cedric widin, matias bermejo pasetti","david jindra, stefan handschmann",14,21,Pool Play,stockholm,Open Gold/Premier
Machine slayers,Perplexing Zwambo,"robin florinda, yosha vandaele","frederik theunis, lucca hardes",16,21,Pool Play,stockholm,Open Gold/Premier
RCG Powerline,LTTL RNDNT,"benjamin bachler, nelson dziruni","lukas tapken, timo lorenzen",21,19,Pool Play,stockholm,Open Gold/Premier
Never Cold🌡️,TWO SWEDES,"jan stachiewicz, jaroslav čabala","esaja ekman, simon stenquist",16,21,Pool Play,stockholm,Open Gold/Premier
Pump up the Jam,Pierre Feuille Victor,"fabian claus, peer kanis","pierre lecrosnier, victor cambois",21,14,Pool Play,stockholm,Open Gold/Premier
Eisenträger/Siemer,Serve Boomers,"eisenträger lukas, paul siemer","hugo lacombe, samy caux-ramon",21,16,Pool Play,stockholm,Open Gold/Premier
Babbel Boys,Setters of Catan,"fre eskens, markus anderle","edvin baggman, noah skogward",16,21,Pool Play,stockholm,Open Gold/Premier
Les Machiines,Scott/Wout,"dorian améziane, levi vandaele","scott beeks, wout geeraerts",21,17,Pool Play,stockholm,Open Gold/Premier
Roundnet Orléans,Cobra Spike,"aymeric sandoz, erwan chapeliere","herman henström, samuel mjönes",21,17,Pool Play,stockholm,Open Gold/Premier
Mathieu/Pilon,nerds in disguise,"olivier laurin, vincent mathieu","david jindra, stefan handschmann",21,16,Pool Play,stockholm,Open Gold/Premier
Hokus Beng,Bavaria meets Texas,"cedric widin, matias bermejo pasetti","jack granger, jakub popluhar",21,17,Pool Play,stockholm,Open Gold/Premier
Machine slayers,LTTL RNDNT,"robin florinda, yosha vandaele","lukas tapken, timo lorenzen",21,19,Pool Play,stockholm,Open Gold/Premier
RCG Powerline,Perplexing Zwambo,"benjamin bachler, nelson dziruni","frederik theunis, lucca hardes",21,13,Pool Play,stockholm,Open Gold/Premier
Never Cold🌡️,Pierre Feuille Victor,"jan stachiewicz, jaroslav čabala","pierre lecrosnier, victor cambois",18,21,Pool Play,stockholm,Open Gold/Premier
Pump up the Jam,TWO SWEDES,"fabian claus, peer kanis","esaja ekman, simon stenquist",21,15,Pool Play,stockholm,Open Gold/Premier
Eisenträger/Siemer,Babbel Boys,"eisenträger lukas, paul siemer","fre eskens, markus anderle",21,8,Pool Play,stockholm,Open Gold/Premier
Serve Boomers,Setters of Catan,"hugo lacombe, samy caux-ramon","edvin baggman, noah skogward",21,16,Pool Play,stockholm,Open Gold/Premier
Les Machiines,Roundnet Orléans,"dorian améziane, levi vandaele","aymeric sandoz, erwan chapeliere",21,17,Pool Play,stockholm,Open Gold/Premier
Scott/Wout,Cobra Spike,"scott beeks, wout geeraerts","herman henström, samuel mjönes",21,16,Pool Play,stockholm,Open Gold/Premier
Mathieu/Pilon,Hokus Beng,"olivier laurin, vincent mathieu","cedric widin, matias bermejo pasetti",24,22,Pool Play,stockholm,Open Gold/Premier
nerds in disguise,Bavaria meets Texas,"david jindra, stefan handschmann","jack granger, jakub popluhar",20,22,Pool Play,stockholm,Open Gold/Premier
Machine slayers,RCG Powerline,"robin florinda, yosha vandaele","benjamin bachler, nelson dziruni",21,17,Pool Play,stockholm,Open Gold/Premier
LTTL RNDNT,Perplexing Zwambo,"lukas tapken, timo lorenzen","frederik theunis, lucca hardes",17,21,Pool Play,stockholm,Open Gold/Premier
Never Cold🌡️,Pump up the Jam,"jan stachiewicz, jaroslav čabala","fabian claus, peer kanis",16,21,Pool Play,stockholm,Open Gold/Premier
Pierre Feuille Victor,TWO SWEDES,"pierre lecrosnier, victor cambois","esaja ekman, simon stenquist",18,21,Pool Play,stockholm,Open Gold/Premier
Kuba/Nora,Die Knaller,"jakub víšek, nora haas","cedric strehllw, león kraft",23,21,Pool Play,stockholm,Open Contender
Nimi Hattuun,Cobra Cut,"mikko alitalo, tuomas orava","elias erlandsson, noa ljung",9,21,Pool Play,stockholm,Open Contender
Danskjävlar!,maiorca university exchange students,"jakob blaaholm nielsen, mathias linnet","lauma ernestsone, matīss apinis",21,11,Pool Play,stockholm,Open Contender
Flying Otter,Alley-Whoops,"maximilian knoll, sebastian christophe","fred isaksson, william mehler",16,21,Pool Play,stockholm,Open Contender
Flatshot,Mäkelä/Seitz,"gabriel stoisser, mathias gangkofner","kevin mäkelä, simeon seitz",21,12,Pool Play,stockholm,Open Contender
Allegro,A cyan Cobra says GG Eazy,"dāvis brizga, jans vanags","felix millton, noel svensson",14,21,Pool Play,stockholm,Open Contender
"halo, halo, palma?",Rokas,"aleksandrs juška, mikus jaunpetrovičs","kārlis kazakupčs, renārs e",21,9,Pool Play,stockholm,Open Contender
It's Called Soccer,M&M,"amrit hingorani, james jewitt","michał gacek, michał stachurski",21,7,Pool Play,stockholm,Open Contender
NBS,Roundnet Rascals,"jeppe norlyk hansen, malte klinkby","alfred forneheim, daniel svärd",21,12,Pool Play,stockholm,Open Contender
ultra Instinct,Magic Bears,"florian dibold, maher saadeddin","adam cook, rasmus henriksson",21,17,Pool Play,stockholm,Open Contender
Imbm & Pimpampel,Serves up,"david leidenfrost, pol lutsch","noah ståhl, teodor jonsson",21,11,Pool Play,stockholm,Open Contender
Asian persuasion,Los Kuikelos,"jamie douglas, michael pang","johannes peltonen, jussi kelavuori",10,21,Pool Play,stockholm,Open Contender
Bottom on tops,Takk for det!,"faisal sayyed, thomas pschaid","truls abrahamsen, tuomas kauppinen",21,13,Pool Play,stockholm,Open Contender
Lords of London,Braunschweiger Jungs,"alex rokotas, harvey jackson","julian liborius, max seikowsky",22,20,Pool Play,stockholm,Open Contender
Golden Derby,Charlie’s Angel,"alec gautier, yanis bouchemoua","apurba subedi, charlie wilson",21,15,Pool Play,stockholm,Open Contender
Jorge/Seb,Up and Running,"jorge donayre, sebi mezzey","colten van etten, hauke wernecke",21,12,Pool Play,stockholm,Open Contender
Lucassoulet,Sugar & Spike,"lucas cornut, paul halphen","alekss demidovs, valters salzirnis",21,11,Pool Play,stockholm,Open Contender
Kuba/Nora,Cobra Cut,"jakub víšek, nora haas","elias erlandsson, noa ljung",19,21,Pool Play,stockholm,Open Contender
Hämpton Brothers,Die Knaller,"kari kyläinpää, kosti kyläinpää","cedric strehllw, león kraft",18,21,Pool Play,stockholm,Open Contender
Danskjävlar!,Alley-Whoops,"jakob blaaholm nielsen, mathias linnet","fred isaksson, william mehler",21,18,Pool Play,stockholm,Open Contender
KRC North,maiorca university exchange students,"benjamin aasen, jørgen steinsholt","lauma ernestsone, matīss apinis",21,12,Pool Play,stockholm,Open Contender
Flatshot,A cyan Cobra says GG Eazy,"gabriel stoisser, mathias gangkofner","felix millton, noel svensson",17,21,Pool Play,stockholm,Open Contender
Tomato‘s,Mäkelä/Seitz,"manuel berndt, toma gadjev","kevin mäkelä, simeon seitz",21,9,Pool Play,stockholm,Open Contender
"halo, halo, palma?",M&M,"aleksandrs juška, mikus jaunpetrovičs","michał gacek, michał stachurski",21,10,Pool Play,stockholm,Open Contender
Trymad,Rokas,"madalin popa, traian colac","kārlis kazakupčs, renārs e",21,11,Pool Play,stockholm,Open Contender
NBS,Magic Bears,"jeppe norlyk hansen, malte klinkby","adam cook, rasmus henriksson",21,12,Pool Play,stockholm,Open Contender
Gold Diggers,Roundnet Rascals,"yazan omarien, christoffer westerland","alfred forneheim, daniel svärd",18,21,Pool Play,stockholm,Open Contender
Imbm & Pimpampel,Los Kuikelos,"david leidenfrost, pol lutsch","johannes peltonen, jussi kelavuori",21,13,Pool Play,stockholm,Open Contender
Billie Eilish,Serves up,"marcus gauterin, sascha lang","noah ståhl, teodor jonsson",21,10,Pool Play,stockholm,Open Contender
Bottom on tops,Braunschweiger Jungs,"faisal sayyed, thomas pschaid","julian liborius, max seikowsky",15,21,Pool Play,stockholm,Open Contender
Lang & grimmig,Takk for det!,"martin lang, nils grimm","truls abrahamsen, tuomas kauppinen",21,11,Pool Play,stockholm,Open Contender
R-UNIT,Charlie’s Angel,"reinis pavlovskis, rihards repels","apurba subedi, charlie wilson",21,14,Pool Play,stockholm,Open Contender
Jorge/Seb,Sugar & Spike,"jorge donayre, sebi mezzey","alekss demidovs, valters salzirnis",21,13,Pool Play,stockholm,Open Contender
Zvērs / Lapsa,Up and Running,"intars lapsa, mārtiņš jaunpetrovičs","colten van etten, hauke wernecke",13,21,Pool Play,stockholm,Open Contender
Kuba/Nora,Hämpton Brothers,"jakub víšek, nora haas","kari kyläinpää, kosti kyläinpää",21,13,Pool Play,stockholm,Open Contender
Nimi Hattuun,Die Knaller,"mikko alitalo, tuomas orava","cedric strehllw, león kraft",15,21,Pool Play,stockholm,Open Contender
Danskjävlar!,KRC North,"jakob blaaholm nielsen, mathias linnet","benjamin aasen, jørgen steinsholt",21,15,Pool Play,stockholm,Open Contender
Flying Otter,maiorca university exchange students,"maximilian knoll, sebastian christophe","lauma ernestsone, matīss apinis",21,15,Pool Play,stockholm,Open Contender
Flatshot,Tomato‘s,"gabriel stoisser, mathias gangkofner","manuel berndt, toma gadjev",25,24,Pool Play,stockholm,Open Contender
Allegro,Mäkelä/Seitz,"dāvis brizga, jans vanags","kevin mäkelä, simeon seitz",21,14,Pool Play,stockholm,Open Contender
"halo, halo, palma?",Trymad,"aleksandrs juška, mikus jaunpetrovičs","madalin popa, traian colac",21,14,Pool Play,stockholm,Open Contender
It's Called Soccer,Rokas,"amrit hingorani, james jewitt","kārlis kazakupčs, renārs e",21,7,Pool Play,stockholm,Open Contender
NBS,Gold Diggers,"jeppe norlyk hansen, malte klinkby","yazan omarien, christoffer westerland",21,18,Pool Play,stockholm,Open Contender
ultra Instinct,Roundnet Rascals,"florian dibold, maher saadeddin","alfred forneheim, daniel svärd",21,15,Pool Play,stockholm,Open Contender
Imbm & Pimpampel,Billie Eilish,"david leidenfrost, pol lutsch","marcus gauterin, sascha lang",11,21,Pool Play,stockholm,Open Contender
Asian persuasion,Serves up,"jamie douglas, michael pang","noah ståhl, teodor jonsson",21,16,Pool Play,stockholm,Open Contender
Bottom on tops,Lang & grimmig,"faisal sayyed, thomas pschaid","martin lang, nils grimm",18,21,Pool Play,stockholm,Open Contender
Lords of London,Takk for det!,"alex rokotas, harvey jackson","truls abrahamsen, tuomas kauppinen",21,14,Pool Play,stockholm,Open Contender
R-UNIT,Swedish Knights,"reinis pavlovskis, rihards repels","max jansson, william oppenheimer",21,18,Pool Play,stockholm,Open Contender
Jorge/Seb,Zvērs / Lapsa,"jorge donayre, sebi mezzey","intars lapsa, mārtiņš jaunpetrovičs",21,15,Pool Play,stockholm,Open Contender
Lucassoulet,Up and Running,"lucas cornut, paul halphen","colten van etten, hauke wernecke",21,10,Pool Play,stockholm,Open Contender
Nimi Hattuun,Hämpton Brothers,"mikko alitalo, tuomas orava","kari kyläinpää, kosti kyläinpää",17,21,Pool Play,stockholm,Open Contender
Cobra Cut,Die Knaller,"elias erlandsson, noa ljung","cedric strehllw, león kraft",16,21,Pool Play,stockholm,Open Contender
Flying Otter,KRC North,"maximilian knoll, sebastian christophe","benjamin aasen, jørgen steinsholt",19,21,Pool Play,stockholm,Open Contender
Alley-Whoops,maiorca university exchange students,"fred isaksson, william mehler","lauma ernestsone, matīss apinis",22,20,Pool Play,stockholm,Open Contender
Allegro,Tomato‘s,"dāvis brizga, jans vanags","manuel berndt, toma gadjev",14,21,Pool Play,stockholm,Open Contender
A cyan Cobra says GG Eazy,Mäkelä/Seitz,"felix millton, noel svensson","kevin mäkelä, simeon seitz",21,14,Pool Play,stockholm,Open Contender
It's Called Soccer,Trymad,"amrit hingorani, james jewitt","madalin popa, traian colac",16,21,Pool Play,stockholm,Open Contender
M&M,Rokas,"michał gacek, michał stachurski","kārlis kazakupčs, renārs e",25,23,Pool Play,stockholm,Open Contender
ultra Instinct,Gold Diggers,"florian dibold, maher saadeddin","yazan omarien, christoffer westerland",21,18,Pool Play,stockholm,Open Contender
Magic Bears,Roundnet Rascals,"adam cook, rasmus henriksson","alfred forneheim, daniel svärd",17,21,Pool Play,stockholm,Open Contender
Asian persuasion,Billie Eilish,"jamie douglas, michael pang","marcus gauterin, sascha lang",11,21,Pool Play,stockholm,Open Contender
Los Kuikelos,Serves up,"johannes peltonen, jussi kelavuori","noah ståhl, teodor jonsson",21,15,Pool Play,stockholm,Open Contender
Lords of London,Lang & grimmig,"alex rokotas, harvey jackson","martin lang, nils grimm",17,21,Pool Play,stockholm,Open Contender
