Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Muscle Mommy,skill issue,"blake bosak, noah luskus","kyan kornfeld, nickhil anantha",21,17,Pool Play,tograndslam2023,Expert 5.0+
Rhoad work,Premier Rizz,"andrew kosche, jason rhoads","nathaniel schrag, ryan mccargar",21,19,Pool Play,tograndslam2023,Expert 5.0+
Acing John Choi is the best feeling,Orange Dream,"ethan zehr, matt ortlip","archie powell, warner curtis",21,14,Pool Play,tograndslam2023,Expert 5.0+
Lazier,Dialed,"cade larson, fredric hinkle","josh cain, luke pennington",24,22,Pool Play,tograndslam2023,Expert 5.0+
WySpike Synergy,Capobianco/Sandberg,"matthew burrows, nick noguez","camden sandberg, michael capobianco",21,18,Pool Play,tograndslam2023,Expert 5.0+
Bad Habit,Dylan,"cole maddox, kieran rose","dylan bricker, dylan medveal",22,20,Pool Play,tograndslam2023,Expert 5.0+
Cigar Boys,AZR Rice Babes,"dan abrams, grant laughlin","aidan mackey, tayt rogers",21,11,Pool Play,tograndslam2023,Expert 5.0+
Three Crowns,Ankle Issues,"samuel buckman, warren foote","erik faeustle, noah saddik",21,12,Pool Play,tograndslam2023,Expert 5.0+
David GOONzales,Gumbies,"jacob martinez, schon siguenza","bram declercq, dean wasil",21,23,Pool Play,tograndslam2023,Expert 5.0+
Woooooo,Bizzy Bizzy,"etienne cote, nick wideman","benjamin banuelos, cory chilton",21,17,Pool Play,tograndslam2023,Expert 5.0+
Prophecy,Royal Flush,"andrew christmas, caleb cummings","bryant karratti, jake lebaron",21,15,Pool Play,tograndslam2023,Expert 5.0+
stinky,Stay Brown,"lucas pruett, tucker judkins","brandon brown, drew cummins",16,21,Pool Play,tograndslam2023,Expert 5.0+
Rain or Shine,In Due Time,"evan denny, malachi espinola","michael du, tim gaskin",21,15,Pool Play,tograndslam2023,Expert 5.0+
Endgame,Acing Ethan and Matt is the best,"josh fragiacomo, trevor barbosa","clifton miller, john choi",21,10,Pool Play,tograndslam2023,Expert 5.0+
Jesus Swept.,Taylor and Xande,"jalen butkus, solomon berry","taylor church, xande plaisted",17,21,Pool Play,tograndslam2023,Expert 5.0+
Muscle Mommy,Premier Rizz,"blake bosak, noah luskus","nathaniel schrag, ryan mccargar",21,7,Pool Play,tograndslam2023,Expert 5.0+
Rhoad work,Acing John Choi is the best feeling,"andrew kosche, jason rhoads","ethan zehr, matt ortlip",25,24,Pool Play,tograndslam2023,Expert 5.0+
Orange Dream,skill issue,"archie powell, warner curtis","kyan kornfeld, nickhil anantha",20,22,Pool Play,tograndslam2023,Expert 5.0+
Lazier,Capobianco/Sandberg,"cade larson, fredric hinkle","camden sandberg, michael capobianco",21,18,Pool Play,tograndslam2023,Expert 5.0+
WySpike Synergy,Bad Habit,"matthew burrows, nick noguez","cole maddox, kieran rose",21,17,Pool Play,tograndslam2023,Expert 5.0+
Dylan,Dialed,"dylan bricker, dylan medveal","josh cain, luke pennington",11,21,Pool Play,tograndslam2023,Expert 5.0+
Cigar Boys,Ankle Issues,"dan abrams, grant laughlin","erik faeustle, noah saddik",21,18,Pool Play,tograndslam2023,Expert 5.0+
Three Crowns,David GOONzales,"samuel buckman, warren foote","jacob martinez, schon siguenza",21,19,Pool Play,tograndslam2023,Expert 5.0+
Gumbies,AZR Rice Babes,"bram declercq, dean wasil","aidan mackey, tayt rogers",21,18,Pool Play,tograndslam2023,Expert 5.0+
Woooooo,Royal Flush,"etienne cote, nick wideman","bryant karratti, jake lebaron",21,18,Pool Play,tograndslam2023,Expert 5.0+
Prophecy,stinky,"andrew christmas, caleb cummings","lucas pruett, tucker judkins",21,14,Pool Play,tograndslam2023,Expert 5.0+
Stay Brown,Bizzy Bizzy,"brandon brown, drew cummins","benjamin banuelos, cory chilton",21,15,Pool Play,tograndslam2023,Expert 5.0+
Rain or Shine,Acing Ethan and Matt is the best,"evan denny, malachi espinola","clifton miller, john choi",21,15,Pool Play,tograndslam2023,Expert 5.0+
Endgame,Jesus Swept.,"josh fragiacomo, trevor barbosa","jalen butkus, solomon berry",21,15,Pool Play,tograndslam2023,Expert 5.0+
Taylor and Xande,In Due Time,"taylor church, xande plaisted","michael du, tim gaskin",21,10,Pool Play,tograndslam2023,Expert 5.0+
Muscle Mommy,Orange Dream,"blake bosak, noah luskus","archie powell, warner curtis",21,11,Pool Play,tograndslam2023,Expert 5.0+
Rhoad work,skill issue,"andrew kosche, jason rhoads","kyan kornfeld, nickhil anantha",13,21,Pool Play,tograndslam2023,Expert 5.0+
Acing John Choi is the best feeling,Premier Rizz,"ethan zehr, matt ortlip","nathaniel schrag, ryan mccargar",21,16,Pool Play,tograndslam2023,Expert 5.0+
