Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Defense is Dead(ly),What's the Chance?,"chandler hertzler, tyler stokes","dallin zibetti, john hickmott",21,13,Pool Play,2023af,5.0 Premier w/NHZ
Prime Rim,Over-Invested in Defense (Like the USA),"cody brower, matt barlow","jake lebaron, remi prince",16,21,Pool Play,2023af,5.0 Premier w/NHZ
Garrett²,Valhalla,"garrett ashton, garrett carver","alex tamang, kannon forbush",21,19,Pool Play,2023af,5.0 Premier w/NHZ
Greedy,Tall+Dark=Handsome,"andrew greer, dylan mundy","bryant karratti, derek bonney",21,17,Pool Play,2023af,5.0 Premier w/NHZ
Defense is Dead(ly),Over-Invested in Defense (Like the USA),"chandler hertzler, tyler stokes","jake lebaron, remi prince",21,18,Pool Play,2023af,5.0 Premier w/NHZ
Prime Rim,What's the Chance?,"cody brower, matt barlow","dallin zibetti, john hickmott",21,10,Pool Play,2023af,5.0 Premier w/NHZ
Garrett²,Tall+Dark=Handsome,"garrett ashton, garrett carver","bryant karratti, derek bonney",22,24,Pool Play,2023af,5.0 Premier w/NHZ
Greedy,Valhalla,"andrew greer, dylan mundy","alex tamang, kannon forbush",21,10,Pool Play,2023af,5.0 Premier w/NHZ
Defense is Dead(ly),Prime Rim,"chandler hertzler, tyler stokes","cody brower, matt barlow",21,6,Pool Play,2023af,5.0 Premier w/NHZ
Over-Invested in Defense (Like the USA),What's the Chance?,"jake lebaron, remi prince","dallin zibetti, john hickmott",21,11,Pool Play,2023af,5.0 Premier w/NHZ
Garrett²,Greedy,"garrett ashton, garrett carver","andrew greer, dylan mundy",24,25,Pool Play,2023af,5.0 Premier w/NHZ
Tall+Dark=Handsome,Valhalla,"bryant karratti, derek bonney","alex tamang, kannon forbush",23,21,Pool Play,2023af,5.0 Premier w/NHZ
Defense is Dead(ly),What's the Chance?,"chandler hertzler, tyler stokes","dallin zibetti, john hickmott",21,14,Pool Play,2023af,5.0 Premier w/NHZ
Prime Rim,Over-Invested in Defense (Like the USA),"cody brower, matt barlow","jake lebaron, remi prince",22,24,Pool Play,2023af,5.0 Premier w/NHZ
Garrett²,Valhalla,"garrett ashton, garrett carver","alex tamang, kannon forbush",21,14,Pool Play,2023af,5.0 Premier w/NHZ
Greedy,Tall+Dark=Handsome,"andrew greer, dylan mundy","bryant karratti, derek bonney",16,21,Pool Play,2023af,5.0 Premier w/NHZ
Defense is Dead(ly),Over-Invested in Defense (Like the USA),"chandler hertzler, tyler stokes","jake lebaron, remi prince",22,20,Pool Play,2023af,5.0 Premier w/NHZ
Prime Rim,What's the Chance?,"cody brower, matt barlow","dallin zibetti, john hickmott",21,17,Pool Play,2023af,5.0 Premier w/NHZ
Garrett²,Tall+Dark=Handsome,"garrett ashton, garrett carver","bryant karratti, derek bonney",17,21,Pool Play,2023af,5.0 Premier w/NHZ
Greedy,Valhalla,"andrew greer, dylan mundy","alex tamang, kannon forbush",21,16,Pool Play,2023af,5.0 Premier w/NHZ
Defense is Dead(ly),Prime Rim,"chandler hertzler, tyler stokes","cody brower, matt barlow",11,21,Pool Play,2023af,5.0 Premier w/NHZ
Over-Invested in Defense (Like the USA),What's the Chance?,"jake lebaron, remi prince","dallin zibetti, john hickmott",21,14,Pool Play,2023af,5.0 Premier w/NHZ
Garrett²,Greedy,"garrett ashton, garrett carver","andrew greer, dylan mundy",21,19,Pool Play,2023af,5.0 Premier w/NHZ
Tall+Dark=Handsome,Valhalla,"bryant karratti, derek bonney","alex tamang, kannon forbush",25,24,Pool Play,2023af,5.0 Premier w/NHZ
Mini Tramp Medalists,Mike and spIke,"daniel feller, justin anderson","chris sorensen, michael sampson",21,11,Pool Play,2023af,4.5 Elite w/NHZ
Rakes,Bex +1,"lazarus shettell, ty wakefield","becca feller, matt murray",21,18,Pool Play,2023af,4.5 Elite w/NHZ
Mini Tramp Medalists,Da bois,"daniel feller, justin anderson","cade cote, max wright",22,24,Pool Play,2023af,4.5 Elite w/NHZ
Bex +1,Mike and spIke,"becca feller, matt murray","chris sorensen, michael sampson",21,23,Pool Play,2023af,4.5 Elite w/NHZ
Mini Tramp Medalists,Bex +1,"daniel feller, justin anderson","becca feller, matt murray",17,21,Pool Play,2023af,4.5 Elite w/NHZ
Rakes,Da bois,"lazarus shettell, ty wakefield","cade cote, max wright",17,21,Pool Play,2023af,4.5 Elite w/NHZ
Mini Tramp Medalists,Rakes,"daniel feller, justin anderson","lazarus shettell, ty wakefield",21,13,Pool Play,2023af,4.5 Elite w/NHZ
Da bois,Mike and spIke,"cade cote, max wright","chris sorensen, michael sampson",21,9,Pool Play,2023af,4.5 Elite w/NHZ
Rakes,Mike and spIke,"lazarus shettell, ty wakefield","chris sorensen, michael sampson",21,12,Pool Play,2023af,4.5 Elite w/NHZ
Bex +1,Da bois,"becca feller, matt murray","cade cote, max wright",13,21,Pool Play,2023af,4.5 Elite w/NHZ
Pizza Pocket Rockets,The A-Dawgs,"levi arzac, ryker brann","aiden bethers, alvin yuan",21,8,Pool Play,2023af,4.0 Advanced w/NHZ
