Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Chandler is my handler,Mountain Goates,"chandler hertzler, garrett carver","benson goates, connor anderson",21,18,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Stokes / Barlow,Jarmunji,"matt barlow, tyler stokes","caleb jarrett, dylan mundy",16,21,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Disordered,C Link,"andrew greer, solomon berry","james lamkin, curtis lawrence",21,10,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Church/Lin,Serveball,"joshua lin, taylor church","cody brower, devin tuttle",21,17,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Chandler is my handler,Jarmunji,"chandler hertzler, garrett carver","caleb jarrett, dylan mundy",19,21,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Stokes / Barlow,Mountain Goates,"matt barlow, tyler stokes","benson goates, connor anderson",21,13,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Disordered,Serveball,"andrew greer, solomon berry","cody brower, devin tuttle",21,11,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Church/Lin,C Link,"joshua lin, taylor church","james lamkin, curtis lawrence",19,21,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Chandler is my handler,Stokes / Barlow,"chandler hertzler, garrett carver","matt barlow, tyler stokes",16,21,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Jarmunji,Mountain Goates,"caleb jarrett, dylan mundy","benson goates, connor anderson",21,16,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Disordered,Church/Lin,"andrew greer, solomon berry","joshua lin, taylor church",21,17,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Serveball,C Link,"cody brower, devin tuttle","james lamkin, curtis lawrence",21,14,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Chandler is my handler,Mountain Goates,"chandler hertzler, garrett carver","benson goates, connor anderson",21,12,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Stokes / Barlow,Jarmunji,"matt barlow, tyler stokes","caleb jarrett, dylan mundy",8,21,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Disordered,C Link,"andrew greer, solomon berry","james lamkin, curtis lawrence",21,10,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Church/Lin,Serveball,"joshua lin, taylor church","cody brower, devin tuttle",18,21,Pool Play,2023back-to-school,5.0 Premier w/NHZ
Chandler is my handler,Jarmunji,"chandler hertzler, garrett carver","caleb jarrett, dylan mundy",17,21,Pool Play,2023back-to-school,5.0 Premier w/NHZ
