Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
BackPaq,Southside Spike,"anthony clifford, bryant karratti","camden sandberg, grant marshall",15,13,Pool Play,2023dixie,5.0 Premier w/NHZ
Xande/Church,Jake’s from State Farm,"taylor church, xande plaisted","jacob page, jake lebaron",15,8,Pool Play,2023dixie,5.0 Premier w/NHZ
BackPaq,Jake’s from State Farm,"anthony clifford, bryant karratti","jacob page, jake lebaron",15,10,Pool Play,2023dixie,5.0 Premier w/NHZ
Xande/Church,Solly & Trent,"taylor church, xande plaisted","solomon berry, trent alderfer",15,9,Pool Play,2023dixie,5.0 Premier w/NHZ
Xande/Church,Chandler is my handler,"taylor church, xande plaisted","chandler hertzler, garrett carver",15,13,Pool Play,2023dixie,5.0 Premier w/NHZ
Solly & Trent,Jake’s from State Farm,"solomon berry, trent alderfer","jacob page, jake lebaron",15,10,Pool Play,2023dixie,5.0 Premier w/NHZ
BackPaq,Solly & Trent,"anthony clifford, bryant karratti","solomon berry, trent alderfer",15,13,Pool Play,2023dixie,5.0 Premier w/NHZ
Xande/Church,Southside Spike,"taylor church, xande plaisted","camden sandberg, grant marshall",15,10,Pool Play,2023dixie,5.0 Premier w/NHZ
Chandler is my handler,Jake’s from State Farm,"chandler hertzler, garrett carver","jacob page, jake lebaron",15,13,Pool Play,2023dixie,5.0 Premier w/NHZ
Chandler is my handler,Solly & Trent,"chandler hertzler, garrett carver","solomon berry, trent alderfer",15,13,Pool Play,2023dixie,5.0 Premier w/NHZ
Jake’s from State Farm,Southside Spike,"jacob page, jake lebaron","camden sandberg, grant marshall",10,15,Pool Play,2023dixie,5.0 Premier w/NHZ
BackPaq,Chandler is my handler,"anthony clifford, bryant karratti","chandler hertzler, garrett carver",16,14,Pool Play,2023dixie,5.0 Premier w/NHZ
Solly & Trent,Southside Spike,"solomon berry, trent alderfer","camden sandberg, grant marshall",15,11,Pool Play,2023dixie,5.0 Premier w/NHZ
BackPaq,Xande/Church,"anthony clifford, bryant karratti","taylor church, xande plaisted",15,11,Pool Play,2023dixie,5.0 Premier w/NHZ
Chandler is my handler,Southside Spike,"chandler hertzler, garrett carver","camden sandberg, grant marshall",15,13,Pool Play,2023dixie,5.0 Premier w/NHZ
Egg,Take 2nd,"jacob lunt, jaren haggard","cade wallace, casey harman",19,21,Pool Play,2023dixie,4.5 Elite w/NHZ
Dylan/Kirstie/Danny,Cool as beans,"daniel feller, dylan mundy","aaron fox, ashton lee",21,17,Pool Play,2023dixie,4.5 Elite w/NHZ
Bushlow,Take 2nd,"kannon forbush, matt barlow","cade wallace, casey harman",21,16,Pool Play,2023dixie,4.5 Elite w/NHZ
The Savage Prince,Cool as beans,"kirstie savage, remi prince","aaron fox, ashton lee",21,16,Pool Play,2023dixie,4.5 Elite w/NHZ
Dylan/Kirstie/Danny,The Savage Prince,"daniel feller, dylan mundy","kirstie savage, remi prince",21,18,Pool Play,2023dixie,4.5 Elite w/NHZ
Bushlow,Egg,"kannon forbush, matt barlow","jacob lunt, jaren haggard",21,18,Pool Play,2023dixie,4.5 Elite w/NHZ
C-ville Bros.,Spike Spies,"scotty cutler, taylor cutler","becca feller, cara page",15,12,Pool Play,2023dixie,4.0 Advanced w/NHZ
Wheaties box rejects,Durf or Nothin,"josh freeman, seth lee","caleb stearman, kade madsen",15,8,Pool Play,2023dixie,4.0 Advanced w/NHZ
Rakes,The Real Slim Shadies,"lazarus shettell, ty wakefield","benjamin murray, luke munson",15,7,Pool Play,2023dixie,4.0 Advanced w/NHZ
C-ville Bros.,The Real Slim Shadies,"scotty cutler, taylor cutler","benjamin murray, luke munson",5,15,Pool Play,2023dixie,4.0 Advanced w/NHZ
Wheaties box rejects,Rakes,"josh freeman, seth lee","lazarus shettell, ty wakefield",15,13,Pool Play,2023dixie,4.0 Advanced w/NHZ
Durf or Nothin,literally stupid,"caleb stearman, kade madsen","daniel wight, sidney pharr",15,10,Pool Play,2023dixie,4.0 Advanced w/NHZ
C-ville Bros.,Wheaties box rejects,"scotty cutler, taylor cutler","josh freeman, seth lee",7,15,Pool Play,2023dixie,4.0 Advanced w/NHZ
Rakes,literally stupid,"lazarus shettell, ty wakefield","daniel wight, sidney pharr",12,15,Pool Play,2023dixie,4.0 Advanced w/NHZ
The Real Slim Shadies,Spike Spies,"benjamin murray, luke munson","becca feller, cara page",15,8,Pool Play,2023dixie,4.0 Advanced w/NHZ
C-ville Bros.,literally stupid,"scotty cutler, taylor cutler","daniel wight, sidney pharr",10,15,Pool Play,2023dixie,4.0 Advanced w/NHZ
Wheaties box rejects,Spike Spies,"josh freeman, seth lee","becca feller, cara page",15,7,Pool Play,2023dixie,4.0 Advanced w/NHZ
Rakes,Durf or Nothin,"lazarus shettell, ty wakefield","caleb stearman, kade madsen",15,6,Pool Play,2023dixie,4.0 Advanced w/NHZ
C-ville Bros.,Durf or Nothin,"scotty cutler, taylor cutler","caleb stearman, kade madsen",15,10,Pool Play,2023dixie,4.0 Advanced w/NHZ
