Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
K/FC,Rakes,"bryant karratti, taylor church","lazarus shettell, ty wakefield",21,6,Pool Play,2023pg,4.5 Elite w/NHZ
Salty when I Faulty,Read It Like A Book,"brady price, remi prince","casey harman, jacob lunt",21,17,Pool Play,2023pg,4.5 Elite w/NHZ
Stokes / Barlow,Clean Combo,"matt barlow, tyler stokes","aaron holt, ezra belnap",21,11,Pool Play,2023pg,4.5 Elite w/NHZ
ball touchers,Pickles,"ashton lee, kannon forbush","preston haight, spencer straddeck",19,21,Pool Play,2023pg,4.5 Elite w/NHZ
K/FC,Read It Like A Book,"bryant karratti, taylor church","casey harman, jacob lunt",21,15,Pool Play,2023pg,4.5 Elite w/NHZ
Page/Mundy,Rakes,"dylan mundy, jacob page","lazarus shettell, ty wakefield",21,16,Pool Play,2023pg,4.5 Elite w/NHZ
Stokes / Barlow,Pickles,"matt barlow, tyler stokes","preston haight, spencer straddeck",21,13,Pool Play,2023pg,4.5 Elite w/NHZ
MOna LEEsa,Clean Combo,"mo beard, seth lee","aaron holt, ezra belnap",21,18,Pool Play,2023pg,4.5 Elite w/NHZ
K/FC,Page/Mundy,"bryant karratti, taylor church","dylan mundy, jacob page",21,16,Pool Play,2023pg,4.5 Elite w/NHZ
Salty when I Faulty,Rakes,"brady price, remi prince","lazarus shettell, ty wakefield",21,10,Pool Play,2023pg,4.5 Elite w/NHZ
Stokes / Barlow,MOna LEEsa,"matt barlow, tyler stokes","mo beard, seth lee",21,13,Pool Play,2023pg,4.5 Elite w/NHZ
ball touchers,Clean Combo,"ashton lee, kannon forbush","aaron holt, ezra belnap",21,15,Pool Play,2023pg,4.5 Elite w/NHZ
Salty when I Faulty,Page/Mundy,"brady price, remi prince","dylan mundy, jacob page",21,17,Pool Play,2023pg,4.5 Elite w/NHZ
Read It Like A Book,Rakes,"casey harman, jacob lunt","lazarus shettell, ty wakefield",21,17,Pool Play,2023pg,4.5 Elite w/NHZ
ball touchers,MOna LEEsa,"ashton lee, kannon forbush","mo beard, seth lee",14,21,Pool Play,2023pg,4.5 Elite w/NHZ
Pickles,Clean Combo,"preston haight, spencer straddeck","aaron holt, ezra belnap",21,18,Pool Play,2023pg,4.5 Elite w/NHZ
K/FC,Salty when I Faulty,"bryant karratti, taylor church","brady price, remi prince",22,20,Pool Play,2023pg,4.5 Elite w/NHZ
Page/Mundy,Read It Like A Book,"dylan mundy, jacob page","casey harman, jacob lunt",21,17,Pool Play,2023pg,4.5 Elite w/NHZ
Stokes / Barlow,ball touchers,"matt barlow, tyler stokes","ashton lee, kannon forbush",21,16,Pool Play,2023pg,4.5 Elite w/NHZ
MOna LEEsa,Pickles,"mo beard, seth lee","preston haight, spencer straddeck",17,21,Pool Play,2023pg,4.5 Elite w/NHZ
Lucky Charms,Giggle Gang,"brennen brumm, ryker brann","braydon oler, sidney pharr",21,17,Pool Play,2023pg,4.0 Advanced w/NHZ
