Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Big Red Dead Redemption,Elevate,"bryant karratti, tyler stokes","alex hart (asl), jack hart",21,17,Pool Play,2023spike-night,4.5 Elite w/NHZ
good.,Drip Drop,"chandler hertzler, taylor church","grant marriott, jake lebaron",21,23,Pool Play,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Double Fault,"joseph barron, seth lee","luke cook, nathan avalos",21,18,Pool Play,2023spike-night,4.5 Elite w/NHZ
Past my Bedtime,Traffic Jams,"kyler cote, mo beard","chris sorensen, jason gurney",22,20,Pool Play,2023spike-night,4.5 Elite w/NHZ
The Lost Boys,Unfair Advantage,"ashton kirkman, joshua lin","cade cote, max wright",21,9,Pool Play,2023spike-night,4.5 Elite w/NHZ
Feller/Page,L&L’s Hawaiian food,"daniel feller, jacob page","lazarus shettell, levi arzac",21,13,Pool Play,2023spike-night,4.5 Elite w/NHZ
Big Red Dead Redemption,Drip Drop,"bryant karratti, tyler stokes","grant marriott, jake lebaron",21,16,Pool Play,2023spike-night,4.5 Elite w/NHZ
Knee Serves Only,Elevate,"andrew greer, taylor sanford","alex hart (asl), jack hart",22,20,Pool Play,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Past my Bedtime,"joseph barron, seth lee","kyler cote, mo beard",21,12,Pool Play,2023spike-night,4.5 Elite w/NHZ
Traffic Jams,Arm Problems,"chris sorensen, jason gurney","chase archibald, preston haight",17,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
The Lost Boys,L&L’s Hawaiian food,"ashton kirkman, joshua lin","lazarus shettell, levi arzac",21,8,Pool Play,2023spike-night,4.5 Elite w/NHZ
Father son,Unfair Advantage,"devin tuttle, todd tuttle","cade cote, max wright",21,19,Pool Play,2023spike-night,4.5 Elite w/NHZ
Big Red Dead Redemption,Knee Serves Only,"bryant karratti, tyler stokes","andrew greer, taylor sanford",20,22,Pool Play,2023spike-night,4.5 Elite w/NHZ
good.,Elevate,"chandler hertzler, taylor church","alex hart (asl), jack hart",21,14,Pool Play,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Arm Problems,"joseph barron, seth lee","chase archibald, preston haight",15,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
Past my Bedtime,Double Fault,"kyler cote, mo beard","luke cook, nathan avalos",19,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
The Lost Boys,Father son,"ashton kirkman, joshua lin","devin tuttle, todd tuttle",21,10,Pool Play,2023spike-night,4.5 Elite w/NHZ
Feller/Page,Unfair Advantage,"daniel feller, jacob page","cade cote, max wright",21,14,Pool Play,2023spike-night,4.5 Elite w/NHZ
good.,Knee Serves Only,"chandler hertzler, taylor church","andrew greer, taylor sanford",22,20,Pool Play,2023spike-night,4.5 Elite w/NHZ
Drip Drop,Elevate,"grant marriott, jake lebaron","alex hart (asl), jack hart",21,19,Pool Play,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Traffic Jams,"joseph barron, seth lee","chris sorensen, jason gurney",21,11,Pool Play,2023spike-night,4.5 Elite w/NHZ
Double Fault,Arm Problems,"luke cook, nathan avalos","chase archibald, preston haight",19,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
Feller/Page,Father son,"daniel feller, jacob page","devin tuttle, todd tuttle",21,11,Pool Play,2023spike-night,4.5 Elite w/NHZ
L&L’s Hawaiian food,Unfair Advantage,"lazarus shettell, levi arzac","cade cote, max wright",19,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
Big Red Dead Redemption,good.,"bryant karratti, tyler stokes","chandler hertzler, taylor church",15,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
Knee Serves Only,Drip Drop,"andrew greer, taylor sanford","grant marriott, jake lebaron",18,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
Past my Bedtime,Arm Problems,"kyler cote, mo beard","chase archibald, preston haight",15,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
Traffic Jams,Double Fault,"chris sorensen, jason gurney","luke cook, nathan avalos",19,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
The Lost Boys,Feller/Page,"ashton kirkman, joshua lin","daniel feller, jacob page",22,20,Pool Play,2023spike-night,4.5 Elite w/NHZ
Father son,L&L’s Hawaiian food,"devin tuttle, todd tuttle","lazarus shettell, levi arzac",19,21,Pool Play,2023spike-night,4.5 Elite w/NHZ
Spicy Spikers,Peachy keen team,"bryson ripley, thatcher casperson","brigham graham, jacob graham",15,6,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Como Se Juega,NET-FLICKS,"adam brueck, nathan brueck","austin beckstead, jason fitt",13,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Chef's Beans,Gabe's Replacement,"mario trujillo-auffant, steven goodrich","coby gardner, gabe bautista",15,10,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Spike-a-delic,Out of Pocket,"hunter steenbakkers, tyler caswell","christopher marcusen, stewart dalziel",11,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
giggle gang,noah on two,"braydon oler, sidney pharr","colton anderson, noah hasebi",11,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
dummy dummy dummy,Peachy keen team,"joshua townsend, jonny hiatt","brigham graham, jacob graham",15,12,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Spicy Spikers,Sibling Supremacy,"bryson ripley, thatcher casperson","nathan straddeck, spencer straddeck",10,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Chef's Beans,Out of Pocket,"mario trujillo-auffant, steven goodrich","christopher marcusen, stewart dalziel",12,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Spike-a-delic,Trademarked ™,"hunter steenbakkers, tyler caswell","becca feller, sam turner",15,13,Pool Play,2023spike-night,4.0 Advanced w/NHZ
noah on two,Gabe's Replacement,"colton anderson, noah hasebi","coby gardner, gabe bautista",15,9,Pool Play,2023spike-night,4.0 Advanced w/NHZ
dummy dummy dummy,NET-FLICKS,"joshua townsend, jonny hiatt","austin beckstead, jason fitt",15,12,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Spicy Spikers,Como Se Juega,"bryson ripley, thatcher casperson","adam brueck, nathan brueck",15,8,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Sibling Supremacy,Peachy keen team,"nathan straddeck, spencer straddeck","brigham graham, jacob graham",15,8,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Chef's Beans,noah on two,"mario trujillo-auffant, steven goodrich","colton anderson, noah hasebi",10,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Spike-a-delic,giggle gang,"hunter steenbakkers, tyler caswell","braydon oler, sidney pharr",13,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Trademarked ™,Out of Pocket,"becca feller, sam turner","christopher marcusen, stewart dalziel",10,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
dummy dummy dummy,Sibling Supremacy,"joshua townsend, jonny hiatt","nathan straddeck, spencer straddeck",15,10,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Como Se Juega,Peachy keen team,"adam brueck, nathan brueck","brigham graham, jacob graham",15,10,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Chef's Beans,Trademarked ™,"mario trujillo-auffant, steven goodrich","becca feller, sam turner",10,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Spike-a-delic,Gabe's Replacement,"hunter steenbakkers, tyler caswell","coby gardner, gabe bautista",15,6,Pool Play,2023spike-night,4.0 Advanced w/NHZ
giggle gang,Out of Pocket,"braydon oler, sidney pharr","christopher marcusen, stewart dalziel",13,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Spicy Spikers,NET-FLICKS,"bryson ripley, thatcher casperson","austin beckstead, jason fitt",14,16,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Como Se Juega,Sibling Supremacy,"adam brueck, nathan brueck","nathan straddeck, spencer straddeck",4,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Spike-a-delic,noah on two,"hunter steenbakkers, tyler caswell","colton anderson, noah hasebi",11,15,Pool Play,2023spike-night,4.0 Advanced w/NHZ
giggle gang,Trademarked ™,"braydon oler, sidney pharr","becca feller, sam turner",15,11,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Out of Pocket,Gabe's Replacement,"christopher marcusen, stewart dalziel","coby gardner, gabe bautista",15,8,Pool Play,2023spike-night,4.0 Advanced w/NHZ
dummy dummy dummy,Como Se Juega,"joshua townsend, jonny hiatt","adam brueck, nathan brueck",15,12,Pool Play,2023spike-night,4.0 Advanced w/NHZ
NET-FLICKS,Peachy keen team,"austin beckstead, jason fitt","brigham graham, jacob graham",15,13,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Chef's Beans,giggle gang,"mario trujillo-auffant, steven goodrich","braydon oler, sidney pharr",15,10,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Trademarked ™,Gabe's Replacement,"becca feller, sam turner","coby gardner, gabe bautista",16,14,Pool Play,2023spike-night,4.0 Advanced w/NHZ
noah on two,Out of Pocket,"colton anderson, noah hasebi","christopher marcusen, stewart dalziel",18,16,Pool Play,2023spike-night,4.0 Advanced w/NHZ
dummy dummy dummy,Spicy Spikers,"joshua townsend, jonny hiatt","bryson ripley, thatcher casperson",15,9,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Sibling Supremacy,NET-FLICKS,"nathan straddeck, spencer straddeck","austin beckstead, jason fitt",15,8,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Chef's Beans,Spike-a-delic,"mario trujillo-auffant, steven goodrich","hunter steenbakkers, tyler caswell",15,7,Pool Play,2023spike-night,4.0 Advanced w/NHZ
giggle gang,Gabe's Replacement,"braydon oler, sidney pharr","coby gardner, gabe bautista",15,12,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Trademarked ™,noah on two,"becca feller, sam turner","colton anderson, noah hasebi",16,14,Pool Play,2023spike-night,4.0 Advanced w/NHZ
The snack that smiles back,Yee haw,"austin sosa, davis kearl","josh hoagland, micah yerman",21,17,Pool Play,2023spike-night,3.0 Intermediate
What’s up Denny’s,soggy cardboard,"hiram perez, steven rich","aleah gregory, haley cowan",16,21,Pool Play,2023spike-night,3.0 Intermediate
ÖDMJUK,K Strong,"matthew wilson, taylor wilson","mike oman, shandon lindquist",18,21,Pool Play,2023spike-night,3.0 Intermediate
Spike Sisterhood,Predators,"camille nguyen, katie inman","cooper johnson, logan johnson",16,21,Pool Play,2023spike-night,3.0 Intermediate
Ball bouncers,Monkey never cramps,"matt vindas, taylor fuhriman","carter england, samuel england",0,5,Pool Play,2023spike-night,3.0 Intermediate
Spiker Gang,Katara and sokka,"jeremy porter, tyler curtis","devin tuttle, kaden backlund",21,15,Pool Play,2023spike-night,3.0 Intermediate
The snack that smiles back,soggy cardboard,"austin sosa, davis kearl","aleah gregory, haley cowan",21,18,Pool Play,2023spike-night,3.0 Intermediate
What’s up Denny’s,ÖDMJUK,"hiram perez, steven rich","matthew wilson, taylor wilson",13,21,Pool Play,2023spike-night,3.0 Intermediate
K Strong,Yee haw,"mike oman, shandon lindquist","josh hoagland, micah yerman",21,7,Pool Play,2023spike-night,3.0 Intermediate
Spike Sisterhood,Monkey never cramps,"camille nguyen, katie inman","carter england, samuel england",21,23,Pool Play,2023spike-night,3.0 Intermediate
Ball bouncers,Spiker Gang,"matt vindas, taylor fuhriman","jeremy porter, tyler curtis",0,5,Pool Play,2023spike-night,3.0 Intermediate
Katara and sokka,Predators,"devin tuttle, kaden backlund","cooper johnson, logan johnson",8,21,Pool Play,2023spike-night,3.0 Intermediate
The snack that smiles back,K Strong,"austin sosa, davis kearl","mike oman, shandon lindquist",10,21,Pool Play,2023spike-night,3.0 Intermediate
What’s up Denny’s,Yee haw,"hiram perez, steven rich","josh hoagland, micah yerman",20,22,Pool Play,2023spike-night,3.0 Intermediate
ÖDMJUK,soggy cardboard,"matthew wilson, taylor wilson","aleah gregory, haley cowan",21,19,Pool Play,2023spike-night,3.0 Intermediate
Spike Sisterhood,Katara and sokka,"camille nguyen, katie inman","devin tuttle, kaden backlund",21,16,Pool Play,2023spike-night,3.0 Intermediate
Ball bouncers,Predators,"matt vindas, taylor fuhriman","cooper johnson, logan johnson",0,5,Pool Play,2023spike-night,3.0 Intermediate
Spiker Gang,Monkey never cramps,"jeremy porter, tyler curtis","carter england, samuel england",12,21,Pool Play,2023spike-night,3.0 Intermediate
The snack that smiles back,ÖDMJUK,"austin sosa, davis kearl","matthew wilson, taylor wilson",19,21,Pool Play,2023spike-night,3.0 Intermediate
