Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Chandler is my handler,Net worth,"chandler hertzler, garrett carver","bowen maynard, grant turpin",21,13,Pool Play,2023springspike,4.5 Elite w/NHZ
The English Setters,Daniel/Preston,"dylan mundy, remi prince","daniel wight, preston haight",21,17,Pool Play,2023springspike,4.5 Elite w/NHZ
Lurp Lords,Cool as beans,"alex tamang, ethan carr","aaron fox, ashton lee",21,15,Pool Play,2023springspike,4.5 Elite w/NHZ
Net Worth,Ace of Spikes,"andrew greer, matt barlow","braxton wheatley, zach jones",21,12,Pool Play,2023springspike,4.5 Elite w/NHZ
Church & Benz,Infinite Roundnet,"ryan benz, taylor church","cade cote, kyler cote",21,10,Pool Play,2023springspike,4.5 Elite w/NHZ
Turkey Bowl Champs,Ryder Riva Wannabes,"taylor sanford, tyler stokes","cade wallace, garrett walter",21,23,Pool Play,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,Daniel/Preston,"chandler hertzler, garrett carver","daniel wight, preston haight",21,5,Pool Play,2023springspike,4.5 Elite w/NHZ
The English Setters,Lurp Lords,"dylan mundy, remi prince","alex tamang, ethan carr",21,17,Pool Play,2023springspike,4.5 Elite w/NHZ
Cool as beans,Net worth,"aaron fox, ashton lee","bowen maynard, grant turpin",25,24,Pool Play,2023springspike,4.5 Elite w/NHZ
Threat Level Midnight,Spaghetti-Os,"brady price, joseph barron","mitch frei, seth lee",21,13,Pool Play,2023springspike,4.5 Elite w/NHZ
Church & Benz,Ryder Riva Wannabes,"ryan benz, taylor church","cade wallace, garrett walter",21,18,Pool Play,2023springspike,4.5 Elite w/NHZ
Fellers with (and without) Beards,Infinite Roundnet,"daniel feller, mo beard","cade cote, kyler cote",21,14,Pool Play,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,Cool as beans,"chandler hertzler, garrett carver","aaron fox, ashton lee",21,9,Pool Play,2023springspike,4.5 Elite w/NHZ
The English Setters,Net worth,"dylan mundy, remi prince","bowen maynard, grant turpin",21,16,Pool Play,2023springspike,4.5 Elite w/NHZ
Lurp Lords,Daniel/Preston,"alex tamang, ethan carr","daniel wight, preston haight",21,7,Pool Play,2023springspike,4.5 Elite w/NHZ
Net Worth,Spaghetti-Os,"andrew greer, matt barlow","mitch frei, seth lee",21,12,Pool Play,2023springspike,4.5 Elite w/NHZ
Church & Benz,Fellers with (and without) Beards,"ryan benz, taylor church","daniel feller, mo beard",21,14,Pool Play,2023springspike,4.5 Elite w/NHZ
Turkey Bowl Champs,Infinite Roundnet,"taylor sanford, tyler stokes","cade cote, kyler cote",21,17,Pool Play,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,Lurp Lords,"chandler hertzler, garrett carver","alex tamang, ethan carr",21,16,Pool Play,2023springspike,4.5 Elite w/NHZ
The English Setters,Cool as beans,"dylan mundy, remi prince","aaron fox, ashton lee",21,17,Pool Play,2023springspike,4.5 Elite w/NHZ
Daniel/Preston,Net worth,"daniel wight, preston haight","bowen maynard, grant turpin",18,21,Pool Play,2023springspike,4.5 Elite w/NHZ
