Player 1,Player 2,Team Name,Division,Tournament
braxton wheatley,zach jones,Ace of Spikes,4.5 Elite w/NHZ,2023springspike
chandler hertzler,garrett carver,Chandler is my handler,4.5 Elite w/NHZ,2023springspike
ryan benz,taylor church,Church & Benz,4.5 Elite w/NHZ,2023springspike
aaron fox,ashton lee,Cool as beans,4.5 Elite w/NHZ,2023springspike
daniel wight,preston haight,Daniel/Preston,4.5 Elite w/NHZ,2023springspike
daniel feller,mo beard,Fellers with (and without) Beards,4.5 Elite w/NHZ,2023springspike
cade cote,kyler cote,Infinite Roundnet,4.5 Elite w/NHZ,2023springspike
alex tamang,ethan carr,Lurp Lords,4.5 Elite w/NHZ,2023springspike
andrew greer,matt barlow,Net Worth,4.5 Elite w/NHZ,2023springspike
bowen maynard,grant turpin,Net worth,4.5 Elite w/NHZ,2023springspike
cade wallace,garrett walter,Ryder Riva Wannabes,4.5 Elite w/NHZ,2023springspike
kannon forbush,xande plaisted,Slim Jims,4.5 Elite w/NHZ,2023springspike
mitch frei,seth lee,Spaghetti-Os,4.5 Elite w/NHZ,2023springspike
daulton monkress,logan grigg,The Best Fortnite Duo at OMS,4.5 Elite w/NHZ,2023springspike
dylan mundy,remi prince,The English Setters,4.5 Elite w/NHZ,2023springspike
brady price,joseph barron,Threat Level Midnight,4.5 Elite w/NHZ,2023springspike
taylor sanford,tyler stokes,Turkey Bowl Champs,4.5 Elite w/NHZ,2023springspike
danny dildine,samuel england,21 Bridges,4.0 Advanced w/NHZ,2023springspike
becca feller,stephen moss,Bex / Stephen,4.0 Advanced w/NHZ,2023springspike
jonathan thompson,xavier roberts,Big and Small,4.0 Advanced w/NHZ,2023springspike
aaron holt,ezra belnap,Clean Combo,4.0 Advanced w/NHZ,2023springspike
bryson ripley,riley halley,Jaxon and Bryson,4.0 Advanced w/NHZ,2023springspike
brigham graham,jacob graham,Peachy keen team,4.0 Advanced w/NHZ,2023springspike
corbin randall,kyle sharp,R-City Runners,4.0 Advanced w/NHZ,2023springspike
landon mcintyre,matt bishop,Space Junkies,4.0 Advanced w/NHZ,2023springspike
chris sorensen,jason gurney,Traffic Jams,4.0 Advanced w/NHZ,2023springspike
matthew porter,nathan brueck,#nodinks,3.0 Intermediate,2023springspike
benson shaw,jacob shaw,Average but Savage bros,3.0 Intermediate,2023springspike
adam brueck,jacob brueck,Blue team,3.0 Intermediate,2023springspike
braxton booth,jackson dean,Boggleadites,3.0 Intermediate,2023springspike
hunter steenbakkers,tyler caswell,Channelview champs,3.0 Intermediate,2023springspike
kiya hilton,wheeler henriksen,Final Form?,3.0 Intermediate,2023springspike
braydon oler,sidney pharr,Giggle Gang,3.0 Intermediate,2023springspike
sawyer denti,bri nicholson,Spiked Punch,3.0 Intermediate,2023springspike
camren harris,jon jacobs,The Primes,3.0 Intermediate,2023springspike
jaggyr roundy,triston robb,Topper g’s,3.0 Intermediate,2023springspike
