Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Guachos,Dialed,"josh fragiacomo, ryan oswalt","josh cain, luke pennington",28,26,Pool Play,2023squads,5.0 Premier w/NHZ
Hot Monkey Pt IV: Monkeys in Goblin mode,Give Me Back My Rib,"andrew stevens, ryan mccargar","austin stephen, jackson blackburn",17,21,Pool Play,2023squads,5.0 Premier w/NHZ
"Depression, Cheez-Its, and Cargo Shorts",Back in My Day,"garrett carver, taylor church","brooks anderson, trey bowman",21,11,Pool Play,2023squads,5.0 Premier w/NHZ
Rice Mola,Coneheads,"dylan bricker, tayt rogers","ethan zehr, jacob martinez",19,21,Pool Play,2023squads,5.0 Premier w/NHZ
Your Bad,AZR PBR COB,"andrew kosche, trevor barbosa","aidan mackey, brian perlson",21,19,Pool Play,2023squads,5.0 Premier w/NHZ
Guachos,Give Me Back My Rib,"josh fragiacomo, ryan oswalt","austin stephen, jackson blackburn",21,14,Pool Play,2023squads,5.0 Premier w/NHZ
Shiver MP,Dialed,"jacob payer, jason rhoads","josh cain, luke pennington",16,21,Pool Play,2023squads,5.0 Premier w/NHZ
"Depression, Cheez-Its, and Cargo Shorts",Coneheads,"garrett carver, taylor church","ethan zehr, jacob martinez",21,17,Pool Play,2023squads,5.0 Premier w/NHZ
Rice Mola,Your Bad,"dylan bricker, tayt rogers","andrew kosche, trevor barbosa",16,21,Pool Play,2023squads,5.0 Premier w/NHZ
AZR PBR COB,Back in My Day,"aidan mackey, brian perlson","brooks anderson, trey bowman",21,12,Pool Play,2023squads,5.0 Premier w/NHZ
Guachos,Shiver MP,"josh fragiacomo, ryan oswalt","jacob payer, jason rhoads",23,25,Pool Play,2023squads,5.0 Premier w/NHZ
Hot Monkey Pt IV: Monkeys in Goblin mode,Dialed,"andrew stevens, ryan mccargar","josh cain, luke pennington",11,21,Pool Play,2023squads,5.0 Premier w/NHZ
"Depression, Cheez-Its, and Cargo Shorts",AZR PBR COB,"garrett carver, taylor church","aidan mackey, brian perlson",21,17,Pool Play,2023squads,5.0 Premier w/NHZ
Rice Mola,Back in My Day,"dylan bricker, tayt rogers","brooks anderson, trey bowman",21,16,Pool Play,2023squads,5.0 Premier w/NHZ
Your Bad,Coneheads,"andrew kosche, trevor barbosa","ethan zehr, jacob martinez",24,22,Pool Play,2023squads,5.0 Premier w/NHZ
Hot Monkey Pt IV: Monkeys in Goblin mode,Shiver MP,"andrew stevens, ryan mccargar","jacob payer, jason rhoads",19,21,Pool Play,2023squads,5.0 Premier w/NHZ
Give Me Back My Rib,Dialed,"austin stephen, jackson blackburn","josh cain, luke pennington",30,32,Pool Play,2023squads,5.0 Premier w/NHZ
"Depression, Cheez-Its, and Cargo Shorts",Your Bad,"garrett carver, taylor church","andrew kosche, trevor barbosa",21,15,Pool Play,2023squads,5.0 Premier w/NHZ
Rice Mola,AZR PBR COB,"dylan bricker, tayt rogers","aidan mackey, brian perlson",20,22,Pool Play,2023squads,5.0 Premier w/NHZ
