Player 1,Player 2,Team Name,Division,Tournament
aidan mackey,brian perlson,AZR PBR COB,5.0 Premier w/NHZ,2023squads
brooks anderson,trey bowman,Back in My Day,5.0 Premier w/NHZ,2023squads
ethan zehr,jacob martinez,Coneheads,5.0 Premier w/NHZ,2023squads
garrett carver,taylor church,"Depression, Cheez-Its, and Cargo Shorts",5.0 Premier w/NHZ,2023squads
josh cain,luke pennington,Dialed,5.0 Premier w/NHZ,2023squads
austin stephen,jackson blackburn,Give Me Back My Rib,5.0 Premier w/NHZ,2023squads
josh fragiacomo,ryan oswalt,Guachos,5.0 Premier w/NHZ,2023squads
andrew stevens,ryan mccargar,Hot Monkey Pt IV: Monkeys in Goblin mode,5.0 Premier w/NHZ,2023squads
dylan bricker,tayt rogers,Rice Mola,5.0 Premier w/NHZ,2023squads
jacob payer,jason rhoads,Shiver MP,5.0 Premier w/NHZ,2023squads
andrew kosche,trevor barbosa,Your Bad,5.0 Premier w/NHZ,2023squads
aidan gutierrez,nathan paauw,0 and 4 in pool,4.5 Contender w/NHZ,2023squads
ryan brown,spencer vega,Aidan Mackey is cute,4.5 Contender w/NHZ,2023squads
taylor bowman,timo lorenzen,Aidan Mackey is cuter,4.5 Contender w/NHZ,2023squads
aron taguiam,tyler llumiquinga,All You Can Eat,4.5 Contender w/NHZ,2023squads
david mitchell,david yingling,David's and Goliath,4.5 Contender w/NHZ,2023squads
jeremiah urban,joshua travis,Elektos,4.5 Contender w/NHZ,2023squads
ethan white,jake scanlon,Slammo Dropouts,4.5 Contender w/NHZ,2023squads
alexander oleksyn,hannah sanchez,Supercalifragilisticexpialidocious,4.5 Contender w/NHZ,2023squads
nick t,oliver howard,Tegel/Howard,4.5 Contender w/NHZ,2023squads
dylan karn,wesley tunelius,TheGOATGene,4.5 Contender w/NHZ,2023squads
ben burnett,kyler burton,Wild West Roundnet,4.5 Contender w/NHZ,2023squads
jordan engdahl,maia aton,Ball Busters,3.0-4.0 Divisions,2023squads
katherine butler,sarah mullisen,Chugga chugga,3.0-4.0 Divisions,2023squads
chase donahue,goose ramos,OVCN duo,3.0-4.0 Divisions,2023squads
scott peterson,spencer wood,S Squared,3.0-4.0 Divisions,2023squads
brooklyn dunn,claire urban,Small but Mighty,3.0-4.0 Divisions,2023squads
cody wilmsmeyer,colt uhlenhopp,Smash Bros,3.0-4.0 Divisions,2023squads
savannah gillmor,abigail harbeck,That's What She Set,3.0-4.0 Divisions,2023squads
benjamin spencer,landen burns,We've Got Balls,3.0-4.0 Divisions,2023squads
4 more,"nathan paauw, david mitchell",Arizona B Squad,Sunday: 10-person Squads,2023squads
8 more,"luke pennington, jason rhoads",California Mens State Team,Sunday: 10-person Squads,2023squads
