Player 1,Player 2,Team Name,Division,Tournament
elle lowe,michael liu,Apples,Expert 4.0-5.0,open2
billy durrill,thompson yang,Ball Busters,Expert 4.0-5.0,open2
ryan leong,sasha mariniuk,Beach Bums,Expert 4.0-5.0,open2
bendix heß,benjamin walker-edwards,Ben Squared,Expert 4.0-5.0,open2
justin silver,ragav subramanian,DEEZ NETS!!!,Expert 4.0-5.0,open2
jason rhoads,brandon brown,Degenerational Wealth,Expert 4.0-5.0,open2
jack stinson,quinn hufler,Dylan’s Exes,Expert 4.0-5.0,open2
connor nelson,michael du,Fractal Spikes,Expert 4.0-5.0,open2
kaden hagenbuch,parminder parmar,jihadi out the cave,Expert 4.0-5.0,open2
josh cain,josh fragiacomo,Josh,Expert 4.0-5.0,open2
luke pennington,tucker judkins,Judgemental Eyes and Luke,Expert 4.0-5.0,open2
evan cox,leo cox,Mario & Luigi,Expert 4.0-5.0,open2
ron arbel,tim gaskin,Olympic Ski Jumpers,Expert 4.0-5.0,open2
nathaniel schrag,ryan oswalt,Oswalt / Schrag,Expert 4.0-5.0,open2
ethan zehr,jacob payer,Pai Sho,Expert 4.0-5.0,open2
nate gauthier,nathan robertt,pure filth,Expert 4.0-5.0,open2
dylan medveal,matthew waisner,"See Ball, Whiff Ball",Expert 4.0-5.0,open2
samuel buckman,trevor barbosa,Shifty,Expert 4.0-5.0,open2
franz castillo,pio clavecilla,Yellow Fever,Expert 4.0-5.0,open2
