Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
The Buff Bandits,Hamblet/Gao,"demitri forand, matt spolarich","alan gao, thomas hamblet",21,13,Pool Play,ers23uconn,Open 4.5+
fRiEd RiZzTiSm,Mik and Mart,"lucas hope, thomas hoffman","matthew tiongko, michael catuccio",21,10,Pool Play,ers23uconn,Open 4.5+
China Moon,Bros on Their Toes,"connor prelich, kevin mcclain","andrew manfredi, matthew manfredi",21,17,Pool Play,ers23uconn,Open 4.5+
PBR ELBROS,David and Goliath,"joel morrell, michael capobianco","hunter monks, logan helming",21,9,Pool Play,ers23uconn,Open 4.5+
Samuel Sucks,Out spin the pocket,"brody ulrich, samuel corey","isaiah milgroom, matt garbecki",21,13,Pool Play,ers23uconn,Open 4.5+
White Lotus Roundnet,Borderline Misconduct,"ely marciano, mitchell carter","gabe packevicz, jason mcgrath",21,9,Pool Play,ers23uconn,Open 4.5+
The Buff Bandits,Mik and Mart,"demitri forand, matt spolarich","matthew tiongko, michael catuccio",21,6,Pool Play,ers23uconn,Open 4.5+
Radical rimjob,Hamblet/Gao,"aidan buchanan, evan ghoreyeb","alan gao, thomas hamblet",14,21,Pool Play,ers23uconn,Open 4.5+
China Moon,David and Goliath,"connor prelich, kevin mcclain","hunter monks, logan helming",21,9,Pool Play,ers23uconn,Open 4.5+
Chiva Hermanos,Bros on Their Toes,"camilo cruz, edgar cruz","andrew manfredi, matthew manfredi",9,21,Pool Play,ers23uconn,Open 4.5+
Samuel Sucks,Borderline Misconduct,"brody ulrich, samuel corey","gabe packevicz, jason mcgrath",21,10,Pool Play,ers23uconn,Open 4.5+
Electric Sense,Out spin the pocket,"dan burkert, liam keegan","isaiah milgroom, matt garbecki",12,21,Pool Play,ers23uconn,Open 4.5+
The Buff Bandits,Radical rimjob,"demitri forand, matt spolarich","aidan buchanan, evan ghoreyeb",21,8,Pool Play,ers23uconn,Open 4.5+
fRiEd RiZzTiSm,Hamblet/Gao,"lucas hope, thomas hoffman","alan gao, thomas hamblet",21,17,Pool Play,ers23uconn,Open 4.5+
China Moon,Chiva Hermanos,"connor prelich, kevin mcclain","camilo cruz, edgar cruz",21,10,Pool Play,ers23uconn,Open 4.5+
PBR ELBROS,Bros on Their Toes,"joel morrell, michael capobianco","andrew manfredi, matthew manfredi",21,16,Pool Play,ers23uconn,Open 4.5+
Samuel Sucks,Electric Sense,"brody ulrich, samuel corey","dan burkert, liam keegan",21,10,Pool Play,ers23uconn,Open 4.5+
White Lotus Roundnet,Out spin the pocket,"ely marciano, mitchell carter","isaiah milgroom, matt garbecki",21,19,Pool Play,ers23uconn,Open 4.5+
fRiEd RiZzTiSm,Radical rimjob,"lucas hope, thomas hoffman","aidan buchanan, evan ghoreyeb",21,7,Pool Play,ers23uconn,Open 4.5+
Mik and Mart,Hamblet/Gao,"matthew tiongko, michael catuccio","alan gao, thomas hamblet",14,21,Pool Play,ers23uconn,Open 4.5+
PBR ELBROS,Chiva Hermanos,"joel morrell, michael capobianco","camilo cruz, edgar cruz",21,19,Pool Play,ers23uconn,Open 4.5+
David and Goliath,Bros on Their Toes,"hunter monks, logan helming","andrew manfredi, matthew manfredi",6,21,Pool Play,ers23uconn,Open 4.5+
White Lotus Roundnet,Electric Sense,"ely marciano, mitchell carter","dan burkert, liam keegan",21,8,Pool Play,ers23uconn,Open 4.5+
Borderline Misconduct,Out spin the pocket,"gabe packevicz, jason mcgrath","isaiah milgroom, matt garbecki",7,21,Pool Play,ers23uconn,Open 4.5+
The Buff Bandits,fRiEd RiZzTiSm,"demitri forand, matt spolarich","lucas hope, thomas hoffman",21,16,Pool Play,ers23uconn,Open 4.5+
Radical rimjob,Mik and Mart,"aidan buchanan, evan ghoreyeb","matthew tiongko, michael catuccio",19,21,Pool Play,ers23uconn,Open 4.5+
China Moon,PBR ELBROS,"connor prelich, kevin mcclain","joel morrell, michael capobianco",23,25,Pool Play,ers23uconn,Open 4.5+
Chiva Hermanos,David and Goliath,"camilo cruz, edgar cruz","hunter monks, logan helming",19,21,Pool Play,ers23uconn,Open 4.5+
Samuel Sucks,White Lotus Roundnet,"brody ulrich, samuel corey","ely marciano, mitchell carter",21,19,Pool Play,ers23uconn,Open 4.5+
Electric Sense,Borderline Misconduct,"dan burkert, liam keegan","gabe packevicz, jason mcgrath",21,17,Pool Play,ers23uconn,Open 4.5+
Out spin the pocket,Hamblet/Gao,"isaiah milgroom, matt garbecki","alan gao, thomas hamblet",21,9,Bracket play round of Round of 16 game 1,ers23uconn,Open 4.5+
Out spin the pocket,Hamblet/Gao,"isaiah milgroom, matt garbecki","alan gao, thomas hamblet",21,15,Bracket play round of Round of 16 game 2,ers23uconn,Open 4.5+
China Moon,Mik and Mart,"connor prelich, kevin mcclain","matthew tiongko, michael catuccio",21,18,Bracket play round of Round of 16 game 1,ers23uconn,Open 4.5+
China Moon,Mik and Mart,"connor prelich, kevin mcclain","matthew tiongko, michael catuccio",21,10,Bracket play round of Round of 16 game 2,ers23uconn,Open 4.5+
White Lotus Roundnet,Chiva Hermanos,"ely marciano, mitchell carter","camilo cruz, edgar cruz",21,5,Bracket play round of Round of 16 game 1,ers23uconn,Open 4.5+
White Lotus Roundnet,Chiva Hermanos,"ely marciano, mitchell carter","camilo cruz, edgar cruz",21,7,Bracket play round of Round of 16 game 2,ers23uconn,Open 4.5+
The Buff Bandits,Out spin the pocket,"demitri forand, matt spolarich","isaiah milgroom, matt garbecki",21,16,Bracket play round of Quarter-finals game 1,ers23uconn,Open 4.5+
The Buff Bandits,Out spin the pocket,"demitri forand, matt spolarich","isaiah milgroom, matt garbecki",21,7,Bracket play round of Quarter-finals game 2,ers23uconn,Open 4.5+
China Moon,White Lotus Roundnet,"connor prelich, kevin mcclain","ely marciano, mitchell carter",26,28,Bracket play round of Quarter-finals game 1,ers23uconn,Open 4.5+
China Moon,White Lotus Roundnet,"connor prelich, kevin mcclain","ely marciano, mitchell carter",21,18,Bracket play round of Quarter-finals game 2,ers23uconn,Open 4.5+
