Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
RCG Powerline,RDO Flix und Fertig,"benjamin bachler, nelson dziruni","lucas christiani, max schartmann",21,14,Pool Play,ets-vienna-2023,Open Gold
UnderDAWGS,"halo, halo, palma?","jakub víšek, sebi mezzey","aleksandrs juška, mikus jaunpetrovičs",21,17,Pool Play,ets-vienna-2023,Open Gold
Hustling Brothers,Tac Tac,"levi vandaele, yosha vandaele","oriol gonzalez, ryan danekas",21,13,Pool Play,ets-vienna-2023,Open Gold
nerds in disguise,Ingo Ingo Ingo Ingolstaaadt,"david jindra, stefan handschmann","martin amadeus köppen, paul schirop",15,21,Pool Play,ets-vienna-2023,Open Gold
Never Cold🌡️,Double Touch,"jan stachiewicz, jaroslav čabala","tom eynard, tom hullot",24,25,Pool Play,ets-vienna-2023,Open Gold
Rainbow Warriors,Smile,"fabian claus, josha lauterbach","felix millton, gabriel stoisser",25,24,Pool Play,ets-vienna-2023,Open Gold
Clarké au floor,RBZ Tocco Italiano,"auxence clark, robin florinda","giacomo merlin, matteo sacchini",21,14,Pool Play,ets-vienna-2023,Open Gold
Hokus Boom,Gauterin/Rösinger,"cedric widin, matias bermejo pasetti","marcus gauterin, marvin rösinger",21,16,Pool Play,ets-vienna-2023,Open Gold
JulJan,Gemmathi & Let's Jo,"jan umlauft, julian krehle","johannes mitterwald, mathias gangkofner",21,18,Pool Play,ets-vienna-2023,Open Gold
Pierre Feuille Victor,Double Bang,"aymeric sandoz, pierre lecrosnier","michele berlanda, nicola bazzani",20,22,Pool Play,ets-vienna-2023,Open Gold
Bürkle/Hinkle,Incrediballers,"ma rio, fredric hinkle","faisal sayyed, jorge donayre",21,13,Pool Play,ets-vienna-2023,Open Gold
Future Burnouts,RCB Drü,"markus anderle, raffael jonas","merlin baumeler, ramon felix",21,15,Pool Play,ets-vienna-2023,Open Gold
RCG Powerline,"halo, halo, palma?","benjamin bachler, nelson dziruni","aleksandrs juška, mikus jaunpetrovičs",21,18,Pool Play,ets-vienna-2023,Open Gold
RBZ Capri Sons,RDO Flix und Fertig,"andrea borsotti, riccardo mercadini","lucas christiani, max schartmann",16,21,Pool Play,ets-vienna-2023,Open Gold
