Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
#1 blonde haters,Cuddle Sluts,"michael mallette, brennan doak","matthew denney, owen polackwich",14,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
Barry Bee,salute emoji,"andre medicielo, howard chao","brayden einhaus, liz gormley",11,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
ball,Cubilete,"kendall wolfe, michael mondestin","heidi bravo, samanta medina",14,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
[HRN] SPIKE WAZOWSKI,Pull and Pray,"nicole hernandez, shantel lima","grace yount, mackenzie cude",15,14,Pool Play,fra23-major1,Open 3.0 (Intermediate)
#1 blonde haters,salute emoji,"michael mallette, brennan doak","brayden einhaus, liz gormley",14,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
Barry Bee,Pull and Pray,"andre medicielo, howard chao","grace yount, mackenzie cude",15,8,Pool Play,fra23-major1,Open 3.0 (Intermediate)
ball,[HRN] SPIKE WAZOWSKI,"kendall wolfe, michael mondestin","nicole hernandez, shantel lima",15,8,Pool Play,fra23-major1,Open 3.0 (Intermediate)
Cubilete,Cuddle Sluts,"heidi bravo, samanta medina","matthew denney, owen polackwich",10,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
#1 blonde haters,Cubilete,"michael mallette, brennan doak","heidi bravo, samanta medina",15,13,Pool Play,fra23-major1,Open 3.0 (Intermediate)
Barry Bee,ball,"andre medicielo, howard chao","kendall wolfe, michael mondestin",10,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
[HRN] SPIKE WAZOWSKI,Cuddle Sluts,"nicole hernandez, shantel lima","matthew denney, owen polackwich",15,14,Pool Play,fra23-major1,Open 3.0 (Intermediate)
Pull and Pray,salute emoji,"grace yount, mackenzie cude","brayden einhaus, liz gormley",11,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
#1 blonde haters,Pull and Pray,"michael mallette, brennan doak","grace yount, mackenzie cude",15,8,Pool Play,fra23-major1,Open 3.0 (Intermediate)
Barry Bee,Cuddle Sluts,"andre medicielo, howard chao","matthew denney, owen polackwich",12,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
ball,salute emoji,"kendall wolfe, michael mondestin","brayden einhaus, liz gormley",3,15,Pool Play,fra23-major1,Open 3.0 (Intermediate)
