Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
No look,Skinny Guys,"skyler sebring, thomas hamilton","korbin thompson, micah bouman",21,10,Pool Play,battlecreek23,Expert
GFD Gaping Come,Turbulence,"grant klapwijk, nick evanko","jack bushart, max fiebelkorn",21,18,Pool Play,battlecreek23,Expert
Itsy Bitsy Spider,Vortex,"clifford amadeo leveque, ryan marino","joey reynolds, ruben zapata",21,11,Pool Play,battlecreek23,Expert
ClubSpike Big Slick,GFD Dunk Dunk Dunk,"chris wilkins, neal bergman","caleb shorter, henry pilliod",19,21,Pool Play,battlecreek23,Expert
No look,Turbulence,"skyler sebring, thomas hamilton","jack bushart, max fiebelkorn",22,20,Pool Play,battlecreek23,Expert
GFD Fortnite Battle Pass,Skinny Guys,"andrew sullivan, cody dryer","korbin thompson, micah bouman",21,13,Pool Play,battlecreek23,Expert
Itsy Bitsy Spider,GFD Dunk Dunk Dunk,"clifford amadeo leveque, ryan marino","caleb shorter, henry pilliod",21,17,Pool Play,battlecreek23,Expert
GFD fine.,Vortex,"justin barr, tim lacagnina","joey reynolds, ruben zapata",21,16,Pool Play,battlecreek23,Expert
No look,GFD Fortnite Battle Pass,"skyler sebring, thomas hamilton","andrew sullivan, cody dryer",21,17,Pool Play,battlecreek23,Expert
GFD Gaping Come,Skinny Guys,"grant klapwijk, nick evanko","korbin thompson, micah bouman",21,12,Pool Play,battlecreek23,Expert
Itsy Bitsy Spider,GFD fine.,"clifford amadeo leveque, ryan marino","justin barr, tim lacagnina",21,19,Pool Play,battlecreek23,Expert
ClubSpike Big Slick,Vortex,"chris wilkins, neal bergman","joey reynolds, ruben zapata",22,20,Pool Play,battlecreek23,Expert
GFD Gaping Come,GFD Fortnite Battle Pass,"grant klapwijk, nick evanko","andrew sullivan, cody dryer",16,21,Pool Play,battlecreek23,Expert
Turbulence,Skinny Guys,"jack bushart, max fiebelkorn","korbin thompson, micah bouman",21,14,Pool Play,battlecreek23,Expert
ClubSpike Big Slick,GFD fine.,"chris wilkins, neal bergman","justin barr, tim lacagnina",21,18,Pool Play,battlecreek23,Expert
GFD Dunk Dunk Dunk,Vortex,"caleb shorter, henry pilliod","joey reynolds, ruben zapata",21,14,Pool Play,battlecreek23,Expert
No look,GFD Gaping Come,"skyler sebring, thomas hamilton","grant klapwijk, nick evanko",21,18,Pool Play,battlecreek23,Expert
GFD Fortnite Battle Pass,Turbulence,"andrew sullivan, cody dryer","jack bushart, max fiebelkorn",21,17,Pool Play,battlecreek23,Expert
Itsy Bitsy Spider,ClubSpike Big Slick,"clifford amadeo leveque, ryan marino","chris wilkins, neal bergman",20,22,Pool Play,battlecreek23,Expert
GFD fine.,GFD Dunk Dunk Dunk,"justin barr, tim lacagnina","caleb shorter, henry pilliod",17,21,Pool Play,battlecreek23,Expert
HRC Dunkin' Mac,Perez/Mazzuchi,"joseph duncan, thomas mckenna","andrew perez, zach m",11,15,Pool Play,battlecreek23,Advanced
HRC Fried Finess,Mango Cart,"cameron frye, nathan furness","mason evans, mitchell grosteffon",7,15,Pool Play,battlecreek23,Advanced
